site,sex,agegroup,estimate,tt,PE,lci,uci,n_black
Breast,Female,<55,AD,0,0,0,0,3924
Breast,Female,<55,AD,.050000001,2.317246218737631,2.232637882232666,2.401854753494263,3924
Breast,Female,<55,AD,.1,5.33250171794111,5.144162178039551,5.520841598510742,3924
Breast,Female,<55,AD,.15000001,8.583663371418051,8.288303375244141,8.879023551940918,3924
Breast,Female,<55,AD,.2,11.99218167660363,11.59005737304688,12.39430522918701,3924
Breast,Female,<55,AD,.25,15.53023616110257,15.02306175231934,16.03741073608398,3924
Breast,Female,<55,AD,.30000001,19.18304401995386,18.57320976257324,19.79287910461426,3924
Breast,Female,<55,AD,.34999999,22.93971488449941,22.22992706298828,23.64950370788574,3924
Breast,Female,<55,AD,.40000001,26.79054736337624,25.98364067077637,27.59745407104492,3924
Breast,Female,<55,AD,.44999999,30.72613341895973,29.82497215270996,31.62729454040527,3924
Breast,Female,<55,AD,.5,34.73709665822894,33.74451065063477,35.72967910766602,3924
Breast,Female,<55,AD,.55000001,38.81401159511756,37.7327766418457,39.89524841308594,3924
Breast,Female,<55,AD,.60000002,42.94743382439902,41.78023529052734,44.11463165283203,3924
Breast,Female,<55,AD,.64999998,47.12794978665232,45.87739181518555,48.37850952148438,3924
Breast,Female,<55,AD,.69999999,51.34626888571017,50.01486206054688,52.67767715454102,3924
Breast,Female,<55,AD,.75,55.59326978342342,54.18343353271484,57.00310516357422,3924
Breast,Female,<55,AD,.80000001,59.86009406148759,58.3741569519043,61.34603118896484,3924
Breast,Female,<55,AD,.85000002,64.13820843800551,62.57841491699219,65.697998046875,3924
Breast,Female,<55,AD,.89999998,68.4194576713053,66.7879638671875,70.05094909667969,3924
Breast,Female,<55,AD,.94999999,72.69613243004608,70.99501800537109,74.39724731445313,3924
Breast,Female,<55,AD,1,76.96097506891459,75.19223785400391,78.72971343994141,3924
Breast,Female,<55,AD,1.05,81.20571238505735,79.37130737304688,83.04011535644531,3924
Breast,Female,<55,AD,1.1,85.42546764633394,83.52725219726563,87.32368469238281,3924
Breast,Female,<55,AD,1.15,89.61448496971909,87.65424346923828,91.57472991943359,3924
Breast,Female,<55,AD,1.2,93.76756105376408,91.74700927734375,95.78811645507813,3924
Breast,Female,<55,AD,1.25,97.87995654564719,95.80075073242188,99.95915985107422,3924
Breast,Female,<55,AD,1.3,101.9474511321958,99.81118774414063,104.0837173461914,3924
Breast,Female,<55,AD,1.35,105.96629444305,103.7745056152344,108.1580810546875,3924
Breast,Female,<55,AD,1.4,109.9331554552344,107.6873245239258,112.1789855957031,3924
Breast,Female,<55,AD,1.45,113.8451644569588,111.5467071533203,116.1436157226563,3924
Breast,Female,<55,AD,1.5,117.699810987275,115.3501052856445,120.0495223999023,3924
Breast,Female,<55,AD,1.55,121.4949926857726,119.0953521728516,123.8946380615234,3924
Breast,Female,<55,AD,1.6,125.2305668013864,122.7822265625,127.6789016723633,3924
Breast,Female,<55,AD,1.65,128.9098376942485,126.4139099121094,131.40576171875,3924
Breast,Female,<55,AD,1.7,132.536433732809,129.993896484375,135.0789794921875,3924
Breast,Female,<55,AD,1.75,136.1137953066002,133.5255126953125,138.7020874023438,3924
Breast,Female,<55,AD,1.8,139.6452325561665,137.0119476318359,142.2785186767578,3924
Breast,Female,<55,AD,1.85,143.1338976819878,140.4562835693359,145.8115081787109,3924
Breast,Female,<55,AD,1.9,146.5827606790118,143.8614044189453,149.3041229248047,3924
Breast,Female,<55,AD,1.95,149.9946686598068,147.2300567626953,152.75927734375,3924
Breast,Female,<55,AD,2,153.3722822729747,150.5648651123047,156.1797027587891,3924
Breast,Female,<55,AD,2.05,156.7150764767454,153.8652801513672,159.5648803710938,3924
Breast,Female,<55,AD,2.0999999,160.0283662799056,157.1364898681641,162.9202423095703,3924
Breast,Female,<55,AD,2.1500001,163.3144042397107,160.3807373046875,166.2480773925781,3924
Breast,Female,<55,AD,2.2,166.5752565794765,163.6000061035156,169.5505065917969,3924
Breast,Female,<55,AD,2.25,169.8129016292966,166.7962493896484,172.8295593261719,3924
Breast,Female,<55,AD,2.3,173.029171625504,169.9712677001953,176.0870819091797,3924
Breast,Female,<55,AD,2.3499999,176.2257731285693,173.1267242431641,179.3248291015625,3924
Breast,Female,<55,AD,2.4000001,179.4041368869919,176.2640228271484,182.5442504882813,3924
Breast,Female,<55,AD,2.45,182.562828631085,179.3817749023438,185.7438812255859,3924
Breast,Female,<55,AD,2.5,185.6983885517306,182.4765777587891,188.9202117919922,3924
Breast,Female,<55,AD,2.55,188.8075273051957,185.5451965332031,192.0698547363281,3924
Breast,Female,<55,AD,2.5999999,191.8871932248543,188.5846405029297,195.1897430419922,3924
Breast,Female,<55,AD,2.6500001,194.934573694522,191.5921630859375,198.2769775390625,3924
Breast,Female,<55,AD,2.7,197.9470252247402,194.5651702880859,201.3288879394531,3924
Breast,Female,<55,AD,2.75,200.9221496337976,197.5012817382813,204.343017578125,3924
Breast,Female,<55,AD,2.8,203.857725503764,200.3983459472656,207.3171081542969,3924
Breast,Female,<55,AD,2.8499999,206.7517131882888,203.2543334960938,210.2490844726563,3924
Breast,Female,<55,AD,2.9000001,209.6022592459246,206.0674438476563,213.1370697021484,3924
Breast,Female,<55,AD,2.95,212.4076336955895,208.8359680175781,215.9793090820313,3924
Breast,Female,<55,AD,3,215.1663034117573,211.5583953857422,218.7742156982422,3924
Breast,Female,<55,AD,3.05,217.8723148346499,214.2288665771484,221.5157623291016,3924
Breast,Female,<55,AD,3.0999999,220.5288591354803,216.8505249023438,224.2071838378906,3924
Breast,Female,<55,AD,3.1500001,223.1348272747709,219.4222869873047,226.8473663330078,3924
Breast,Female,<55,AD,3.2,225.6891996870451,221.9431457519531,229.4352569580078,3924
Breast,Female,<55,AD,3.25,228.191129967349,224.4122619628906,231.9700012207031,3924
Breast,Female,<55,AD,3.3,230.6408265169196,226.8298492431641,234.4518127441406,3924
Breast,Female,<55,AD,3.3499999,233.0400143867494,229.1976013183594,236.8824310302734,3924
Breast,Female,<55,AD,3.4000001,235.3905082887353,231.5173034667969,239.2637176513672,3924
Breast,Female,<55,AD,3.45,237.6940344253717,233.7906646728516,241.5973968505859,3924
Breast,Female,<55,AD,3.5,239.952298331792,236.0193786621094,243.8852233886719,3924
Breast,Female,<55,AD,3.55,242.1669406098086,238.2050476074219,246.1288299560547,3924
Breast,Female,<55,AD,3.5999999,244.3395491859948,240.3492584228516,248.329833984375,3924
Breast,Female,<55,AD,3.6500001,246.4716704370319,242.4535217285156,250.4898223876953,3924
Breast,Female,<55,AD,3.7,248.5647698619379,244.519287109375,252.6102447509766,3924
Breast,Female,<55,AD,3.75,250.6202942871783,246.5479888916016,254.6925964355469,3924
Breast,Female,<55,AD,3.8,252.6396322828689,248.5410003662109,256.73828125,3924
Breast,Female,<55,AD,3.8499999,254.6241257292435,250.4996337890625,258.7486267089844,3924
Breast,Female,<55,AD,3.9000001,256.5750803694896,252.4252014160156,260.7249755859375,3924
Breast,Female,<55,AD,3.95,258.4937300996903,254.3188934326172,262.6685791015625,3924
Breast,Female,<55,AD,4,260.381294120642,256.1819458007813,264.5806579589844,3924
Breast,Female,<55,AD,4.0500002,262.2330321672775,258.0096740722656,266.4563903808594,3924
