site,estimate,agegroup,stage,sex,race,tt,PE,lci,uci,n_black
Breast,AD,75+,,Female,,0.0,0.0,0.0,0.0,1745.0
Breast,AD,75+,,Female,,0.0500000007450581,4.422624656276908,4.054924011230469,4.79032564163208,1745.0
Breast,AD,75+,,Female,,0.1000000014901161,8.076877454115449,7.409243106842041,8.744511604309082,1745.0
Breast,AD,75+,,Female,,0.1500000059604645,11.20757605959222,10.28953742980957,12.12561416625977,1745.0
Breast,AD,75+,,Female,,0.2000000029802322,14.01377991025384,12.88161373138428,15.14594554901123,1745.0
Breast,AD,75+,,Female,,0.25,16.60482334480844,15.28647708892822,17.92317008972168,1745.0
Breast,AD,75+,,Female,,0.300000011920929,19.04275273952731,17.56048583984375,20.52502059936523,1745.0
Breast,AD,75+,,Female,,0.3499999940395355,21.36354184963124,19.73550415039063,22.99157905578613,1745.0
Breast,AD,75+,,Female,,0.4000000059604645,23.58822334401387,21.82948112487793,25.34696578979492,1745.0
Breast,AD,75+,,Female,,0.449999988079071,25.72904687768291,23.85228538513184,27.60580825805664,1745.0
Breast,AD,75+,,Female,,0.5,27.79305789447724,25.80908584594727,29.77702903747559,1745.0
Breast,AD,75+,,Female,,0.550000011920929,29.78421498979171,27.70233726501465,31.86609268188477,1745.0
Breast,AD,75+,,Female,,0.6000000238418579,31.70468731588275,29.53298568725586,33.87638854980469,1745.0
Breast,AD,75+,,Female,,0.6499999761581421,33.55564481907243,31.30119514465332,35.81009292602539,1745.0
Breast,AD,75+,,Female,,0.699999988079071,35.3377553835322,33.00680160522461,37.66870880126953,1745.0
Breast,AD,75+,,Female,,0.75,37.05146972181722,34.64955520629883,39.45338439941406,1745.0
Breast,AD,75+,,Female,,0.800000011920929,38.69720844470591,36.22929000854492,41.16512680053711,1745.0
Breast,AD,75+,,Female,,0.8500000238418579,40.27546188754719,37.74599456787109,42.80492782592773,1745.0
Breast,AD,75+,,Female,,0.8999999761581421,41.7868421677172,39.19985580444336,44.37382888793945,1745.0
Breast,AD,75+,,Female,,0.949999988079071,43.23211374616346,40.59126663208008,45.87295913696289,1745.0
Breast,AD,75+,,Female,,1.0,44.61218723466249,41.92082214355469,47.30355453491211,1745.0
Breast,AD,75+,,Female,,1.049999952316284,45.91347695388966,43.17565536499023,48.65129852294922,1745.0
Breast,AD,75+,,Female,,1.100000023841858,47.15108775095013,44.36965942382813,49.93251800537109,1745.0
Breast,AD,75+,,Female,,1.149999976158142,48.32638091128565,45.50397491455078,51.14878845214844,1745.0
Breast,AD,75+,,Female,,1.200000047683716,49.44082482070599,46.57987976074219,52.3017692565918,1745.0
Breast,AD,75+,,Female,,1.25,50.49595487433587,47.5987434387207,53.39316558837891,1745.0
Breast,AD,75+,,Female,,1.299999952316284,51.49337561131702,48.56201171875,54.42473983764648,1745.0
Breast,AD,75+,,Female,,1.350000023841858,52.43473655652407,49.47119903564453,55.39827346801758,1745.0
Breast,AD,75+,,Female,,1.399999976158142,53.32171201094972,50.32785797119141,56.31556701660156,1745.0
Breast,AD,75+,,Female,,1.450000047683716,54.15600388891046,51.13357543945313,57.17843246459961,1745.0
Breast,AD,75+,,Female,,1.5,54.93931375891125,51.88995361328125,57.98867416381836,1745.0
Breast,AD,75+,,Female,,1.549999952316284,55.67334751800547,52.59860610961914,58.74808883666992,1745.0
Breast,AD,75+,,Female,,1.600000023841858,56.36009050221878,53.26141357421875,59.45876693725586,1745.0
Breast,AD,75+,,Female,,1.649999976158142,57.00275084588051,53.88143539428711,60.12406539916992,1745.0
Breast,AD,75+,,Female,,1.700000047683716,57.60464531588021,54.46183395385742,60.74745559692383,1745.0
Breast,AD,75+,,Female,,1.75,58.16879746645375,55.00550079345703,61.33209228515625,1745.0
Breast,AD,75+,,Female,,1.799999952316284,58.697973895394,55.51508712768555,61.88086318969727,1745.0
Breast,AD,75+,,Female,,1.850000023841858,59.19470317333082,55.99301910400391,62.39638900756836,1745.0
Breast,AD,75+,,Female,,1.899999976158142,59.66129408823076,56.4415168762207,62.88107299804688,1745.0
Breast,AD,75+,,Female,,1.950000047683716,60.0998631822753,56.86261749267578,63.33710861206055,1745.0
Breast,AD,75+,,Female,,2.0,60.51234343930516,57.2581901550293,63.76649475097656,1745.0
Breast,AD,75+,,Female,,2.049999952316284,60.8797952635723,57.61051940917969,64.1490707397461,1745.0
Breast,AD,75+,,Female,,2.099999904632568,61.22438777455055,57.9404411315918,64.50833129882812,1745.0
Breast,AD,75+,,Female,,2.150000095367432,61.54763199118239,58.24942398071289,64.84584045410156,1745.0
Breast,AD,75+,,Female,,2.200000047683716,61.85090856421226,58.53881072998047,65.16300964355469,1745.0
Breast,AD,75+,,Female,,2.25,62.13548801152093,58.80982971191406,65.46114349365234,1745.0
Breast,AD,75+,,Female,,2.299999952316284,62.40253443507552,59.06362152099609,65.74144744873047,1745.0
Breast,AD,75+,,Female,,2.349999904632568,62.65311616588257,59.30121994018555,66.00501251220703,1745.0
Breast,AD,75+,,Female,,2.400000095367432,62.8882041936959,59.52357482910156,66.2528305053711,1745.0
Breast,AD,75+,,Female,,2.450000047683716,63.10816294352952,59.73106384277344,66.48526000976562,1745.0
Breast,AD,75+,,Female,,2.5,63.31262502319241,59.92336654663086,66.7018814086914,1745.0
Breast,AD,75+,,Female,,2.549999952316284,63.50125884793057,60.10020065307617,66.9023208618164,1745.0
Breast,AD,75+,,Female,,2.599999904632568,63.67382229524115,60.2613639831543,67.0862808227539,1745.0
Breast,AD,75+,,Female,,2.650000095367432,63.83015384199885,60.40673446655273,67.25357055664062,1745.0
Breast,AD,75+,,Female,,2.700000047683716,63.97016104077377,60.53625106811523,67.4040756225586,1745.0
Breast,AD,75+,,Female,,2.75,64.09381721369127,60.64990615844727,67.53772735595703,1745.0
Breast,AD,75+,,Female,,2.799999952316284,64.20115135927506,60.74775314331055,67.65454864501953,1745.0
Breast,AD,75+,,Female,,2.849999904632568,64.29224256908311,60.82989120483398,67.75459289550781,1745.0
Breast,AD,75+,,Female,,2.900000095367432,64.36721457556294,60.89645385742188,67.83797454833984,1745.0
Breast,AD,75+,,Female,,2.950000047683716,64.42622916361171,60.9476203918457,67.90483856201172,1745.0
Breast,AD,75+,,Female,,3.0,64.46948356204258,60.98359298706055,67.95537567138672,1745.0
Breast,AD,75+,,Female,,3.049999952316284,64.47421409067982,60.98307800292969,67.96534729003906,1745.0
Breast,AD,75+,,Female,,3.099999904632568,64.46374682478404,60.96794891357422,67.95954895019531,1745.0
Breast,AD,75+,,Female,,3.150000095367432,64.4383720720036,60.9384880065918,67.9382553100586,1745.0
Breast,AD,75+,,Female,,3.200000047683716,64.3983993184853,60.8950080871582,67.90178680419922,1745.0
Breast,AD,75+,,Female,,3.25,64.34415704239294,60.83783721923828,67.85047912597656,1745.0
Breast,AD,75+,,Female,,3.299999952316284,64.27619512186604,60.76751327514648,67.78488159179688,1745.0
Breast,AD,75+,,Female,,3.349999904632568,64.19536818929353,60.68485641479492,67.70587921142578,1745.0
Breast,AD,75+,,Female,,3.400000095367432,64.10251021401166,60.59067916870117,67.61434173583984,1745.0
Breast,AD,75+,,Female,,3.450000047683716,63.99840909881297,60.48574447631836,67.51107788085938,1745.0
Breast,AD,75+,,Female,,3.5,63.88380663715159,60.37076187133789,67.3968505859375,1745.0
Breast,AD,75+,,Female,,3.549999952316284,63.75940272213103,60.24641418457031,67.27239227294922,1745.0
Breast,AD,75+,,Female,,3.599999904632568,63.62585729672207,60.11333465576172,67.13838195800781,1745.0
Breast,AD,75+,,Female,,3.650000095367432,63.48379189982796,59.97212982177734,66.99545288085938,1745.0
Breast,AD,75+,,Female,,3.700000047683716,63.33379454175554,59.82336044311523,66.84422302246094,1745.0
Breast,AD,75+,,Female,,3.75,63.17641764669017,59.66756820678711,66.68526458740234,1745.0
Breast,AD,75+,,Female,,3.799999952316284,63.01218262722458,59.5052490234375,66.51911163330078,1745.0
Breast,AD,75+,,Female,,3.849999904632568,62.84158102450053,59.33688354492188,66.34627532958984,1745.0
Breast,AD,75+,,Female,,3.900000095367432,62.66507535128102,59.16291809082031,66.167236328125,1745.0
Breast,AD,75+,,Female,,3.950000047683716,62.48310409007868,58.98376846313477,65.98243713378906,1745.0
Breast,AD,75+,,Female,,4.0,62.29607815306019,58.79984283447266,65.79231262207031,1745.0
Breast,AD,75+,,Female,,4.050000190734863,62.08057080823932,58.58927154541016,65.57186889648438,1745.0
Breast,AD,75+,,Female,,4.099999904632568,61.86100053104866,58.37488174438477,65.34712219238281,1745.0
Breast,AD,75+,,Female,,4.150000095367432,61.63771080653893,58.1569938659668,65.11842346191406,1745.0
Breast,AD,75+,,Female,,4.199999809265137,61.41103324024348,57.93593597412109,64.8861312866211,1745.0
Breast,AD,75+,,Female,,4.25,61.18127170413109,57.71199417114258,64.65055084228516,1745.0
Breast,AD,75+,,Female,,4.300000190734863,60.94871848596514,57.48545455932617,64.41197967529297,1745.0
Breast,AD,75+,,Female,,4.349999904632568,60.7136489590371,57.2565803527832,64.17071533203125,1745.0
Breast,AD,75+,,Female,,4.400000095367432,60.4763157114235,57.02561569213867,63.9270133972168,1745.0
Breast,AD,75+,,Female,,4.449999809265137,60.2369652098794,56.79279708862305,63.68113327026367,1745.0
Breast,AD,75+,,Female,,4.5,59.99582056782333,56.5583381652832,63.43330383300781,1745.0
Breast,AD,75+,,Female,,4.550000190734863,59.75309828843905,56.32244491577148,63.18375015258789,1745.0
Breast,AD,75+,,Female,,4.599999904632568,59.5090022509296,56.08531951904297,62.93268585205078,1745.0
Breast,AD,75+,,Female,,4.650000095367432,59.26371738060226,55.84713363647461,62.6802978515625,1745.0
Breast,AD,75+,,Female,,4.699999809265137,59.01742665162274,55.60807037353516,62.42678451538086,1745.0
Breast,AD,75+,,Female,,4.75,58.77029302129779,55.3682746887207,62.17230987548828,1745.0
Breast,AD,75+,,Female,,4.800000190734863,58.52247644989387,55.12791061401367,61.91704177856445,1745.0
Breast,AD,75+,,Female,,4.849999904632568,58.27412745141669,54.88711547851563,61.66114044189453,1745.0
Breast,AD,75+,,Female,,4.900000095367432,58.02538049375315,54.64602279663086,61.40473937988281,1745.0
Breast,AD,75+,,Female,,4.949999809265137,57.77637109098518,54.40475845336914,61.14798355102539,1745.0
Breast,AD,75+,,Female,,5.0,57.52721730626766,54.16343688964844,60.89099502563477,1745.0
Breast,AD,<75,,Female,,0.0,0.0,0.0,0.0,10309.0
Breast,AD,<75,,Female,,0.0500000007450581,9.315108601826402,8.978218078613281,9.65199851989746,10309.0
Breast,AD,<75,,Female,,0.1000000014901161,18.60467781462079,17.98307418823242,19.22628211975098,10309.0
Breast,AD,<75,,Female,,0.1500000059604645,27.77465148044974,26.89447021484375,28.65483283996582,10309.0
Breast,AD,<75,,Female,,0.2000000029802322,36.92525853159409,35.80563735961914,38.04487991333008,10309.0
Breast,AD,<75,,Female,,0.25,46.12159020940584,44.77795791625977,47.4652214050293,10309.0
Breast,AD,<75,,Female,,0.300000011920929,55.39825309551717,53.84363555908203,56.9528694152832,10309.0
Breast,AD,<75,,Female,,0.3499999940395355,64.76911752152608,63.01481628417969,66.52342224121094,10309.0
Breast,AD,<75,,Female,,0.4000000059604645,74.2345200411224,72.29051208496094,76.17852783203125,10309.0
Breast,AD,<75,,Female,,0.449999988079071,83.78604274281815,81.66124725341797,85.91083526611328,10309.0
Breast,AD,<75,,Female,,0.5,93.40978539425689,91.1122589111328,95.70731353759766,10309.0
Breast,AD,<75,,Female,,0.550000011920929,103.088515755522,100.6255874633789,105.5514373779297,10309.0
Breast,AD,<75,,Female,,0.6000000238418579,112.8032029023508,110.1815872192383,115.4248123168945,10309.0
Breast,AD,<75,,Female,,0.6499999761581421,122.5340553076551,119.7599334716797,125.3081741333008,10309.0
Breast,AD,<75,,Female,,0.699999988079071,132.2613092867605,129.3403930664063,135.1822204589844,10309.0
Breast,AD,<75,,Female,,0.75,141.9656799168713,138.9032897949219,145.0280609130859,10309.0
Breast,AD,<75,,Female,,0.800000011920929,151.6287677416132,148.4298553466797,154.8276824951172,10309.0
Breast,AD,<75,,Female,,0.8500000238418579,161.233289299643,157.9024810791016,164.5640869140625,10309.0
Breast,AD,<75,,Female,,0.8999999761581421,170.7632196317813,167.3048706054688,174.2215576171875,10309.0
Breast,AD,<75,,Female,,0.949999988079071,180.2039249690675,176.6221313476563,183.7857208251953,10309.0
Breast,AD,<75,,Female,,1.0,189.5421317387277,185.8407592773438,193.2435150146484,10309.0
Breast,AD,<75,,Female,,1.049999952316284,198.7566521444472,194.9395599365234,202.5737457275391,10309.0
Breast,AD,<75,,Female,,1.100000023841858,207.8455463939848,203.9162139892578,211.7748870849609,10309.0
Breast,AD,<75,,Female,,1.149999976158142,216.7996063859783,212.7613220214844,220.837890625,10309.0
Breast,AD,<75,,Female,,1.200000047683716,225.6109643737101,221.4668884277344,229.7550506591797,10309.0
Breast,AD,<75,,Female,,1.25,234.2728492583058,230.0259552001953,238.5197448730469,10309.0
Breast,AD,<75,,Female,,1.299999952316284,242.7796555230869,238.4328002929688,247.1265106201172,10309.0
Breast,AD,<75,,Female,,1.350000023841858,251.1267965344531,246.6826934814453,255.5708923339844,10309.0
Breast,AD,<75,,Female,,1.399999976158142,259.3105636730897,254.7718353271484,263.8492736816406,10309.0
Breast,AD,<75,,Female,,1.450000047683716,267.3281827446896,262.6973266601563,271.9590454101563,10309.0
Breast,AD,<75,,Female,,1.5,275.1775781783803,270.4570007324219,279.8981628417969,10309.0
Breast,AD,<75,,Female,,1.549999952316284,282.8574312019895,278.0494384765625,287.6654357910156,10309.0
Breast,AD,<75,,Female,,1.600000023841858,290.3687460852393,285.4754943847656,295.2619934082031,10309.0
Breast,AD,<75,,Female,,1.649999976158142,297.7205147483817,292.7439880371094,302.6970520019531,10309.0
Breast,AD,<75,,Female,,1.700000047683716,304.923527934252,299.8654174804688,309.9816284179688,10309.0
Breast,AD,<75,,Female,,1.75,311.9878703566534,306.8497314453125,317.1260375976563,10309.0
Breast,AD,<75,,Female,,1.799999952316284,318.9230632538882,313.7061767578125,324.1399536132813,10309.0
Breast,AD,<75,,Female,,1.850000023841858,325.7380351653242,320.443603515625,331.032470703125,10309.0
Breast,AD,<75,,Female,,1.899999976158142,332.441099427306,327.0700988769531,337.8121032714844,10309.0
Breast,AD,<75,,Female,,1.950000047683716,339.0400926444084,333.5934143066406,344.4867553710938,10309.0
Breast,AD,<75,,Female,,2.0,345.5422722339367,340.0207214355469,351.0638427734375,10309.0
Breast,AD,<75,,Female,,2.049999952316284,351.9375132538426,346.342041015625,357.5329895019531,10309.0
Breast,AD,<75,,Female,,2.099999904632568,358.2485278045671,352.5797424316406,363.9173278808594,10309.0
Breast,AD,<75,,Female,,2.150000095367432,364.4812475235215,358.7396240234375,370.2228698730469,10309.0
Breast,AD,<75,,Female,,2.200000047683716,370.6410956647749,364.8270874023438,376.4551086425781,10309.0
Breast,AD,<75,,Female,,2.25,376.733187890758,370.84716796875,382.6192321777344,10309.0
Breast,AD,<75,,Female,,2.299999952316284,382.762234636955,376.8044738769531,388.7200012207031,10309.0
Breast,AD,<75,,Female,,2.349999904632568,388.7325916483871,382.703369140625,394.7618103027344,10309.0
Breast,AD,<75,,Female,,2.400000095367432,394.6482225893175,388.5477600097656,400.7486877441406,10309.0
Breast,AD,<75,,Female,,2.450000047683716,400.5085401634785,394.3370971679688,406.6799926757813,10309.0
Breast,AD,<75,,Female,,2.5,406.3072271472457,400.0651550292969,412.5492858886719,10309.0
Breast,AD,<75,,Female,,2.549999952316284,412.0380367643302,405.7258605957031,418.3502197265625,10309.0
Breast,AD,<75,,Female,,2.599999904632568,417.6952698158923,411.3135681152344,424.0769653320313,10309.0
Breast,AD,<75,,Female,,2.650000095367432,423.2737653172215,416.8232727050781,429.7242736816406,10309.0
Breast,AD,<75,,Female,,2.700000047683716,428.7687618239405,422.250244140625,435.2872619628906,10309.0
Breast,AD,<75,,Female,,2.75,434.176027063893,427.5903930664063,440.7616577148438,10309.0
Breast,AD,<75,,Female,,2.799999952316284,439.4917233857539,432.8399047851563,446.1435546875,10309.0
Breast,AD,<75,,Female,,2.849999904632568,444.712408746715,437.9954223632813,451.4294128417969,10309.0
Breast,AD,<75,,Female,,2.900000095367432,449.8350367860112,443.053955078125,456.6161193847656,10309.0
Breast,AD,<75,,Female,,2.950000047683716,454.8568369553648,448.0127563476563,461.7008972167969,10309.0
Breast,AD,<75,,Female,,3.0,459.7754397854679,452.8695678710938,466.6813354492188,10309.0
Breast,AD,<75,,Female,,3.049999952316284,464.5644622588302,457.5984191894531,471.5304870605469,10309.0
Breast,AD,<75,,Female,,3.099999904632568,469.2459621373399,462.2210083007813,476.2709045410156,10309.0
Breast,AD,<75,,Female,,3.150000095367432,473.8184502019885,466.7358703613281,480.9010314941406,10309.0
Breast,AD,<75,,Female,,3.200000047683716,478.280625410786,471.1417236328125,485.4195251464844,10309.0
Breast,AD,<75,,Female,,3.25,482.6315189142585,475.4376220703125,489.8254089355469,10309.0
Breast,AD,<75,,Female,,3.299999952316284,486.8721407343054,479.6245422363281,494.1197204589844,10309.0
Breast,AD,<75,,Female,,3.349999904632568,491.006310705016,483.706298828125,498.3063049316406,10309.0
Breast,AD,<75,,Female,,3.400000095367432,495.0379712733024,487.6867980957031,502.38916015625,10309.0
Breast,AD,<75,,Female,,3.450000047683716,498.9708635965272,491.5697021484375,506.3720397949219,10309.0
Breast,AD,<75,,Female,,3.5,502.8086469120277,495.358642578125,510.2586669921875,10309.0
Breast,AD,<75,,Female,,3.549999952316284,506.554825356993,499.0570983886719,514.0525512695312,10309.0
Breast,AD,<75,,Female,,3.599999904632568,510.2127717026834,502.6683654785156,517.7571411132812,10309.0
Breast,AD,<75,,Female,,3.650000095367432,513.7857485037268,506.1957397460938,521.375732421875,10309.0
Breast,AD,<75,,Female,,3.700000047683716,517.2768446724801,509.6422119140625,524.9114990234375,10309.0
Breast,AD,<75,,Female,,3.75,520.6890819732466,513.0108032226562,528.3673706054688,10309.0
Breast,AD,<75,,Female,,3.799999952316284,524.02535073303,516.3043823242188,531.746337890625,10309.0
Breast,AD,<75,,Female,,3.849999904632568,527.2884312608429,519.5256958007812,535.0512084960938,10309.0
Breast,AD,<75,,Female,,3.900000095367432,530.481013008824,522.6773681640625,538.28466796875,10309.0
Breast,AD,<75,,Female,,3.950000047683716,533.6056380263889,525.761962890625,541.4493408203125,10309.0
Breast,AD,<75,,Female,,4.0,536.6647961903353,528.7818603515625,544.5477294921875,10309.0
Breast,AD,<75,,Female,,4.050000190734863,539.6311110707029,531.7103271484375,547.5518798828125,10309.0
Breast,AD,<75,,Female,,4.099999904632568,542.5363296835593,534.5784301757812,550.4942016601562,10309.0
Breast,AD,<75,,Female,,4.150000095367432,545.3827201822264,537.3885498046875,553.3768920898438,10309.0
Breast,AD,<75,,Female,,4.199999809265137,548.1723570228992,540.142578125,556.2021484375,10309.0
Breast,AD,<75,,Female,,4.25,550.9073415781718,542.8427124023438,558.9719848632812,10309.0
Breast,AD,<75,,Female,,4.300000190734863,553.5896177843595,545.4907836914062,561.6884155273438,10309.0
Breast,AD,<75,,Female,,4.349999904632568,556.2210573353067,548.0887451171875,564.3533935546875,10309.0
Breast,AD,<75,,Female,,4.400000095367432,558.8035357069391,550.6383666992188,566.9686889648438,10309.0
Breast,AD,<75,,Female,,4.449999809265137,561.3387605377591,553.1414184570312,569.5361328125,10309.0
Breast,AD,<75,,Female,,4.5,563.8284715063818,555.5995483398438,572.057373046875,10309.0
Breast,AD,<75,,Female,,4.550000190734863,566.274272615838,558.014404296875,574.5341796875,10309.0
Breast,AD,<75,,Female,,4.599999904632568,568.6777091677807,560.387451171875,576.9679565429688,10309.0
Breast,AD,<75,,Female,,4.650000095367432,571.040337091935,562.7202758789062,579.3604125976562,10309.0
Breast,AD,<75,,Female,,4.699999809265137,573.3635658188284,565.0142822265625,581.7128295898438,10309.0
Breast,AD,<75,,Female,,4.75,575.648840851166,567.2708740234375,584.0267944335938,10309.0
Breast,AD,<75,,Female,,4.800000190734863,577.8974898854567,569.4913330078125,586.3036499023438,10309.0
Breast,AD,<75,,Female,,4.849999904632568,580.1107929213329,571.677001953125,588.5445556640625,10309.0
Breast,AD,<75,,Female,,4.900000095367432,582.2900459937736,573.8291015625,590.7509765625,10309.0
Breast,AD,<75,,Female,,4.949999809265137,584.4364161247765,575.9488525390625,592.9240112304688,10309.0
Breast,AD,<75,,Female,,5.0,586.5511094568394,578.037353515625,595.0648803710938,10309.0
Breast,ADa,75+,,Female,,0.0,0.0,0.0,0.0,1745.0
Breast,ADa,75+,,Female,,0.0500000007450581,1.810944537714856,1.781049728393555,1.840839385986328,1745.0
Breast,ADa,75+,,Female,,0.1000000014901161,3.308409051160863,3.25524640083313,3.361571788787842,1745.0
Breast,ADa,75+,,Female,,0.1500000059604645,4.568091856346747,4.497331142425537,4.638852596282959,1745.0
Breast,ADa,75+,,Female,,0.2000000029802322,5.696195282206059,5.611871719360352,5.780519008636475,1745.0
Breast,ADa,75+,,Female,,0.25,6.750111616993124,6.65518045425415,6.845043182373047,1745.0
Breast,ADa,75+,,Female,,0.300000011920929,7.760138054213627,7.65680456161499,7.863471508026123,1745.0
Breast,ADa,75+,,Female,,0.3499999940395355,8.74163996685806,8.63156795501709,8.851712226867676,1745.0
Breast,ADa,75+,,Female,,0.4000000059604645,9.70164590284844,9.586093902587892,9.817197799682615,1745.0
Breast,ADa,75+,,Female,,0.449999988079071,10.64252661902209,10.52244758605957,10.76260566711426,1745.0
Breast,ADa,75+,,Female,,0.5,11.5641156488932,11.44023036956787,11.68800163269043,1745.0
Breast,ADa,75+,,Female,,0.550000011920929,12.46494253544,12.33779239654541,12.59209251403809,1745.0
Breast,ADa,75+,,Female,,0.6000000238418579,13.34296308484826,13.21295642852783,13.4729700088501,1745.0
Breast,ADa,75+,,Female,,0.6499999761581421,14.19598332812518,14.06342601776123,14.32854080200195,1745.0
Breast,ADa,75+,,Female,,0.699999988079071,15.02190629540395,14.88702869415283,15.15678405761719,1745.0
Breast,ADa,75+,,Female,,0.75,15.81885709320122,15.68183422088623,15.9558801651001,1745.0
Breast,ADa,75+,,Female,,0.800000011920929,16.5852499719557,16.44621849060059,16.72428131103516,1745.0
Breast,ADa,75+,,Female,,0.8500000238418579,17.31980884543819,17.17888069152832,17.46073722839355,1745.0
Breast,ADa,75+,,Female,,0.8999999761581421,18.02156337014323,17.87883186340332,18.1642951965332,1745.0
Breast,ADa,75+,,Female,,0.949999988079071,18.68983503950753,18.54538154602051,18.83428764343262,1745.0
Breast,ADa,75+,,Female,,1.0,19.32420748320048,19.1781120300293,19.47030448913574,1745.0
Breast,ADa,75+,,Female,,1.049999952316284,19.91787145653622,19.770263671875,20.06547737121582,1745.0
Breast,ADa,75+,,Female,,1.100000023841858,20.47715848834719,20.3281192779541,20.62619781494141,1745.0
Breast,ADa,75+,,Female,,1.149999976158142,21.00231055898593,20.85191917419434,21.15270233154297,1745.0
Breast,ADa,75+,,Female,,1.200000047683716,21.49372771410755,21.34206581115723,21.64538955688477,1745.0
Breast,ADa,75+,,Female,,1.25,21.95193373654948,21.7990894317627,22.10477828979492,1745.0
Breast,ADa,75+,,Female,,1.299999952316284,22.37756260624424,22.22362327575684,22.53150177001953,1745.0
Breast,ADa,75+,,Female,,1.350000023841858,22.77133507156046,22.61639595031738,22.9262752532959,1745.0
Breast,ADa,75+,,Female,,1.399999976158142,23.13403890727584,22.97819328308105,23.28988456726074,1745.0
Breast,ADa,75+,,Female,,1.450000047683716,23.46652017147593,23.30986595153809,23.6231746673584,1745.0
Breast,ADa,75+,,Female,,1.5,23.76966311721509,23.6122989654541,23.92702674865723,1745.0
Breast,ADa,75+,,Female,,1.549999952316284,24.04438454564973,23.88640975952148,24.20235824584961,1745.0
Breast,ADa,75+,,Female,,1.600000023841858,24.29174249398983,24.13325881958008,24.45022583007813,1745.0
Breast,ADa,75+,,Female,,1.649999976158142,24.51332374891808,24.35442543029785,24.67222213745117,1745.0
Breast,ADa,75+,,Female,,1.700000047683716,24.71076889965283,24.55154800415039,24.8699893951416,1745.0
Breast,ADa,75+,,Female,,1.75,24.88559997512378,24.72614479064941,25.0450553894043,1745.0
Breast,ADa,75+,,Female,,1.799999952316284,25.03923100470635,24.87962532043457,25.19883728027344,1745.0
Breast,ADa,75+,,Female,,1.850000023841858,25.17297340373878,25.01329612731934,25.33265113830566,1745.0
Breast,ADa,75+,,Female,,1.899999976158142,25.28804207354813,25.12837028503418,25.44771385192871,1745.0
Breast,ADa,75+,,Female,,1.950000047683716,25.38556409396043,25.2259693145752,25.54515838623047,1745.0
