site,sex,agegroup,n_black
Breast,Female,0,12054
Breast,Female,1,10309
Breast,Female,2,1745
Colon,Male,0,2347
Colon,Male,1,1918
Colon,Male,2,429
Colon,Female,0,2383
Colon,Female,1,1802
Colon,Female,2,581
Corpus_and_uterus,Female,0,3326
Corpus_and_uterus,Female,1,2843
Corpus_and_uterus,Female,2,483
Lung_and_bronchus,Male,0,4207
Lung_and_bronchus,Male,1,3188
Lung_and_bronchus,Male,2,1019
Lung_and_bronchus,Female,0,3870
Lung_and_bronchus,Female,1,2757
Lung_and_bronchus,Female,2,1113
Oral_cavity_and_pharynx,Male,0,1034
Oral_cavity_and_pharynx,Male,1,902
Oral_cavity_and_pharynx,Male,2,132
Oral_cavity_and_pharynx,Female,0,475
Oral_cavity_and_pharynx,Female,1,408
Oral_cavity_and_pharynx,Female,2,67
Ovary,Female,0,948
Ovary,Female,1,808
Ovary,Female,2,140
Pancreas,Male,0,1287
Pancreas,Male,1,980
Pancreas,Male,2,307
Pancreas,Female,0,1489
Pancreas,Female,1,1051
Pancreas,Female,2,438
Rectum,Male,0,1122
Rectum,Male,1,991
Rectum,Male,2,131
Rectum,Female,0,911
Rectum,Female,1,788
Rectum,Female,2,123
