site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Breast,Female,AD,,,0,0.0,0.0,0.0,0.0
Breast,Female,AD,,,0,0.050000001,13.7346526107138,13.195591,14.273714
Breast,Female,AD,,,0,0.1,26.67621122909524,25.690508,27.661915
Breast,Female,AD,,,0,0.15000001,38.97515887570919,37.600761,40.349556
Breast,Female,AD,,,0,0.2,50.9305887723295,49.209904,52.651276
Breast,Female,AD,,,0,0.25,62.71682109075043,60.682983,64.750656
Breast,Female,AD,,,0,0.30000001,74.43044855756865,72.110367,76.750526
Breast,Female,AD,,,0,0.34999999,86.12127924144184,83.537361,88.705193
Breast,Female,AD,,,0,0.40000001,97.81065993000873,94.981926,100.63939
Breast,Female,AD,,,0,0.44999999,109.5024077752178,106.44523,112.55959
Breast,Female,AD,,,0,0.5,121.1896579921865,117.9183,124.46101
Breast,Female,AD,,,0,0.55000001,132.8591296514485,129.38614,136.33212
Breast,Female,AD,,,0,0.60000002,144.4939552913881,140.83046,148.15746
Breast,Female,AD,,,0,0.64999998,156.0755085756102,152.23148,159.91954
Breast,Female,AD,,,0,0.69999999,167.5846894898699,163.56906,171.60031
Breast,Female,AD,,,0,0.75,179.0026599272229,174.82356,183.18175
Breast,Female,AD,,,0,0.80000001,190.3114373343473,185.97627,194.64661
Breast,Female,AD,,,0,0.85000002,201.4942250005551,197.00975,205.9787
Breast,Female,AD,,,0,0.89999998,212.5356065919374,207.90804,217.16318
Breast,Female,AD,,,0,0.94999999,223.4217093917737,218.6568,228.18663
Breast,Female,AD,,,0,1.0,234.1401671148916,229.24324,239.03709
Breast,Female,AD,,,0,1.05,244.6562170640033,239.63303,249.67941
Breast,Female,AD,,,0,1.1,254.9830077958017,249.8382,260.12784
Breast,Female,AD,,,0,1.15,265.1126894080426,259.85062,270.37476
Breast,Female,AD,,,0,1.2,275.0388595762782,269.6636,280.41412
Breast,Female,AD,,,0,1.25,284.7562797557291,279.2717,290.24088
