site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Colon,Female,AD,,,0,0.0,0.0,0.0,0.0
Colon,Female,AD,,,0,0.050000001,12.10017926107749,11.629946,12.570413
Colon,Female,AD,,,0,0.1,21.31261190901051,20.441692,22.183531
Colon,Female,AD,,,0,0.15000001,28.85571300538865,27.641943,30.069483
Colon,Female,AD,,,0,0.2,35.23444992352418,33.721912,36.746986
Colon,Female,AD,,,0,0.25,40.74239776838209,38.96545,42.519344
Colon,Female,AD,,,0,0.30000001,45.57103481657478,43.557121,47.584949
Colon,Female,AD,,,0,0.34999999,49.85394842094497,47.625462,52.082436
Colon,Female,AD,,,0,0.40000001,53.68871081329856,51.264259,56.113159
Colon,Female,AD,,,0,0.44999999,57.1490154898367,54.544319,59.753712
Colon,Female,AD,,,0,0.5,60.29200938558958,57.520515,63.063503
Colon,Female,AD,,,0,0.55000001,63.16293884185791,60.236301,66.089577
Colon,Female,AD,,,0,0.60000002,65.79826258433326,62.726677,68.86985
Colon,Female,AD,,,0,0.64999998,68.2277887224017,65.020264,71.43531
Colon,Female,AD,,,0,0.69999999,70.47620719792758,67.14077,73.811646
Colon,Female,AD,,,0,0.75,72.56420607559522,69.108047,76.020363
Colon,Female,AD,,,0,0.80000001,74.51084682542006,70.940384,78.081306
Colon,Female,AD,,,0,0.85000002,76.33439889970458,72.655289,80.013512
Colon,Female,AD,,,0,0.89999998,78.05012782077699,74.26738,81.832878
Colon,Female,AD,,,0,0.94999999,79.6707245240433,75.788811,83.552635
Colon,Female,AD,,,0,1.0,81.20681472336693,77.229767,85.183861
Colon,Female,AD,,,0,1.05,82.65374773340014,78.585747,86.721748
Colon,Female,AD,,,0,1.1,84.03245167350062,79.876823,88.18808
Colon,Female,AD,,,0,1.15,85.34947019064066,81.109253,89.589684
Colon,Female,AD,,,0,1.2,86.61044537172867,82.288452,90.932434
Colon,Female,AD,,,0,1.25,87.82024725794273,83.419075,92.22142
Colon,Female,AD,,,0,1.3,88.98311966754281,84.505188,93.461044
Colon,Female,AD,,,0,1.35,90.10277152128168,85.550346,94.655197
Colon,Female,AD,,,0,1.4,91.18245165015335,86.557655,95.807251
Colon,Female,AD,,,0,1.45,92.22495036547444,87.529778,96.92012
Colon,Female,AD,,,0,1.5,93.23168619090572,88.468094,97.995277
Colon,Female,AD,,,0,1.55,94.2033188870158,89.373245,99.033394
Colon,Female,AD,,,0,1.6,95.14056526176228,90.245911,100.03522
Colon,Female,AD,,,0,1.65,96.04419125812876,91.086845,101.00154
Colon,Female,AD,,,0,1.7,96.91501244083528,91.896828,101.9332
Colon,Female,AD,,,0,1.75,97.75386459561663,92.676666,102.83106
Colon,Female,AD,,,0,1.8,98.56160855300136,93.427193,103.69602
Colon,Female,AD,,,0,1.85,99.3391155419211,94.149246,104.52898
Colon,Female,AD,,,0,1.9,100.0872553614553,94.843651,105.33086
Colon,Female,AD,,,0,1.95,100.8069037960958,95.511253,106.10255
Colon,Female,AD,,,0,2.0,101.4989239491544,96.152878,106.84497
Colon,Female,AD,,,0,2.05,102.1470338781625,96.7528,107.54127
Colon,Female,AD,,,0,2.0999999,102.7691308049552,97.328285,108.20998
Colon,Female,AD,,,0,2.1500001,103.3660590144077,97.880142,108.85197
