site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Colon,Male,AD,,,0,0.0,0.0,0.0,0.0
Colon,Male,AD,,,0,0.050000001,11.4852037596185,10.980036,11.990372
Colon,Male,AD,,,0,0.1,22.51114188598567,21.584515,23.437769
Colon,Male,AD,,,0,0.15000001,32.1836217198728,30.897261,33.469982
Colon,Male,AD,,,0,0.2,40.70016494084734,39.10004,42.300289
Colon,Male,AD,,,0,0.25,48.25203262450904,46.374142,50.129925
Colon,Male,AD,,,0,0.30000001,54.99300787455813,52.866501,57.119514
Colon,Male,AD,,,0,0.34999999,61.04498003101196,58.694046,63.395912
Colon,Male,AD,,,0,0.40000001,66.5054548686847,63.950542,69.060371
Colon,Male,AD,,,0,0.44999999,71.45342595200744,68.712067,74.194786
Colon,Male,AD,,,0,0.5,75.95373022708539,73.04113,78.866333
Colon,Male,AD,,,0,0.55000001,80.06018793533224,76.98967,83.130707
Colon,Male,AD,,,0,0.60000002,83.81794812325819,80.601288,87.034607
Colon,Male,AD,,,0,0.64999998,87.26522956394433,83.912903,90.617554
Colon,Male,AD,,,0,0.69999999,90.43466607548451,86.956047,93.913284
Colon,Male,AD,,,0,0.75,93.35430725913722,89.757835,96.950783
Colon,Male,AD,,,0,0.80000001,96.04843708917642,92.341736,99.755135
Colon,Male,AD,,,0,0.85000002,98.54030800167982,94.730232,102.35038
Colon,Male,AD,,,0,0.89999998,100.8562917011342,96.948776,104.76381
Colon,Male,AD,,,0,0.94999999,103.0193682752951,99.019531,107.0192
Colon,Male,AD,,,0,1.0,105.048463097095,100.96077,109.13615
Colon,Male,AD,,,0,1.05,106.9430886735985,102.77208,111.1141
Colon,Male,AD,,,0,1.1,108.7319977875318,104.48114,112.98286
Colon,Male,AD,,,0,1.15,110.4261675646856,106.09856,114.75378
Colon,Male,AD,,,0,1.2,112.0348525315891,107.63327,116.43643
Colon,Male,AD,,,0,1.25,113.565862807045,109.09281,118.03892
Colon,Male,AD,,,0,1.3,115.0258401685165,110.48359,119.56809
Colon,Male,AD,,,0,1.35,116.4204461550997,111.81108,121.02981
Colon,Male,AD,,,0,1.4,117.7545152799061,113.07996,122.42907
Colon,Male,AD,,,0,1.45,119.0322103742828,114.29424,123.77018
Colon,Male,AD,,,0,1.5,120.2571056793797,115.45737,125.05684
Colon,Male,AD,,,0,1.55,121.4322980223406,116.57236,126.29224
Colon,Male,AD,,,0,1.6,122.5600191667025,117.64137,127.47868
Colon,Male,AD,,,0,1.65,123.6402617626441,118.6644,128.61613
Colon,Male,AD,,,0,1.7,124.6726920830975,119.64117,129.70422
Colon,Male,AD,,,0,1.75,125.6572505612927,120.57164,130.74286
Colon,Male,AD,,,0,1.8,126.5941240275415,121.45602,131.73222
Colon,Male,AD,,,0,1.85,127.4836992403023,122.29472,132.67268
Colon,Male,AD,,,0,1.9,128.3265240803781,123.08826,133.56479
Colon,Male,AD,,,0,1.95,129.1232938687376,123.83736,134.40924
Colon,Male,AD,,,0,2.0,129.8748109957018,124.54279,135.20683
Colon,Male,AD,,,0,2.05,130.5611501379908,125.18533,135.93697
Colon,Male,AD,,,0,2.0999999,131.2039516545456,125.7859,136.62199
Colon,Male,AD,,,0,2.1500001,131.8042748126022,126.34553,137.26302
Colon,Male,AD,,,0,2.2,132.3632164239243,126.86529,137.86115
Colon,Male,AD,,,0,2.25,132.8819163374417,127.34629,138.41754
Colon,Male,AD,,,0,2.3,133.3615357155902,127.78967,138.93341
Colon,Male,AD,,,0,2.3499999,133.8032513101466,128.19656,139.40994
Colon,Male,AD,,,0,2.4000001,134.2082498322595,128.56813,139.84836
Colon,Male,AD,,,0,2.45,134.5777139867679,128.90553,140.24989
Colon,Male,AD,,,0,2.5,134.9129005517947,129.20999,140.61581
Colon,Male,AD,,,0,2.55,135.2153261510917,129.48296,140.94771
Colon,Male,AD,,,0,2.5999999,135.4865045010444,129.72589,141.24712
Colon,Male,AD,,,0,2.6500001,135.7278700225359,129.9402,141.51553
Colon,Male,AD,,,0,2.7,135.9407785368644,130.12718,141.75438
Colon,Male,AD,,,0,2.75,136.1265189256405,130.28809,141.96495
Colon,Male,AD,,,0,2.8,136.2863127988746,130.42409,142.14853
Colon,Male,AD,,,0,2.8499999,136.4213197951333,130.53633,142.30632
Colon,Male,AD,,,0,2.9000001,136.5326418380423,130.62584,142.43944
Colon,Male,AD,,,0,2.95,136.6213246336081,130.69366,142.549
Colon,Male,AD,,,0,3.0,136.6883641041265,130.74074,142.63599
Colon,Male,AD,,,0,3.05,136.711425263449,130.74545,142.67738
Colon,Male,AD,,,0,3.0999999,136.7147337718284,130.73126,142.6982
Colon,Male,AD,,,0,3.1500001,136.6991570496408,130.69901,142.69931
Colon,Male,AD,,,0,3.2,136.6655216911855,130.64944,142.68159
Colon,Male,AD,,,0,3.25,136.6146153260468,130.58337,142.64584
Colon,Male,AD,,,0,3.3,136.5471889899447,130.50151,142.59286
Colon,Male,AD,,,0,3.3499999,136.4639591118971,130.40456,142.52336
Colon,Male,AD,,,0,3.4000001,136.3656088961686,130.29314,142.43808
Colon,Male,AD,,,0,3.45,136.252792035294,130.16792,142.33766
Colon,Male,AD,,,0,3.5,136.1261315439805,130.0295,142.22276
Colon,Male,AD,,,0,3.55,135.9862231150102,129.87843,142.09401
Colon,Male,AD,,,0,3.5999999,135.8336361377841,129.71529,141.952
Colon,Male,AD,,,0,3.6500001,135.6689142473226,129.54057,141.79726
Colon,Male,AD,,,0,3.7,135.4925798037508,129.3548,141.63037
Colon,Male,AD,,,0,3.75,135.3051303781345,129.15845,141.45181
Colon,Male,AD,,,0,3.8,135.1070429698597,128.95198,141.2621
Colon,Male,AD,,,0,3.8499999,134.8987743132938,128.73584,141.06171
Colon,Male,AD,,,0,3.9000001,134.6807608169997,128.51044,140.85109
Colon,Male,AD,,,0,3.95,134.4534237120162,128.27618,140.63066
Colon,Male,AD,,,0,4.0,134.2171637005882,128.03346,140.40086
Colon,Male,AD,,,0,4.0500002,133.9480234213368,127.75908,140.13696
Colon,Male,AD,,,0,4.0999999,133.6708650195538,127.4771,139.86464
Colon,Male,AD,,,0,4.1500001,133.3860410267646,127.18786,139.58423
Colon,Male,AD,,,0,4.1999998,133.0939000863711,126.8917,139.2961
Colon,Male,AD,,,0,4.25,132.7947659193389,126.58894,139.0006
Colon,Male,AD,,,0,4.3000002,132.4889572946768,126.27988,138.69804
Colon,Male,AD,,,0,4.3499999,132.1767805667797,125.96481,138.38875
Colon,Male,AD,,,0,4.4000001,131.8585210338549,125.64401,138.07303
Colon,Male,AD,,,0,4.4499998,131.5344644683465,125.31776,137.75116
Colon,Male,AD,,,0,4.5,131.2048733655486,124.98631,137.42343
Colon,Male,AD,,,0,4.5500002,130.8700089279138,124.6499,137.09012
Colon,Male,AD,,,0,4.5999999,130.5301224852197,124.30879,136.75145
Colon,Male,AD,,,0,4.6500001,130.1854459851845,123.9632,136.4077
Colon,Male,AD,,,0,4.6999998,129.8362152159439,123.61333,136.0591
Colon,Male,AD,,,0,4.75,129.4826439174595,123.25942,135.70587
Colon,Male,AD,,,0,4.8000002,129.1249473637488,122.90166,135.34824
Colon,Male,AD,,,0,4.8499999,128.7633329076297,122.54025,134.98642
Colon,Male,AD,,,0,4.9000001,128.3979897992322,122.17538,134.62061
Colon,Male,AD,,,0,4.9499998,128.0291137397593,121.80723,134.25101
Colon,Male,AD,,,0,5.0,127.6568793257089,121.43596,133.87779
Colon,Male,AD,,,1,0.0,0.0,0.0,0.0
