site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Corpus_and_uterus,Female,AD,,,0,0.0,0.0,0.0,0.0
Corpus_and_uterus,Female,AD,,,0,0.050000001,17.37024889018769,16.763342,17.977158
Corpus_and_uterus,Female,AD,,,0,0.1,34.64456306329473,33.520802,35.768326
Corpus_and_uterus,Female,AD,,,0,0.15000001,51.18309209084453,49.602566,52.763618
Corpus_and_uterus,Female,AD,,,0,0.2,67.0603970513007,65.069473,69.051323
Corpus_and_uterus,Female,AD,,,0,0.25,82.36089872176464,79.99749,84.724304
Corpus_and_uterus,Female,AD,,,0,0.30000001,97.1516198918962,94.447769,99.855469
Corpus_and_uterus,Female,AD,,,0,0.34999999,111.4832945553653,108.46665,114.49994
Corpus_and_uterus,Female,AD,,,0,0.40000001,125.3943035715198,122.08907,128.69954
Corpus_and_uterus,Female,AD,,,0,0.44999999,138.9139667836964,135.34155,142.48639
Corpus_and_uterus,Female,AD,,,0,0.5,152.0651148899765,148.24463,155.8856
Corpus_and_uterus,Female,AD,,,0,0.55000001,164.8658385936278,160.81447,168.91721
Corpus_and_uterus,Female,AD,,,0,0.60000002,177.3308139948597,173.06407,181.59756
Corpus_and_uterus,Female,AD,,,0,0.64999998,189.4722074381135,185.00418,193.94025
Corpus_and_uterus,Female,AD,,,0,0.69999999,201.3004011650116,196.64392,205.95689
Corpus_and_uterus,Female,AD,,,0,0.75,212.8243903191039,207.99118,217.65759
Corpus_and_uterus,Female,AD,,,0,0.80000001,224.0521931138949,219.05304,229.05135
Corpus_and_uterus,Female,AD,,,0,0.85000002,234.9910929732668,229.83588,240.1463
Corpus_and_uterus,Female,AD,,,0,0.89999998,245.6478135348481,240.34567,250.94995
Corpus_and_uterus,Female,AD,,,0,0.94999999,256.028343131906,250.58771,261.46899
Corpus_and_uterus,Female,AD,,,0,1.0,266.1373449850528,260.56604,271.70865
Corpus_and_uterus,Female,AD,,,0,1.05,275.9508311255715,270.25677,281.64487
Corpus_and_uterus,Female,AD,,,0,1.1,285.5001167127552,279.69012,291.31012
Corpus_and_uterus,Female,AD,,,0,1.15,294.7898741143085,288.87027,300.70947
Corpus_and_uterus,Female,AD,,,0,1.2,303.824919088348,297.80164,309.84821
Corpus_and_uterus,Female,AD,,,0,1.25,312.6100252687507,306.48859,318.73148
Corpus_and_uterus,Female,AD,,,0,1.3,321.1500666594027,314.93564,327.3645
Corpus_and_uterus,Female,AD,,,0,1.35,329.4499397972774,323.14737,335.75253
Corpus_and_uterus,Female,AD,,,0,1.4,337.5144962107115,331.1283,343.9007
Corpus_and_uterus,Female,AD,,,0,1.45,345.3486688920602,338.88309,351.81424
Corpus_and_uterus,Female,AD,,,0,1.5,352.9573081914841,346.41632,359.49829
Corpus_and_uterus,Female,AD,,,0,1.55,360.3453042915251,353.73267,366.95795
Corpus_and_uterus,Female,AD,,,0,1.6,367.5170986540937,360.83633,374.19788
Corpus_and_uterus,Female,AD,,,0,1.65,374.4749313445938,367.7294,381.22046
Corpus_and_uterus,Female,AD,,,0,1.7,381.2208187982111,374.41376,388.02786
Corpus_and_uterus,Female,AD,,,0,1.75,387.7571877764481,380.89175,394.62262
Corpus_and_uterus,Female,AD,,,0,1.8,394.0869116145602,387.16608,401.00775
Corpus_and_uterus,Female,AD,,,0,1.85,400.2131916893385,393.23984,407.18655
Corpus_and_uterus,Female,AD,,,0,1.9,406.1394565991604,399.11633,413.16257
Corpus_and_uterus,Female,AD,,,0,1.95,411.8694116994507,404.79916,418.93967
Corpus_and_uterus,Female,AD,,,0,2.0,417.406881219965,410.29202,424.52173
Corpus_and_uterus,Female,AD,,,0,2.05,422.7101280403626,415.55389,429.86636
Corpus_and_uterus,Female,AD,,,0,2.0999999,427.8280476666232,420.63272,435.02338
Corpus_and_uterus,Female,AD,,,0,2.1500001,432.7648831025018,425.53268,439.9971
Corpus_and_uterus,Female,AD,,,0,2.2,437.5248520153223,430.25787,444.79184
Corpus_and_uterus,Female,AD,,,0,2.25,442.1122660395474,434.81253,449.41199
Corpus_and_uterus,Female,AD,,,0,2.3,446.5314169094936,439.20087,453.86197
Corpus_and_uterus,Female,AD,,,0,2.3499999,450.7865842355333,443.42706,458.14612
Corpus_and_uterus,Female,AD,,,0,2.4000001,454.882040811657,447.49527,462.2688
Corpus_and_uterus,Female,AD,,,0,2.45,458.8221059515301,451.40979,466.23441
Corpus_and_uterus,Female,AD,,,0,2.5,462.6128180985374,455.17654,470.0491
Corpus_and_uterus,Female,AD,,,0,2.55,466.2610740797244,458.80228,473.71985
Corpus_and_uterus,Female,AD,,,0,2.5999999,469.7734220104407,462.29352,477.25333
Corpus_and_uterus,Female,AD,,,0,2.6500001,473.1560752330149,465.65634,480.65582
Corpus_and_uterus,Female,AD,,,0,2.7,476.414868763624,468.89651,483.93323
Corpus_and_uterus,Female,AD,,,0,2.75,479.555375226551,472.01953,487.09122
Corpus_and_uterus,Female,AD,,,0,2.8,482.5828578445235,475.03058,490.13513
Corpus_and_uterus,Female,AD,,,0,2.8499999,485.5023039085144,477.9346,493.07001
Corpus_and_uterus,Female,AD,,,0,2.9000001,488.3184539929999,480.7363,495.90063
Corpus_and_uterus,Female,AD,,,0,2.95,491.0357638039467,483.44,498.63153
Corpus_and_uterus,Female,AD,,,0,3.0,493.658498873744,486.04999,501.26703
Corpus_and_uterus,Female,AD,,,0,3.05,496.134366090308,488.51471,503.75403
Corpus_and_uterus,Female,AD,,,0,3.0999999,498.5231473839543,490.8931,506.1532
Corpus_and_uterus,Female,AD,,,0,3.1500001,500.8285177953806,493.18878,508.46823
Corpus_and_uterus,Female,AD,,,0,3.2,503.0539358001,495.40518,510.7027
Corpus_and_uterus,Female,AD,,,0,3.25,505.202719672415,497.54556,512.85986
Corpus_and_uterus,Female,AD,,,0,3.3,507.2780129272451,499.61307,514.94299
Corpus_and_uterus,Female,AD,,,0,3.3499999,509.2828046989547,501.6106,516.95502
Corpus_and_uterus,Female,AD,,,0,3.4000001,511.2199474481052,503.54102,518.89886
Corpus_and_uterus,Female,AD,,,0,3.45,513.0921284370328,505.40701,520.77728
Corpus_and_uterus,Female,AD,,,0,3.5,514.9019327375613,507.21106,522.59277
Corpus_and_uterus,Female,AD,,,0,3.55,516.6518131186442,508.95569,524.34796
Corpus_and_uterus,Female,AD,,,0,3.5999999,518.3441061523326,510.64313,526.0451
Corpus_and_uterus,Female,AD,,,0,3.6500001,519.9810461955328,512.27563,527.68646
Corpus_and_uterus,Female,AD,,,0,3.7,521.5647403590937,513.85529,529.27417
Corpus_and_uterus,Female,AD,,,0,3.75,523.0972208967589,515.38409,530.8103
Corpus_and_uterus,Female,AD,,,0,3.8,524.5804189703908,516.86401,532.29681
Corpus_and_uterus,Female,AD,,,0,3.8499999,526.0161775141639,518.29681,533.73553
Corpus_and_uterus,Female,AD,,,0,3.9000001,527.4062623943829,519.68427,535.1283
Corpus_and_uterus,Female,AD,,,0,3.95,528.7523404800914,521.02802,536.47668
