site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Lung_and_bronchus,Female,AD,,,0,0.0,0.0,0.0,0.0
Lung_and_bronchus,Female,AD,,,0,0.050000001,10.16673771587747,9.4144039,10.919072
Lung_and_bronchus,Female,AD,,,0,0.1,24.73578258084734,23.253277,26.218288
Lung_and_bronchus,Female,AD,,,0,0.15000001,37.67931725266743,35.590424,39.768211
Lung_and_bronchus,Female,AD,,,0,0.2,48.62874394851065,46.037991,51.219498
Lung_and_bronchus,Female,AD,,,0,0.25,57.80709475902171,54.797863,60.816326
Lung_and_bronchus,Female,AD,,,0,0.30000001,65.5055447823126,62.144341,68.866745
Lung_and_bronchus,Female,AD,,,0,0.34999999,71.98496226952739,68.325363,75.644562
Lung_and_bronchus,Female,AD,,,0,0.40000001,77.46069800962243,73.546349,81.375046
Lung_and_bronchus,Female,AD,,,0,0.44999999,82.11012483628394,77.976814,86.243431
Lung_and_bronchus,Female,AD,,,0,0.5,86.0956550053387,81.772003,90.419312
Lung_and_bronchus,Female,AD,,,0,0.55000001,89.5481664468756,85.057076,94.039261
Lung_and_bronchus,Female,AD,,,0,0.60000002,92.56660015512716,87.926727,97.206474
Lung_and_bronchus,Female,AD,,,0,0.64999998,95.22680706656888,90.45359,100.00002
Lung_and_bronchus,Female,AD,,,0,0.69999999,97.58776064543042,92.694168,102.48135
Lung_and_bronchus,Female,AD,,,0,0.75,99.695901926979,94.692947,104.69886
Lung_and_bronchus,Female,AD,,,0,0.80000001,101.5882607784707,96.485428,106.69109
Lung_and_bronchus,Female,AD,,,0,0.85000002,103.2946957189592,98.10022,108.48917
Lung_and_bronchus,Female,AD,,,0,0.89999998,104.8394788997047,99.560616,110.11835
Lung_and_bronchus,Female,AD,,,0,0.94999999,106.2402470161468,100.88354,111.59696
Lung_and_bronchus,Female,AD,,,0,1.0,107.5089544614208,102.08052,112.93739
Lung_and_bronchus,Female,AD,,,0,1.05,108.6417161464534,103.14795,114.13548
Lung_and_bronchus,Female,AD,,,0,1.1,109.6624031447438,104.10867,115.21614
Lung_and_bronchus,Female,AD,,,0,1.15,110.5797526760194,104.97106,116.18844
Lung_and_bronchus,Female,AD,,,0,1.2,111.4017258661453,105.74277,117.06068
Lung_and_bronchus,Female,AD,,,0,1.25,112.135570204826,106.43073,117.84042
Lung_and_bronchus,Female,AD,,,0,1.3,112.7879049077351,107.04127,118.53455
Lung_and_bronchus,Female,AD,,,0,1.35,113.364777346829,107.58016,119.14939
Lung_and_bronchus,Female,AD,,,0,1.4,113.8717160526013,108.0527,119.69073
Lung_and_bronchus,Female,AD,,,0,1.45,114.3137900676761,108.46371,120.16387
