site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Lung_and_bronchus,Male,AD,,,0,0.0,0.0,0.0,0.0
Lung_and_bronchus,Male,AD,,,0,0.050000001,24.84548702094619,23.891705,25.799271
Lung_and_bronchus,Male,AD,,,0,0.1,47.05047223168839,45.235374,48.86557
Lung_and_bronchus,Male,AD,,,0,0.15000001,63.88505114554113,61.380032,66.390068
Lung_and_bronchus,Male,AD,,,0,0.2,76.62418026111857,73.564728,79.683632
Lung_and_bronchus,Male,AD,,,0,0.25,86.33785722975995,82.828438,89.847275
Lung_and_bronchus,Male,AD,,,0,0.30000001,93.7972721570594,89.919189,97.675354
Lung_and_bronchus,Male,AD,,,0,0.34999999,99.55232093957966,95.369759,103.73489
Lung_and_bronchus,Male,AD,,,0,0.40000001,104.0032506003533,99.567436,108.43906
Lung_and_bronchus,Male,AD,,,0,0.44999999,107.469999887991,102.82113,112.11887
Lung_and_bronchus,Male,AD,,,0,0.5,110.1922299942978,105.36189,115.02257
Lung_and_bronchus,Male,AD,,,0,0.55000001,112.3392124657564,107.35276,117.32566
Lung_and_bronchus,Male,AD,,,0,0.60000002,114.033255824083,108.91145,119.15506
Lung_and_bronchus,Male,AD,,,0,0.64999998,115.3646493814027,110.12478,120.60452
Lung_and_bronchus,Male,AD,,,0,0.69999999,116.4013481587258,111.05801,121.74469
Lung_and_bronchus,Male,AD,,,0,0.75,117.1953851216399,111.76109,122.62968
Lung_and_bronchus,Male,AD,,,0,0.80000001,117.7868184159838,112.27245,123.30119
Lung_and_bronchus,Male,AD,,,0,0.85000002,118.2021002753629,112.61745,123.78674
Lung_and_bronchus,Male,AD,,,0,0.89999998,118.4602663500816,112.81436,124.10617
Lung_and_bronchus,Male,AD,,,0,0.94999999,118.5785604774446,112.8797,124.27743
Lung_and_bronchus,Male,AD,,,0,1.0,118.5726059151214,112.82838,124.31683
Lung_and_bronchus,Male,AD,,,0,1.05,118.4410893509189,112.65948,124.2227
Lung_and_bronchus,Male,AD,,,0,1.1,118.2119323786221,112.39929,124.02457
Lung_and_bronchus,Male,AD,,,0,1.15,117.8965539532601,112.05871,123.7344
Lung_and_bronchus,Male,AD,,,0,1.2,117.505181755148,111.64744,123.36293
Lung_and_bronchus,Male,AD,,,0,1.25,117.0469702657153,111.17416,122.91978
Lung_and_bronchus,Male,AD,,,0,1.3,116.5301001821108,110.64661,122.41359
Lung_and_bronchus,Male,AD,,,0,1.35,115.961878284751,110.07172,121.85204
Lung_and_bronchus,Male,AD,,,0,1.4,115.3488316817679,109.45564,121.24203
Lung_and_bronchus,Male,AD,,,0,1.45,114.6968203734307,108.80389,120.58975
Lung_and_bronchus,Male,AD,,,0,1.5,114.0115568978351,108.12186,119.90126
Lung_and_bronchus,Male,AD,,,0,1.55,113.2983297446769,107.41451,119.18215
Lung_and_bronchus,Male,AD,,,0,1.6,112.5616983363923,106.68612,118.43727
Lung_and_bronchus,Male,AD,,,0,1.65,111.8056013270882,105.9404,117.67081
Lung_and_bronchus,Male,AD,,,0,1.7,111.0334369323207,105.1805,116.88637
Lung_and_bronchus,Male,AD,,,0,1.75,110.2481549429112,104.4092,116.0871
Lung_and_bronchus,Male,AD,,,0,1.8,109.4523091526573,103.62887,115.27575
Lung_and_bronchus,Male,AD,,,0,1.85,108.6481177381584,102.84157,114.45467
Lung_and_bronchus,Male,AD,,,0,1.9,107.8375156137818,102.04909,113.62594
Lung_and_bronchus,Male,AD,,,0,1.95,107.0221804104679,101.25298,112.79137
Lung_and_bronchus,Male,AD,,,0,2.0,106.2035814754188,100.45461,111.95255
Lung_and_bronchus,Male,AD,,,0,2.05,105.3662334216294,99.639389,111.09308
Lung_and_bronchus,Male,AD,,,0,2.0999999,104.5281213800456,98.824181,110.23206
Lung_and_bronchus,Male,AD,,,0,2.1500001,103.6902220577906,98.009888,109.37055
Lung_and_bronchus,Male,AD,,,0,2.2,102.8533995761866,97.197304,108.50949
Lung_and_bronchus,Male,AD,,,0,2.25,102.0183971650338,96.3871,107.6497
Lung_and_bronchus,Male,AD,,,0,2.3,101.1858666952828,95.579857,106.79188
Lung_and_bronchus,Male,AD,,,0,2.3499999,100.356376414303,94.7761,105.93665
Lung_and_bronchus,Male,AD,,,0,2.4000001,99.53041719972066,93.976265,105.08457
Lung_and_bronchus,Male,AD,,,0,2.45,98.70842715344976,93.18074,104.23611
Lung_and_bronchus,Male,AD,,,0,2.5,97.89077568615198,92.389854,103.3917
Lung_and_bronchus,Male,AD,,,0,2.55,97.07778602917368,91.603889,102.55169
Lung_and_bronchus,Male,AD,,,0,2.5999999,96.26973718109411,90.82309,101.71638
