site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Oral_cavity_and_pharynx,Male,AD,,,0,0.0,0.0,0.0,0.0
Oral_cavity_and_pharynx,Male,AD,,,0,0.050000001,3.099045956436342,2.9742317,3.2238603
Oral_cavity_and_pharynx,Male,AD,,,0,0.1,8.140929097563909,7.8645825,8.4172754
Oral_cavity_and_pharynx,Male,AD,,,0,0.15000001,13.91685840961265,13.490043,14.343674
Oral_cavity_and_pharynx,Male,AD,,,0,0.2,19.94514018345117,19.374521,20.515759
Oral_cavity_and_pharynx,Male,AD,,,0,0.25,25.98329272947885,25.277357,26.689228
Oral_cavity_and_pharynx,Male,AD,,,0,0.30000001,31.89954466832564,31.067245,32.731842
Oral_cavity_and_pharynx,Male,AD,,,0,0.34999999,37.62080848077231,36.670986,38.570629
Oral_cavity_and_pharynx,Male,AD,,,0,0.40000001,43.10755167999758,42.048664,44.166439
Oral_cavity_and_pharynx,Male,AD,,,0,0.44999999,48.34028280233301,47.180298,49.500271
Oral_cavity_and_pharynx,Male,AD,,,0,0.5,53.31183191168041,52.058167,54.565498
Oral_cavity_and_pharynx,Male,AD,,,0,0.55000001,58.02266443071178,56.682201,59.363129
Oral_cavity_and_pharynx,Male,AD,,,0,0.60000002,62.47798832933211,61.057083,63.898891
Oral_cavity_and_pharynx,Male,AD,,,0,0.64999998,66.68589146941372,65.190407,68.181374
Oral_cavity_and_pharynx,Male,AD,,,0,0.69999999,70.65615743858675,69.091492,72.220825
Oral_cavity_and_pharynx,Male,AD,,,0,0.75,74.39943560407659,72.770561,76.028313
Oral_cavity_and_pharynx,Male,AD,,,0,0.80000001,77.92580345576053,76.237305,79.614296
Oral_cavity_and_pharynx,Male,AD,,,0,0.85000002,81.24396465723319,79.50013,82.987801
Oral_cavity_and_pharynx,Male,AD,,,0,0.89999998,84.36285582088215,82.567657,86.158051
Oral_cavity_and_pharynx,Male,AD,,,0,0.94999999,87.29161628612786,85.448753,89.134476
Oral_cavity_and_pharynx,Male,AD,,,0,1.0,90.03937978094233,88.15229,91.926476
Oral_cavity_and_pharynx,Male,AD,,,0,1.05,92.60474078775576,90.676842,94.532639
Oral_cavity_and_pharynx,Male,AD,,,0,1.1,95.00642450434876,93.040688,96.972168
Oral_cavity_and_pharynx,Male,AD,,,0,1.15,97.25298020881186,95.252151,99.253815
Oral_cavity_and_pharynx,Male,AD,,,0,1.2,99.35265179830422,97.319283,101.38602
Oral_cavity_and_pharynx,Male,AD,,,0,1.25,101.3133103500819,99.249763,103.37685
Oral_cavity_and_pharynx,Male,AD,,,0,1.3,103.1424776032288,101.05096,105.23399
Oral_cavity_and_pharynx,Male,AD,,,0,1.35,104.8476048333506,102.73015,106.96506
Oral_cavity_and_pharynx,Male,AD,,,0,1.4,106.4367160142157,104.2952,108.57822
Oral_cavity_and_pharynx,Male,AD,,,0,1.45,107.9174873216296,105.75365,110.08132
Oral_cavity_and_pharynx,Male,AD,,,0,1.5,109.2970115712605,107.11246,111.48156
Oral_cavity_and_pharynx,Male,AD,,,0,1.55,110.5818668825938,108.37808,112.78565
Oral_cavity_and_pharynx,Male,AD,,,0,1.6,111.7781459154676,109.5565,113.99979
Oral_cavity_and_pharynx,Male,AD,,,0,1.65,112.8914865252406,110.65325,115.12972
Oral_cavity_and_pharynx,Male,AD,,,0,1.7,113.9271267236568,111.67348,116.18077
Oral_cavity_and_pharynx,Male,AD,,,0,1.75,114.8899162033444,112.62196,117.15787
Oral_cavity_and_pharynx,Male,AD,,,0,1.8,115.7843643349868,113.50312,118.06561
Oral_cavity_and_pharynx,Male,AD,,,0,1.85,116.6146598276096,114.32108,118.90824
Oral_cavity_and_pharynx,Male,AD,,,0,1.9,117.3846910344281,115.07965,119.68973
Oral_cavity_and_pharynx,Male,AD,,,0,1.95,118.0980828303891,115.78241,120.41376
Oral_cavity_and_pharynx,Male,AD,,,0,2.0,118.7582032904228,116.43267,121.08373
Oral_cavity_and_pharynx,Male,AD,,,0,2.05,119.3543757992856,117.01999,121.68876
Oral_cavity_and_pharynx,Male,AD,,,0,2.0999999,119.903257558837,117.56069,122.24582
Oral_cavity_and_pharynx,Male,AD,,,0,2.1500001,120.4075989849915,118.05749,122.75771
Oral_cavity_and_pharynx,Male,AD,,,0,2.2,120.8699861135806,118.51291,123.22706
