site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Pancreas,Female,AD,,,0,0.0,0.0,0.0,0.0
Pancreas,Female,AD,,,0,0.050000001,15.75618478149259,14.901824,16.610546
Pancreas,Female,AD,,,0,0.1,28.66252967876859,27.092779,30.232281
Pancreas,Female,AD,,,0,0.15000001,37.37602637916061,35.289902,39.462151
Pancreas,Female,AD,,,0,0.2,43.2545164335402,40.791138,45.717896
Pancreas,Female,AD,,,0,0.25,47.26496469656064,44.521008,50.008923
Pancreas,Female,AD,,,0,0.30000001,50.03221493114361,47.076088,52.988338
Pancreas,Female,AD,,,0,0.34999999,51.99140332372406,48.869862,55.112946
Pancreas,Female,AD,,,0,0.40000001,53.41851077617474,50.163578,56.673443
Pancreas,Female,AD,,,0,0.44999999,54.47534716938748,51.11018,57.840515
Pancreas,Female,AD,,,0,0.5,55.26075356381727,51.802937,58.718571
Pancreas,Female,AD,,,0,0.55000001,55.8373666594058,52.300854,59.373878
Pancreas,Female,AD,,,0,0.60000002,56.24576972639193,52.642128,59.849411
Pancreas,Female,AD,,,0,0.64999998,56.50805522642133,52.847813,60.168301
Pancreas,Female,AD,,,0,0.69999999,56.63945290042074,52.932625,60.346279
Pancreas,Female,AD,,,0,0.75,56.65597389084621,52.911869,60.400078
Pancreas,Female,AD,,,0,0.80000001,56.57341204322853,52.80051,60.346313
Pancreas,Female,AD,,,0,0.85000002,56.40666244453911,52.612572,60.200756
Pancreas,Female,AD,,,0,0.89999998,56.1693826147071,52.360844,59.977921
Pancreas,Female,AD,,,0,0.94999999,55.87385641226803,52.056782,59.690929
Pancreas,Female,AD,,,0,1.0,55.53098154251848,51.710506,59.351456
Pancreas,Female,AD,,,0,1.05,55.14217955694653,51.323021,58.961338
Pancreas,Female,AD,,,0,1.1,54.72401258079617,50.90984,58.538185
Pancreas,Female,AD,,,0,1.15,54.28306855046384,50.476936,58.089199
Pancreas,Female,AD,,,0,1.2,53.82465817744799,50.029106,57.620209
Pancreas,Female,AD,,,0,1.25,53.35309127297643,49.570229,57.135956
Pancreas,Female,AD,,,0,1.3,52.87187518633419,49.103443,56.640308
Pancreas,Female,AD,,,0,1.35,52.38387751248399,48.63131,56.136444
Pancreas,Female,AD,,,0,1.4,51.89145416181594,48.15593,55.62698
Pancreas,Female,AD,,,0,1.45,51.39653899437229,47.679008,55.114071
Pancreas,Female,AD,,,0,1.5,50.9007305608373,47.201958,54.599503
Pancreas,Female,AD,,,0,1.55,50.40534546053351,46.725941,54.084751
Pancreas,Female,AD,,,0,1.6,49.91147123116139,46.2519,53.571041
Pancreas,Female,AD,,,0,1.65,49.42000963837847,45.780624,53.059395
Pancreas,Female,AD,,,0,1.7,48.93170066359568,45.312756,52.550644
Pancreas,Female,AD,,,0,1.75,48.44715811000179,44.848824,52.045494
Pancreas,Female,AD,,,0,1.8,47.96688291545087,44.389252,51.544514
Pancreas,Female,AD,,,0,1.85,47.49128435728602,43.934391,51.048176
Pancreas,Female,AD,,,0,1.9,47.02069800389995,43.484524,50.556873
Pancreas,Female,AD,,,0,1.95,46.55538991611405,43.039871,50.070911
Pancreas,Female,AD,,,0,2.0,46.09557570625026,42.600609,49.590542
Pancreas,Female,AD,,,0,2.05,45.63509973234363,42.160789,49.109409
Pancreas,Female,AD,,,0,2.0999999,45.18062682475988,41.726807,48.634445
Pancreas,Female,AD,,,0,2.1500001,44.73224107587146,41.298717,48.165764
Pancreas,Female,AD,,,0,2.2,44.29000482977165,40.876564,47.703445
