site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Pancreas,Male,AD,,,0,0.0,0.0,0.0,0.0
Pancreas,Male,AD,,,0,0.050000001,12.37408502051049,11.560361,13.187809
Pancreas,Male,AD,,,0,0.1,26.86186248310467,25.41309,28.310637
Pancreas,Male,AD,,,0,0.15000001,38.26707070153867,36.385326,40.148815
Pancreas,Male,AD,,,0,0.2,46.9980960842264,44.81789,49.178303
Pancreas,Male,AD,,,0,0.25,53.69239077811446,51.303513,56.081268
Pancreas,Male,AD,,,0,0.30000001,58.85994047503499,56.323353,61.39653
Pancreas,Male,AD,,,0,0.34999999,62.92165105838725,60.277287,65.566017
Pancreas,Male,AD,,,0,0.40000001,66.17274977568857,63.446976,68.898529
Pancreas,Male,AD,,,0,0.44999999,68.80145360206234,66.012627,71.590279
Pancreas,Male,AD,,,0,0.5,70.93264484614792,68.094215,73.77108
Pancreas,Male,AD,,,0,0.55000001,72.65241450356802,69.774673,75.530151
Pancreas,Male,AD,,,0,0.60000002,74.02062403818127,71.111931,76.929321
Pancreas,Male,AD,,,0,0.64999998,75.07383769709884,72.141754,78.00592
Pancreas,Male,AD,,,0,0.69999999,75.84367863903185,72.895187,78.792168
Pancreas,Male,AD,,,0,0.75,76.36189964851724,73.403252,79.320541
Pancreas,Male,AD,,,0,0.80000001,76.65912859396565,73.695831,79.622429
Pancreas,Male,AD,,,0,0.85000002,76.76411984201923,73.800911,79.727325
Pancreas,Male,AD,,,0,0.89999998,76.70335781040768,73.744293,79.662422
Pancreas,Male,AD,,,0,0.94999999,76.50089082189356,73.549362,79.452423
Pancreas,Male,AD,,,0,1.0,76.17833651902595,73.237144,79.11953
Pancreas,Male,AD,,,0,1.05,75.74365507655693,72.815384,78.671921
Pancreas,Male,AD,,,0,1.1,75.22626848828651,72.312691,78.139847
Pancreas,Male,AD,,,0,1.15,74.6407366146471,71.743233,77.538239
Pancreas,Male,AD,,,0,1.2,73.99926670135352,71.118896,76.879639
Pancreas,Male,AD,,,0,1.25,73.31213570671838,70.449699,76.174568
Pancreas,Male,AD,,,0,1.3,72.58801180131616,69.74411,75.431915
Pancreas,Male,AD,,,0,1.35,71.83422772398626,69.009277,74.65918
Pancreas,Male,AD,,,0,1.4,71.05700600770365,68.251289,73.862724
Pancreas,Male,AD,,,0,1.45,70.26162601995907,67.475304,73.047943
Pancreas,Male,AD,,,0,1.5,69.4525866741858,66.685738,72.219429
Pancreas,Male,AD,,,0,1.55,68.63371557384966,65.886337,71.381088
Pancreas,Male,AD,,,0,1.6,67.80827612617657,65.080307,70.536247
Pancreas,Male,AD,,,0,1.65,66.97905818051538,64.270378,69.687737
Pancreas,Male,AD,,,0,1.7,66.1484350361709,63.458889,68.837982
Pancreas,Male,AD,,,0,1.75,65.31843868915087,62.647835,67.989044
Pancreas,Male,AD,,,0,1.8,64.49079607988915,61.838921,67.14267
Pancreas,Male,AD,,,0,1.85,63.66697740948325,61.033592,66.300362
Pancreas,Male,AD,,,0,1.9,62.84823791927397,60.233089,65.463387
Pancreas,Male,AD,,,0,1.95,62.03563471302459,59.438461,64.632805
Pancreas,Male,AD,,,0,2.0,61.23006840671155,58.650597,63.80954
Pancreas,Male,AD,,,0,2.05,60.4234434955153,57.86166,62.985229
Pancreas,Male,AD,,,0,2.0999999,59.62556287321246,57.081173,62.169952
Pancreas,Male,AD,,,0,2.1500001,58.83693776039496,56.30965,61.364223
Pancreas,Male,AD,,,0,2.2,58.0579984328607,55.547523,60.568474
Pancreas,Male,AD,,,0,2.25,57.28908387339277,54.795128,59.783043
Pancreas,Male,AD,,,0,2.3,56.53046742022445,54.052738,59.008194
Pancreas,Male,AD,,,0,2.3499999,55.78236212836066,53.320576,58.244148
Pancreas,Male,AD,,,0,2.4000001,55.04492521094602,52.598797,57.491051
Pancreas,Male,AD,,,0,2.45,54.31827894563867,51.887531,56.749027
Pancreas,Male,AD,,,0,2.5,53.60249557281429,51.186852,56.018143
Pancreas,Male,AD,,,0,2.55,52.89761663869012,50.496803,55.298431
Pancreas,Male,AD,,,0,2.5999999,52.20365401341121,49.817406,54.589901
Pancreas,Male,AD,,,0,2.6500001,51.52059064357888,49.148647,53.892532
Pancreas,Male,AD,,,0,2.7,50.84839701255129,48.490505,53.206291
Pancreas,Male,AD,,,0,2.75,50.18701464829053,47.842922,52.531109
Pancreas,Male,AD,,,0,2.8,49.53637187618443,47.205833,51.866913
Pancreas,Male,AD,,,0,2.8499999,48.89638287969126,46.579159,51.213608
Pancreas,Male,AD,,,0,2.9000001,48.26694678063859,45.962803,50.571091
Pancreas,Male,AD,,,0,2.95,47.64796140010213,45.35667,49.939255
Pancreas,Male,AD,,,0,3.0,47.03930683725241,44.760643,49.31797
Pancreas,Male,AD,,,0,3.05,46.43420857666996,44.168182,48.700233
Pancreas,Male,AD,,,0,3.0999999,45.83941209057167,43.585808,48.093018
Pancreas,Male,AD,,,0,3.1500001,45.25477191727731,43.013378,47.496166
Pancreas,Male,AD,,,0,3.2,44.68014713616554,42.450756,46.909538
Pancreas,Male,AD,,,0,3.25,44.11538546610268,41.897797,46.332973
Pancreas,Male,AD,,,0,3.3,43.56033518705999,41.354351,45.766319
Pancreas,Male,AD,,,0,3.3499999,43.01484296201551,40.820274,45.209412
Pancreas,Male,AD,,,0,3.4000001,42.47875185802275,40.29541,44.662094
Pancreas,Male,AD,,,0,3.45,41.951912012099,39.779613,44.12421
Pancreas,Male,AD,,,0,3.5,41.43416571916748,39.272736,43.595596
Pancreas,Male,AD,,,0,3.55,40.92535807139575,38.774624,43.076092
Pancreas,Male,AD,,,0,3.5999999,40.42533470197702,38.285126,42.565544
Pancreas,Male,AD,,,0,3.6500001,39.93393974227035,37.804089,42.063789
Pancreas,Male,AD,,,0,3.7,39.45102539553022,37.331375,41.570675
Pancreas,Male,AD,,,0,3.75,38.97643808832549,36.866833,41.086044
