site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Rectum,Female,AD,,,0,0.0,0.0,0.0,0.0
Rectum,Female,AD,,,0,0.050000001,1.217623190196194,1.0419829,1.3932635
Rectum,Female,AD,,,0,0.1,2.028074699490335,1.6926906,2.3634589
Rectum,Female,AD,,,0,0.15000001,2.828942026272736,2.3490517,3.3088324
Rectum,Female,AD,,,0,0.2,3.628388209553112,3.0162148,4.2405615
Rectum,Female,AD,,,0,0.25,4.420743879473731,3.6863782,5.1551094
Rectum,Female,AD,,,0,0.30000001,5.200072068840022,4.3520522,6.0480924
Rectum,Female,AD,,,0,0.34999999,5.961839804346692,5.0075278,6.916152
Rectum,Female,AD,,,0,0.40000001,6.702883188324041,5.6487222,7.7570443
Rectum,Female,AD,,,0,0.44999999,7.421114082058399,6.272809,8.5694189
Rectum,Female,AD,,,0,0.5,8.115249843110064,6.8779025,9.3525972
Rectum,Female,AD,,,0,0.55000001,8.78459531421722,7.4628038,10.106387
Rectum,Female,AD,,,0,0.60000002,9.428884021648017,8.0268221,10.830946
Rectum,Female,AD,,,0,0.64999998,10.04815885787299,8.5696383,11.52668
Rectum,Female,AD,,,0,0.69999999,10.64268819476005,9.0912056,12.194171
Rectum,Female,AD,,,0,0.75,11.21289750167622,9.5916767,12.834119
Rectum,Female,AD,,,0,0.80000001,11.75932501683845,10.07135,13.4473
Rectum,Female,AD,,,0,0.85000002,12.28258584904952,10.530629,14.034543
Rectum,Female,AD,,,0,0.89999998,12.78334530283873,10.96999,14.596701
Rectum,Female,AD,,,0,0.94999999,13.26245625183702,11.390093,15.134819
Rectum,Female,AD,,,0,1.0,13.72118775002015,11.791974,15.650402
Rectum,Female,AD,,,0,1.05,14.16074934185797,12.176829,16.144669
Rectum,Female,AD,,,0,1.1,14.58217004541197,12.545312,16.619028
Rectum,Female,AD,,,0,1.15,14.98641080773087,12.898224,17.074598
Rectum,Female,AD,,,0,1.2,15.37433351605483,13.236293,17.512375
Rectum,Female,AD,,,0,1.25,15.74670612763809,13.560167,17.933245
Rectum,Female,AD,,,0,1.3,16.104220398396,13.870439,18.338001
Rectum,Female,AD,,,0,1.35,16.44749863012264,14.167639,18.72736
Rectum,Female,AD,,,0,1.4,16.77709978060452,14.452248,19.101952
Rectum,Female,AD,,,0,1.45,17.09353241782486,14.724706,19.462358
Rectum,Female,AD,,,0,1.5,17.3972547885631,14.985412,19.809097
Rectum,Female,AD,,,0,1.55,17.68868572647567,15.23473,20.142641
Rectum,Female,AD,,,0,1.6,17.96820710565347,15.472996,20.463419
Rectum,Female,AD,,,0,1.65,18.23612093231751,15.700479,20.771763
Rectum,Female,AD,,,0,1.7,18.49244893495555,15.917214,21.067682
Rectum,Female,AD,,,0,1.75,18.73715797076555,16.123201,21.351114
Rectum,Female,AD,,,0,1.8,18.97027512116899,16.318489,21.622061
Rectum,Female,AD,,,0,1.85,19.19187817565071,16.503174,21.880583
Rectum,Female,AD,,,0,1.9,19.40208724741792,16.677385,22.126789
Rectum,Female,AD,,,0,1.95,19.60106222732433,16.841293,22.36083
Rectum,Female,AD,,,0,2.0,19.78899325139697,16.995092,22.582895
Rectum,Female,AD,,,0,2.05,19.96556527877722,17.138725,22.792406
Rectum,Female,AD,,,0,2.0999999,20.1315097788867,17.272665,22.990355
Rectum,Female,AD,,,0,2.1500001,20.2870891877844,17.397169,23.17701
Rectum,Female,AD,,,0,2.2,20.43257904031027,17.512505,23.352654
Rectum,Female,AD,,,0,2.25,20.56826925321009,17.618952,23.517588
Rectum,Female,AD,,,0,2.3,20.69445828756116,17.716801,23.672117
Rectum,Female,AD,,,0,2.3499999,20.81145140504813,17.806341,23.816561
Rectum,Female,AD,,,0,2.4000001,20.91955893632726,17.887873,23.951244
Rectum,Female,AD,,,0,2.45,21.01909229308475,17.961691,24.076494
Rectum,Female,AD,,,0,2.5,21.11036532457091,18.028093,24.192636
Rectum,Female,AD,,,0,2.55,21.19369329170101,18.087381,24.300005
Rectum,Female,AD,,,0,2.5999999,21.26943072514722,18.139879,24.398983
Rectum,Female,AD,,,0,2.6500001,21.33795224963298,18.185928,24.489977
Rectum,Female,AD,,,0,2.7,21.39961177741304,18.225849,24.573374
Rectum,Female,AD,,,0,2.75,21.45474449553294,18.259947,24.649544
Rectum,Female,AD,,,0,2.8,21.50366670705158,18.288506,24.718828
Rectum,Female,AD,,,0,2.8499999,21.54667728787851,18.3118,24.781555
Rectum,Female,AD,,,0,2.9000001,21.58405890016144,18.330084,24.838034
Rectum,Female,AD,,,0,2.95,21.6160782919691,18.343599,24.888557
Rectum,Female,AD,,,0,3.0,21.64298829088639,18.352577,24.933399
Rectum,Female,AD,,,0,3.05,21.66407588954191,18.356567,24.971584
Rectum,Female,AD,,,0,3.0999999,21.68049089842981,18.356411,25.00457
Rectum,Female,AD,,,0,3.1500001,21.69244869935636,18.352304,25.032593
Rectum,Female,AD,,,0,3.2,21.70015317163322,18.344433,25.055874
Rectum,Female,AD,,,0,3.25,21.70379770598701,18.33297,25.074627
Rectum,Female,AD,,,0,3.3,21.70356558714593,18.318081,25.08905
Rectum,Female,AD,,,0,3.3499999,21.6996306521654,18.299927,25.099335
Rectum,Female,AD,,,0,3.4000001,21.69215780004431,18.278652,25.105663
Rectum,Female,AD,,,0,3.45,21.68130366961212,18.254404,25.108204
Rectum,Female,AD,,,0,3.5,21.66721691018864,18.227312,25.107122
Rectum,Female,AD,,,0,3.55,21.65003876303044,18.197506,25.102571
Rectum,Female,AD,,,0,3.5999999,21.629903460194,18.165108,25.094698
Rectum,Female,AD,,,0,3.6500001,21.60693850784683,18.130234,25.083645
Rectum,Female,AD,,,0,3.7,21.58126551216121,18.092991,25.069542
Rectum,Female,AD,,,0,3.75,21.55299987230751,18.053484,25.052517
Rectum,Female,AD,,,0,3.8,21.52225153469702,18.011814,25.03269
Rectum,Female,AD,,,0,3.8499999,21.48912519871793,17.968073,25.010176
Rectum,Female,AD,,,0,3.9000001,21.4537204321488,17.922354,24.985086
Rectum,Female,AD,,,0,3.95,21.41613262907012,17.874741,24.957523
Rectum,Female,AD,,,0,4.0,21.37645225130194,17.825315,24.927589
Rectum,Female,AD,,,0,4.0500002,21.33346018750061,17.773155,24.893766
Rectum,Female,AD,,,0,4.0999999,21.28852552626975,17.719313,24.857738
Rectum,Female,AD,,,0,4.1500001,21.24172687204096,17.66386,24.819593
Rectum,Female,AD,,,0,4.1999998,21.19314099879348,17.606867,24.779415
Rectum,Female,AD,,,0,4.25,21.14283947076424,17.548399,24.73728
Rectum,Female,AD,,,0,4.3000002,21.09089201964379,17.488516,24.693268
Rectum,Female,AD,,,0,4.3499999,21.03736539141237,17.427279,24.647451
Rectum,Female,AD,,,0,4.4000001,20.98232190073101,17.364746,24.599899
Rectum,Female,AD,,,0,4.4499998,20.92582318761878,17.300968,24.550678
Rectum,Female,AD,,,0,4.5,20.8679261595052,17.236002,24.499851
Rectum,Female,AD,,,0,4.5500002,20.80868685883584,17.169893,24.447481
Rectum,Female,AD,,,0,4.5999999,20.74815902759687,17.102692,24.393627
Rectum,Female,AD,,,0,4.6500001,20.68639243428579,17.034443,24.338343
Rectum,Female,AD,,,0,4.6999998,20.62343705375497,16.965189,24.281685
Rectum,Female,AD,,,0,4.75,20.55933846056826,16.894974,24.223703
Rectum,Female,AD,,,0,4.8000002,20.49414210100566,16.823835,24.164448
Rectum,Female,AD,,,0,4.8499999,20.42789163139187,16.751816,24.103968
Rectum,Female,AD,,,0,4.9000001,20.36062706279293,16.678947,24.042307
Rectum,Female,AD,,,0,4.9499998,20.2923892903017,16.605268,23.979511
Rectum,Female,AD,,,0,5.0,20.22321504094897,16.530811,23.915619
Rectum,Female,AD,,,1,0.0,0.0,0.0,0.0
Rectum,Female,AD,,,1,0.050000001,1.436245480906035,1.3041435,1.5683475
Rectum,Female,AD,,,1,0.1,2.567608450410223,2.3130891,2.8221278
Rectum,Female,AD,,,1,0.15000001,3.624892530420045,3.2569375,3.9928477
Rectum,Female,AD,,,1,0.2,4.623293676797651,4.1493196,5.0972676
Rectum,Female,AD,,,1,0.25,5.568463790783046,4.994781,6.1421466
Rectum,Female,AD,,,1,0.30000001,6.463949423192815,5.7960496,7.1318493
Rectum,Female,AD,,,1,0.34999999,7.312617160564304,6.5553589,8.0698757
Rectum,Female,AD,,,1,0.40000001,8.1170319888435,7.2747688,8.9592953
Rectum,Female,AD,,,1,0.44999999,8.879569303767216,7.9562402,9.8028984
Rectum,Female,AD,,,1,0.5,9.602458740987924,8.601655,10.603263
Rectum,Female,AD,,,1,0.55000001,10.2877970726646,9.2128153,11.362779
Rectum,Female,AD,,,1,0.60000002,10.93755865530772,9.7914419,12.083675
Rectum,Female,AD,,,1,0.64999998,11.55360067123072,10.339169,12.768032
Rectum,Female,AD,,,1,0.69999999,12.13767197550754,10.857551,13.417793
Rectum,Female,AD,,,1,0.75,12.6914146316578,11.348057,14.034772
Rectum,Female,AD,,,1,0.80000001,13.21637286070409,11.812077,14.620668
Rectum,Female,AD,,,1,0.85000002,13.71399822203667,12.250923,15.177073
Rectum,Female,AD,,,1,0.89999998,14.18565498704041,12.665835,15.705475
Rectum,Female,AD,,,1,0.94999999,14.6327972369899,13.058132,16.207462
Rectum,Female,AD,,,1,1.0,15.05723704591558,13.429451,16.685022
Rectum,Female,AD,,,1,1.05,15.46000019705323,13.780741,17.139259
Rectum,Female,AD,,,1,1.1,15.84314908366026,14.113842,17.572456
Rectum,Female,AD,,,1,1.15,16.20795553735281,14.429904,17.986008
Rectum,Female,AD,,,1,1.2,16.55553963384117,14.729942,18.381136
