site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Rectum,Male,AD,,,0,0.0,0.0,0.0,0.0
Rectum,Male,AD,,,0,0.050000001,1.805037672636396,1.5929447,2.0171306
Rectum,Male,AD,,,0,0.1,3.817957290258297,3.419595,4.2163196
Rectum,Male,AD,,,0,0.15000001,5.778813567830067,5.2127304,6.3448968
Rectum,Male,AD,,,0,0.2,7.656160865692225,6.9369769,8.3753452
Rectum,Male,AD,,,0,0.25,9.443103431862834,8.5827246,10.303482
Rectum,Male,AD,,,0,0.30000001,11.14017644790795,10.148532,12.131821
Rectum,Male,AD,,,0,0.34999999,12.75066031824397,11.636189,13.865131
Rectum,Male,AD,,,0,0.40000001,14.27886750226708,13.048852,15.508883
Rectum,Male,AD,,,0,0.44999999,15.72940912943978,14.390218,17.0686
Rectum,Male,AD,,,0,0.5,17.10687381778315,15.664137,18.54961
Rectum,Male,AD,,,0,0.55000001,18.41567097716932,16.874416,19.956926
Rectum,Male,AD,,,0,0.60000002,19.65996909336422,18.024725,21.295214
Rectum,Male,AD,,,0,0.64999998,20.84367083227654,19.118547,22.568794
Rectum,Male,AD,,,0,0.69999999,21.97041756483192,20.159172,23.781664
Rectum,Male,AD,,,0,0.75,23.04359065059215,21.149675,24.937506
Rectum,Male,AD,,,0,0.80000001,24.06633196680792,22.092937,26.039726
Rectum,Male,AD,,,0,0.85000002,25.04155927917964,22.991652,27.091467
Rectum,Male,AD,,,0,0.89999998,25.97198232075073,23.848328,28.095636
Rectum,Male,AD,,,0,0.94999999,26.86012381238972,24.665312,29.054935
Rectum,Male,AD,,,0,1.0,27.70834418721165,25.444811,29.971878
Rectum,Male,AD,,,0,1.05,28.51477890243281,26.185116,30.844442
Rectum,Male,AD,,,0,1.1,29.2854600355364,26.891832,31.679089
Rectum,Male,AD,,,0,1.15,30.02234573625557,27.566797,32.477894
Rectum,Male,AD,,,0,1.2,30.72726373071617,28.211737,33.24279
Rectum,Male,AD,,,0,1.25,31.40190979360591,28.828249,33.975571
Rectum,Male,AD,,,0,1.3,32.04787086518144,29.417831,34.67791
Rectum,Male,AD,,,0,1.35,32.66662964250936,29.98189,35.351368
Rectum,Male,AD,,,0,1.4,33.25956933365941,30.521734,35.997406
Rectum,Male,AD,,,0,1.45,33.82799176430107,31.038599,36.617386
Rectum,Male,AD,,,0,1.5,34.37311316247803,31.533636,37.212589
Rectum,Male,AD,,,0,1.55,34.89608017611698,32.007938,37.784222
Rectum,Male,AD,,,0,1.6,35.39797131403391,32.462528,38.333416
Rectum,Male,AD,,,0,1.65,35.87979877475584,32.898365,38.861233
Rectum,Male,AD,,,0,1.7,36.3425186726797,33.316364,39.368671
Rectum,Male,AD,,,0,1.75,36.78694600819561,33.717308,39.856586
Rectum,Male,AD,,,0,1.8,37.21377076358208,34.101864,40.325676
Rectum,Male,AD,,,0,1.85,37.62366249286424,34.470688,40.776638
Rectum,Male,AD,,,0,1.9,38.01727245891794,34.824406,41.210136
Rectum,Male,AD,,,0,1.95,38.39523920280055,35.163643,41.626835
Rectum,Male,AD,,,0,2.0,38.75818014307802,35.488991,42.02737
Rectum,Male,AD,,,0,2.05,39.10112169988602,35.795803,42.406441
Rectum,Male,AD,,,0,2.0999999,39.43017559953341,36.089821,42.770531
Rectum,Male,AD,,,0,2.1500001,39.74591249481585,36.37159,43.120235
Rectum,Male,AD,,,0,2.2,40.04887924587361,36.641636,43.456123
Rectum,Male,AD,,,0,2.25,40.33960797891308,36.900467,43.778751
Rectum,Male,AD,,,0,2.3,40.61861013267172,37.148567,44.08865
Rectum,Male,AD,,,0,2.3499999,40.88637820714457,37.386414,44.386341
Rectum,Male,AD,,,0,2.4000001,41.14338724450094,37.614452,44.672321
Rectum,Male,AD,,,0,2.45,41.39009031511699,37.833111,44.947067
Rectum,Male,AD,,,0,2.5,41.62692624937976,38.042812,45.21104
Rectum,Male,AD,,,0,2.55,41.85431568858195,38.243946,45.464687
Rectum,Male,AD,,,0,2.5999999,42.0726921584648,38.43692,45.708462
Rectum,Male,AD,,,0,2.6500001,42.28251083463331,38.622162,45.94286
Rectum,Male,AD,,,0,2.7,42.48419867098484,38.800068,46.168331
Rectum,Male,AD,,,0,2.75,42.67815851458793,38.971004,46.385311
Rectum,Male,AD,,,0,2.8,42.86476700965376,39.135326,46.594208
Rectum,Male,AD,,,0,2.8499999,43.04437740831226,39.293358,46.795395
Rectum,Male,AD,,,0,2.9000001,43.21732202915344,39.445408,46.989235
Rectum,Male,AD,,,0,2.95,43.38391051080892,39.591763,47.17606
Rectum,Male,AD,,,0,3.0,43.54443615982051,39.732689,47.356186
Rectum,Male,AD,,,0,3.05,43.69289012749367,39.862526,47.523254
Rectum,Male,AD,,,0,3.0999999,43.83581553368693,39.987431,47.6842
Rectum,Male,AD,,,0,3.1500001,43.97345819101963,40.107624,47.839291
