,,Males,Males,Males,Females,Females,Females
,,Localised,Regional,Distant,Localised,Regional,Distant
Breast,Breast,Breast,Breast,Breast,Breast,Breast,Breast
<75,White,,,,"91.8 (91.7, 91.9)","83.3 (82.9, 83.7)","39.2 (38.0, 40.5)"
,Black,,N/A,,"90.7 (90.3, 91.1)","77.6 (76.5, 78.6)","26.4 (24.2, 28.7)"
75+,White,,,,"69.7 (69.7, 69.7)","56.4 (55.3, 57.5)","18.0 (16.5, 19.6)"
,Black,,,,"69.7 (69.7, 69.7)","53.0 (50.6, 55.6)","15.0 (11.9, 18.9)"
Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix)
<75,White,"80.1 (79.3, 81.0)","68.7 (67.7, 69.7)","16.2 (15.1, 17.3)","86.0 (85.2, 86.9)","73.6 (72.5, 74.7)","17.5 (16.3, 18.8)"
,Black,"78.8 (76.6, 81.1)","65.3 (62.8, 67.9)","12.1 (10.2, 14.4)","83.7 (81.7, 85.7)","71.2 (68.8, 73.7)","14.6 (12.4, 17.2)"
75+,White,"52.9 (51.5, 54.2)","43.0 (41.5, 44.4)","7.3 (6.2, 8.6)","61.0 (59.8, 62.2)","48.9 (47.5, 50.3)","9.4 (8.1, 10.8)"
,Black,"49.7 (46.3, 53.3)","36.3 (32.6, 40.4)","2.8 (1.6, 4.9)","57.7 (54.5, 61.0)","46.0 (42.6, 49.8)","7.3 (5.1, 10.4)"
Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri
<75,White,,,,"87.1 (86.6, 87.5)","68.8 (67.6, 70.1)","25.9 (24.2, 27.8)"
,Black,,N/A,,"79.9 (78.5, 81.5)","50.4 (47.5, 53.4)","16.7 (14.2, 19.5)"
75+,White,,,,"67.4 (66.3, 68.4)","44.4 (42.2, 46.7)","13.5 (11.5, 15.9)"
,Black,,,,"59.4 (55.9, 63.1)","25.0 (21.0, 29.8)","6.7 (4.5, 9.9)"
Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus
<75,White,"53.8 (52.7, 54.8)","34.4 (33.4, 35.5)","11.4 (10.9, 11.9)","67.5 (66.7, 68.4)","45.6 (44.5, 46.8)","16.1 (15.5, 16.7)"
,Black,"51.0 (48.4, 53.7)","35.3 (32.9, 38.0)","11.6 (10.5, 12.8)","65.5 (63.2, 67.9)","42.9 (40.2, 45.8)","16.4 (15.0, 18.0)"
75+,White,"34.4 (33.3, 35.4)","18.7 (17.7, 19.7)","6.5 (6.0, 7.0)","45.7 (44.6, 46.8)","27.5 (26.3, 28.7)","9.4 (8.8, 10.0)"
,Black,"30.5 (27.9, 33.3)","17.9 (15.6, 20.5)","5.7 (4.6, 7.0)","43.2 (40.5, 46.0)","24.6 (21.8, 27.8)","9.3 (7.7, 11.1)"
Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx
<75,White,"72.6 (71.3, 74.0)","65.5 (64.6, 66.4)","32.3 (30.2, 34.6)","81.9 (80.5, 83.4)","64.0 (62.2, 65.9)","38.5 (34.4, 43.1)"
,Black,"68.6 (63.4, 74.3)","54.0 (50.9, 57.2)","24.1 (19.8, 29.3)","83.2 (78.6, 88.1)","56.6 (51.7, 62.0)","32.9 (25.4, 42.5)"
75+,White,"49.0 (46.7, 51.3)","35.2 (33.5, 37.1)","17.5 (14.9, 20.5)","56.7 (53.9, 59.7)","35.3 (32.5, 38.3)","20.5 (16.7, 25.1)"
,Black,"47.8 (42.6, 53.7)","27.7 (22.3, 34.5)","15.0 (9.7, 23.3)","58.7 (52.5, 65.6)","29.7 (21.7, 40.7)","17.9 (10.0, 31.8)"
Ovary,Ovary,Ovary,Ovary,Ovary,Ovary,Ovary,Ovary
<75,White,,,,"85.6 (84.2, 87.0)","70.0 (68.0, 72.1)","40.2 (38.7, 41.8)"
,Black,,N/A,,"84.1 (80.0, 88.4)","62.7 (56.7, 69.3)","32.8 (29.3, 36.7)"
75+,White,,,,"57.2 (52.5, 62.4)","36.2 (32.4, 40.4)","17.0 (15.5, 18.7)"
,Black,,,,"54.9 (46.6, 64.8)","28.4 (20.9, 38.7)","11.9 (8.4, 17.0)"
Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas
<75,White,"48.2 (46.0, 50.5)","19.8 (18.4, 21.3)","5.3 (4.7, 6.0)","48.7 (46.3, 51.2)","22.0 (20.4, 23.6)","5.4 (4.7, 6.3)"
,Black,"40.1 (34.9, 46.1)","16.1 (13.1, 19.7)","4.3 (3.0, 5.9)","42.0 (37.3, 47.4)","19.3 (16.2, 23.0)","4.1 (3.0, 5.6)"
75+,White,"22.1 (20.0, 24.4)","6.8 (5.9, 7.8)","2.4 (1.9, 2.9)","17.8 (15.8, 20.0)","6.9 (5.9, 8.0)","1.8 (1.4, 2.3)"
,Black,"16.9 (12.6, 22.6)","5.8 (3.9, 8.8)","2.2 (1.2, 4.1)","13.2 (9.6, 18.2)","5.9 (4.0, 8.8)","1.4 (0.7, 2.6)"
Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum
<75,White,"79.0 (77.9, 80.1)","68.3 (67.1, 69.5)","19.4 (17.9, 21.0)","87.2 (86.2, 88.3)","74.1 (72.6, 75.6)","25.2 (23.1, 27.6)"
,Black,"80.2 (77.4, 83.2)","60.8 (56.9, 64.9)","14.5 (11.3, 18.5)","87.4 (85.0, 89.9)","64.2 (59.5, 69.2)","17.0 (12.9, 22.5)"
75+,White,"45.5 (43.2, 47.9)","38.6 (36.3, 41.2)","8.0 (6.4, 10.1)","54.1 (51.2, 57.2)","42.8 (39.9, 45.9)","10.0 (7.8, 12.8)"
,Black,"46.1 (40.6, 52.3)","29.4 (23.7, 36.5)","4.6 (2.4, 8.8)","57.4 (51.2, 64.2)","37.3 (29.8, 46.7)","9.4 (4.6, 18.9)"
