site,agegroup,stage,sex,race,estimate_percent,lower_percent,upper_percent
Breast,75+,Distant,Female,Black,15.02829641103745,11.94071024656296,18.91425997018814
Breast,75+,Localised,Female,Black,69.66935992240906,69.66935992240906,69.66935992240906
Breast,75+,Regional,Female,Black,53.04652452468872,50.61941146850586,55.59000968933105
Breast,75+,Distant,Female,White,17.98341125249863,16.48149490356445,19.62219327688217
Breast,75+,Localised,Female,White,69.66935992240906,69.66935992240906,69.66935992240906
Breast,75+,Regional,Female,White,56.38320446014404,55.29089570045471,57.49709010124207
Breast,<75,Distant,Female,Black,26.38490200042725,24.24386292695999,28.71502339839935
Breast,<75,Localised,Female,Black,90.72742462158203,90.31584858894348,91.14087224006653
Breast,<75,Regional,Female,Black,77.55182981491089,76.50732398033142,78.61059904098511
Breast,<75,Distant,Female,White,39.20431137084961,37.95400559902191,40.49580693244934
Breast,<75,Localised,Female,White,91.77696108818054,91.65660738945007,91.89748167991638
Breast,<75,Regional,Female,White,83.32969546318054,82.94363617897034,83.71755480766296
Colon (excluding Appendix),75+,Distant,Female,Black,7.263327389955521,5.088697001338005,10.36727651953697
Colon (excluding Appendix),75+,Localised,Female,Black,57.68668651580811,54.53957319259644,61.01539731025696
Colon (excluding Appendix),75+,Regional,Female,Black,46.04482650756836,42.59031713008881,49.77953433990479
Colon (excluding Appendix),75+,Distant,Male,Black,2.756462618708611,1.559784822165966,4.871239885687828
Colon (excluding Appendix),75+,Localised,Male,Black,49.66297745704651,46.30458056926727,53.26495766639709
Colon (excluding Appendix),75+,Regional,Male,Black,36.29868924617767,32.609623670578,40.40509462356567
Colon (excluding Appendix),75+,Distant,Female,White,9.355920553207397,8.118350058794022,10.78214794397354
Colon (excluding Appendix),75+,Localised,Female,White,60.9683096408844,59.75127220153809,62.2101366519928
Colon (excluding Appendix),75+,Regional,Female,White,48.90284538269043,47.52580523490906,50.31979084014893
Colon (excluding Appendix),75+,Distant,Male,White,7.320734858512878,6.212460622191429,8.626721054315567
Colon (excluding Appendix),75+,Localised,Male,White,52.85441279411316,51.54600739479065,54.19603586196899
Colon (excluding Appendix),75+,Regional,Male,White,42.95255541801453,41.5058970451355,44.4496363401413
Colon (excluding Appendix),<75,Distant,Female,Black,14.62470442056656,12.41480782628059,17.22797453403473
Colon (excluding Appendix),<75,Localised,Female,Black,83.67049694061279,81.6615104675293,85.72890758514404
Colon (excluding Appendix),<75,Regional,Female,Black,71.2300181388855,68.83406043052673,73.70936870574951
Colon (excluding Appendix),<75,Distant,Male,Black,12.12954223155975,10.23123860359192,14.38005566596985
Colon (excluding Appendix),<75,Localised,Male,Black,78.82406711578369,76.60483717918396,81.10758662223816
Colon (excluding Appendix),<75,Regional,Male,Black,65.26385545730591,62.77294754981995,67.85359978675842
Colon (excluding Appendix),<75,Distant,Female,White,17.51125007867813,16.28766059875488,18.82676035165787
Colon (excluding Appendix),<75,Localised,Female,White,86.03084683418274,85.19632816314697,86.87354326248169
Colon (excluding Appendix),<75,Regional,Female,White,73.57423901557922,72.50022292137146,74.66416358947754
Colon (excluding Appendix),<75,Distant,Male,White,16.17114990949631,15.08604288101196,17.33430624008179
Colon (excluding Appendix),<75,Localised,Male,White,80.13594150543213,79.28377389907837,80.99727034568787
Colon (excluding Appendix),<75,Regional,Male,White,68.65949630737305,67.6504373550415,69.68361139297485
Lung and bronchus,75+,Distant,Female,Black,9.259011596441269,7.722528278827667,11.10119521617889
Lung and bronchus,75+,Localised,Female,Black,43.17580163478851,40.50903022289276,46.01812958717346
Lung and bronchus,75+,Regional,Female,Black,24.6463418006897,21.8486949801445,27.80221700668335
Lung and bronchus,75+,Distant,Male,Black,5.68491518497467,4.624781757593155,6.988061964511871
Lung and bronchus,75+,Localised,Male,Black,30.47804832458496,27.91130542755127,33.28083157539368
Lung and bronchus,75+,Regional,Male,Black,17.87124425172806,15.583236515522,20.49518823623657
Lung and bronchus,75+,Distant,Female,White,9.412209689617157,8.830320835113525,10.03244370222092
Lung and bronchus,75+,Localised,Female,White,45.68573534488678,44.63432729244232,46.76190912723541
Lung and bronchus,75+,Regional,Female,White,27.4750679731369,26.26867890357971,28.73686254024506
Lung and bronchus,75+,Distant,Male,White,6.454978883266449,5.986777320504189,6.959796696901321
Lung and bronchus,75+,Localised,Male,White,34.37123894691467,33.34631621837616,35.42766273021698
Lung and bronchus,75+,Regional,Male,White,18.70269328355789,17.71442294120789,19.74609643220901
Lung and bronchus,<75,Distant,Female,Black,16.43729954957962,14.9690106511116,18.04961115121841
Lung and bronchus,<75,Localised,Female,Black,65.52038192749023,63.23124170303345,67.89239645004272
Lung and bronchus,<75,Regional,Female,Black,42.89316534996033,40.21463394165039,45.75009942054749
Lung and bronchus,<75,Distant,Male,Black,11.61778345704079,10.52542477846146,12.82351016998291
Lung and bronchus,<75,Localised,Male,Black,50.98689794540405,48.40430915355682,53.70727181434631
Lung and bronchus,<75,Regional,Male,Black,35.3333592414856,32.86331295967102,37.98905611038208
Lung and bronchus,<75,Distant,Female,White,16.07479900121689,15.46962261199951,16.70364886522293
Lung and bronchus,<75,Localised,Female,White,67.53312349319458,66.67662858963013,68.40061545372009
Lung and bronchus,<75,Regional,Female,White,45.63626348972321,44.52846646308899,46.77161872386932
