site,agegroup,sex,tt,n_black,deaths,deaths_lower,deaths_upper
Breast,75+,Female,1,1745,27.30389213562012,24.70950317382813,29.89828300476074
Breast,75+,Female,3,1745,42.59871673583984,39.23077774047852,45.96665191650391
Breast,75+,Female,5,1745,43.6600456237793,40.43467330932617,46.88541793823242
Breast,<75,Female,1,10309,109.0615539550781,104.7265396118164,113.3965682983398
Breast,<75,Female,3,10309,227.118408203125,218.9869842529297,235.2498474121094
Breast,<75,Female,5,10309,285.9225463867188,275.9777221679688,295.8673706054688
Colon (excluding Appendix),75+,Female,1,581,20.5696907043457,18.50320816040039,22.63617515563965
Colon (excluding Appendix),75+,Female,3,581,21.87749481201172,19.73771476745605,24.01727485656738
Colon (excluding Appendix),75+,Female,5,581,18.89863204956055,17.06095123291016,20.73631286621094
Colon (excluding Appendix),<75,Female,1,1802,25.12716674804688,22.03265571594238,28.22167778015137
Colon (excluding Appendix),<75,Female,3,1802,40.94744873046875,35.54913330078125,46.34576034545898
Colon (excluding Appendix),<75,Female,5,1802,44.57651138305664,38.45212936401367,50.70088958740234
Colon (excluding Appendix),75+,Male,1,429,13.43454647064209,11.52943420410156,15.3396577835083
Colon (excluding Appendix),75+,Male,3,429,14.20538330078125,12.21555137634277,16.19521331787109
Colon (excluding Appendix),75+,Male,5,429,11.52840423583984,9.916365623474121,13.14044380187988
Colon (excluding Appendix),<75,Male,1,1918,35.33852767944336,31.65819549560547,39.01885986328125
Colon (excluding Appendix),<75,Male,3,1918,54.49258804321289,48.64003372192383,60.34514236450195
Colon (excluding Appendix),<75,Male,5,1918,57.45302963256836,51.10080718994141,63.80525588989258
Lung and bronchus,75+,Female,1,1113,22.35168647766113,18.84230995178223,25.86106109619141
Lung and bronchus,75+,Female,3,1113,20.8625431060791,17.79555320739746,23.92953300476074
Lung and bronchus,75+,Female,5,1113,16.22953224182129,13.92206478118896,18.5369987487793
Lung and bronchus,<75,Female,1,2757,43.92892074584961,38.92939376831055,48.92844772338867
Lung and bronchus,<75,Female,3,2757,51.52679443359375,45.80082321166992,57.25276565551758
Lung and bronchus,<75,Female,5,2757,48.10890197753906,42.80549240112305,53.41230773925781
Lung and bronchus,75+,Male,1,1019,15.52365589141846,12.71103763580322,18.33627319335938
