,Age,Race,Cases,Subsequent tumour at same site,DCO / autopsy finding,Patient < 15 y,Patient > 89 y,In situ stage,Unknown stage,Included in analysis
Breast,Breast,Breast,Breast,Breast,Breast,Breast,Breast,Breast,Breast,Breast
Females,<75,White,"1,119,258 (100)","70,426 (6.29)","1,904 (0.18)",13 (0.00),0  / (0.00),5 (0.00),"22,591 (2.16)","1,024,319 (91.52)"
,,Black,"173,515 (100)","10,917 (6.29)",345 (0.21),3  / (0.00),0  / (0.00),2 (0.00),"4,490 (2.77)","157,758 (90.92)"
,75+,White,"300,164 (100)","32,280 (10.75)","5,698 (2.13)",0  / (0.00),"23,014 (8.78)",1 (0.00),"9,206 (3.85)","229,965 (76.61)"
,,Black,"30,463 (100)","2,918 /  (9.58)",581 (2.11),0  / (0.00),"2,320 (8.60)",0 (0.00),"1,168 (4.74)","23,476 (77.06)"
Colon,Colon,Colon,Colon,Colon,Colon,Colon,Colon,Colon,Colon,Colon
Males,<75,White,"190,392 (100)","5,949  / (3.12)","1,609 (0.87)",22 (0.01),0  / (0.00),12 (0.01),"7,596 (4.16)","175,204 (92.02)"
,,Black,"35,676 (100)","1,070  / (3.00)",448 (1.29),6  / (0.02),0  / (0.00),1 (0.00),"1,699 (4.97)","32,452 (90.96)"
,75+,White,"99,664 (100)","4,645  / (4.66)","2,325 (2.45)",0  / (0.00),"8,726 (9.41)",2 (0.00),"5,526 (6.58)","78,440 (78.70)"
,,Black,"9,777 (100)",446  / (4.56),284 (3.04),0  / (0.00),610 (6.74),0 (0.00),712  / (8.44),"7,725 (79.01)"
Females,<75,White,"153,307 (100)","3,961  / (2.58)",817 (0.55),19 (0.01),0  / (0.00),9 (0.01),"5,783 (3.89)","142,718 (93.09)"
,,Black,"34,025 (100)",900  / (2.65),216 (0.65),2  / (0.01),0  / (0.00),3 (0.01),"1,359 (4.13)","31,545 (92.71)"
,75+,White,"130,314 (100)","6,000 / (4.60)","3,955 (3.18)",0  / (0.00),"17,302 (14.38)",4 (0.00),"6,884 (6.68)","96,169 (73.80)"
,,Black,"14,225 (100)",601 / (4.22),455 (3.34),0  / (0.00),"1,593 / (12.10)",0 (0.00),936 / (8.09),"10,640 (74.80)"
Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri
Females,<75,White,"250,030 (100)",338  / (0.14),500 (0.20),9  / (0.00),0 / (0.00),2 (0.00),"8,670 (3.48)","240,511 (96.19)"
,,Black,"38,048 (100)",66  / (0.17),134 (0.35),3  / (0.01),0 / (0.00),2 (0.01),"1,873 (4.95)","35,970 (94.54)"
,75+,White,"53,154 (100)",92  / (0.17),"1,062 (2.00)",0  / (0.00),"3,796 (7.30)",3 (0.01),"3,323 (6.89)","44,878 (84.43)"
,,Black,"6,823 (100)",9  / (0.13),160 (2.35),0  / (0.00),368 (5.53),0 (0.00),605  / (9.62),"5,681 (83.26)"
Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus
Males,<75,White,"392,186 (100)","7,371  / (1.88)","7,276 (1.89)",112 (0.03),0  / (0.00),3 (0.00),"16,939 (4.49)","360,485 (91.92)"
,,Black,"66,067 (100)","1,088  / (1.65)","1,370 (2.11)",16 (0.03),0  / (0.00),0 (0.00),"2,821 (4.44)","60,772 (91.99)"
,75+,White,"227,910 (100)","5,620 / (2.47)","9,392 (4.23)",0  / (0.00),"12,295 (5.78)",1 (0.00),"14,266 (7.11)","186,336 (81.76)"
,,Black,"20,800 (100)",459  / (2.21),927 (4.56),0  / (0.00),910 (4.69),0 (0.00),"1,318 (7.12)","17,186 (82.62)"
Females,<75,White,"357,437 (100)","9,302  / (2.60)","4,042 (1.16)",92 (0.03),0  / (0.00),2 (0.00),"13,696 (3.98)","330,303 (92.41)"
,,Black,"50,765 (100)","1,148  / (2.26)",530 (1.07),23 (0.05),0  / (0.00),0 (0.00),"1,988 (4.05)","47,076 (92.73)"
