,Age,TIE,TDE,TCE,Prop
Breast,Breast,Breast,Breast,Breast,Breast
Females,<75,"2.78 (2.70, 2.87)","3.05 (3.04, 3.05)","5.83 (5.74, 5.91)","47.71 (46.93, 48.49)"
,75+,"2.48 (2.28, 2.69)","0.97 (0.96, 0.97)","3.45 (3.25, 3.65)","71.97 (70.30, 73.63)"
Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix)
Males,<75,"2.97 (2.63, 3.31)","2.80 (2.80, 2.81)","5.77 (5.43, 6.11)","51.41 (48.54, 54.29)"
,75+,"2.64 (2.25, 3.03)","4.79 (4.79, 4.80)","7.43 (7.05, 7.82)","35.51 (32.13, 38.89)"
Females,<75,"2.49 (2.13, 2.86)","2.51 (2.50, 2.51)","5.00 (4.63, 5.36)","49.88 (46.20, 53.56)"
,75+,"3.24 (2.87, 3.60)","2.89 (2.88, 2.89)","6.12 (5.76, 6.49)","52.89 (50.06, 55.71)"
Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri
Females,<75,"8.02 (7.75, 8.28)","9.48 (9.46, 9.50)","17.50 (17.23, 17.76)","45.83 (45.00, 46.66)"
,75+,"7.74 (7.21, 8.27)","10.55 (10.52, 10.59)","18.30 (17.77, 18.82)","42.31 (40.62, 44.01)"
Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus
Males,<75,"1.33 (1.21, 1.46)","0.20 (0.20, 0.21)","1.53 (1.41, 1.66)","86.85 (85.76, 87.94)"
,75+,"0.83 (0.69, 0.97)","1.55 (1.54, 1.55)","2.38 (2.24, 2.52)","34.93 (31.23, 38.63)"
Females,<75,"1.71 (1.52, 1.89)","0.97 (0.97, 0.98)","2.68 (2.49, 2.87)","63.65 (61.11, 66.19)"
,75+,"1.43 (1.25, 1.62)","1.42 (1.42, 1.43)","2.85 (2.67, 3.04)","50.19 (46.99, 53.39)"
Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx
Males,<75,"3.79 (3.53, 4.06)","9.09 (9.08, 9.11)","12.89 (12.62, 13.15)","29.43 (27.97, 30.89)"
,75+,"3.94 (3.44, 4.43)","4.41 (4.38, 4.44)","8.34 (7.85, 8.84)","47.18 (44.05, 50.31)"
Females,<75,"4.56 (4.08, 5.05)","3.30 (3.27, 3.34)","7.87 (7.39, 8.35)","58.00 (55.34, 60.67)"
,75+,"4.76 (3.85, 5.66)","1.79 (1.74, 1.83)","6.54 (5.65, 7.44)","72.70 (68.79, 76.61)"
Ovary,Ovary,Ovary,Ovary,Ovary,Ovary
Females,<75,"1.57 (1.19, 1.94)","6.33 (6.32, 6.35)","7.90 (7.53, 8.27)","19.82 (16.05, 23.58)"
,75+,"0.19 (-0.30, 0.69)","5.24 (5.23, 5.25)","5.43 (4.94, 5.93)","3.56 (-5.21, 12.34)"
Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas
Males,<75,"0.48 (0.26, 0.69)","2.68 (2.66, 2.69)","3.16 (2.93, 3.38)","15.13 (9.34, 20.92)"
,75+,"0.26 (0.12, 0.40)","1.19 (1.18, 1.21)","1.45 (1.30, 1.59)","17.72 (9.67, 25.76)"
Females,<75,"0.06 (-0.22, 0.33)","2.41 (2.40, 2.42)","2.47 (2.19, 2.75)","2.37 (-8.66, 13.41)"
,75+,"0.08 (-0.01, 0.18)","1.22 (1.21, 1.24)","1.31 (1.20, 1.41)","6.35 (-0.54, 13.24)"
Rectum,Rectum,Rectum,Rectum,Rectum,Rectum
Males,<75,"0.91 (0.41, 1.42)","3.54 (3.52, 3.57)","4.45 (3.95, 4.96)","20.51 (12.21, 28.81)"
,75+,"2.31 (1.72, 2.90)","3.76 (3.71, 3.80)","6.07 (5.47, 6.67)","38.09 (32.14, 44.05)"
Females,<75,"-2.62 (-3.12, -2.13)","5.29 (5.26, 5.32)","2.63 (2.15, 3.11)","-99.70 (-141.28, -58.13)"
,75+,"0.21 (-0.25, 0.66)","3.76 (3.52, 3.57)","2.24 (1.79, 2.69)","9.15 (-10.04, 28.33)"
