site,sex,estimate,agegroup,estimate_percent,lower_percent,upper_percent
Breast,Female,pm,1,47.70922088623047,46.93159866333008,48.48684310913086
Breast,Female,tce,1,5.828789621591568,5.744185298681259,5.913394317030907
Breast,Female,tde,1,3.04791945964098,3.041762299835682,3.054076619446278
Breast,Female,tie,1,2.780870161950588,2.695106342434883,2.866634167730808
Breast,Female,pm,2,71.96522521972656,70.29788208007813,73.632568359375
Breast,Female,tce,2,3.45301441848278,3.251106664538383,3.654921799898148
Breast,Female,tde,2,.9680447168648243,.9628613479435444,.9732280857861042
Breast,Female,tie,2,2.484969608485699,2.281931787729263,2.688007242977619
Colon,Female,pm,1,49.88348388671875,46.20240020751953,53.56456756591797
Colon,Female,tce,1,4.998624324798584,4.634331539273262,5.362917110323906
Colon,Female,tde,1,2.505136467516422,2.502334117889404,2.50793881714344
Colon,Female,tie,1,2.493487857282162,2.128392457962036,2.858583442866802
Colon,Female,pm,2,52.88592147827148,50.06207275390625,55.70977020263672
Colon,Female,tce,2,6.123899295926094,5.757755786180496,6.490042805671692
Colon,Female,tde,2,2.88521870970726,2.882547117769718,2.887890301644802
Colon,Female,tie,2,3.238680586218834,2.873333916068077,3.604027256369591
Colon,Male,pm,1,51.41452026367188,48.5423698425293,54.28667068481445
Colon,Male,tce,1,5.768120661377907,5.430322885513306,6.105918437242508
Colon,Male,tde,1,2.802469208836555,2.795549295842648,2.809389121830463
Colon,Male,tie,1,2.965651452541351,2.62629110366106,3.305011987686157
Colon,Male,pm,2,35.50925064086914,32.13278961181641,38.88571166992188
Colon,Male,tce,2,7.434959709644318,7.046619802713394,7.823299616575241
Colon,Male,tde,2,4.794861003756523,4.785176366567612,4.804545640945435
Colon,Male,tie,2,2.64009851962328,2.251308411359787,3.028888627886772
Corpus_and_uterus,Female,pm,1,45.8299560546875,45.00139999389648,46.65851211547852
Corpus_and_uterus,Female,tce,1,17.49633103609085,17.2325924038887,17.76006817817688
Corpus_and_uterus,Female,tde,1,9.477770328521729,9.459429979324341,9.496110677719116
Corpus_and_uterus,Female,tie,1,8.018560707569122,7.752736657857895,8.28438401222229
Corpus_and_uterus,Female,pm,2,42.31437301635742,40.61881637573242,44.00992965698242
Corpus_and_uterus,Female,tce,2,18.29551011323929,17.7689328789711,18.82208585739136
Corpus_and_uterus,Female,tde,2,10.55387929081917,10.5181522667408,10.5896070599556
Corpus_and_uterus,Female,tie,2,7.741630077362061,7.211928069591522,8.271332830190659
Lung_and_bronchus,Female,pm,1,63.65208053588867,61.10921478271484,66.1949462890625
Lung_and_bronchus,Female,tce,1,2.680377289652824,2.490724250674248,2.870030142366886
Lung_and_bronchus,Female,tde,1,.9742613881826401,.9697581641376019,.9787646122276783
Lung_and_bronchus,Female,tie,1,1.706115901470184,1.517882477492094,1.894349232316017
Lung_and_bronchus,Female,pm,2,50.19131088256836,46.99253463745117,53.39008712768555
Lung_and_bronchus,Female,tce,2,2.852047421038151,2.666131220757961,3.03796362131834
Lung_and_bronchus,Female,tde,2,1.420567464083433,1.415690593421459,1.42544424161315
Lung_and_bronchus,Female,tie,2,1.431480050086975,1.246891357004642,1.616068743169308
Lung_and_bronchus,Male,pm,1,86.84934997558594,85.76287841796875,87.93582153320313
Lung_and_bronchus,Male,tce,1,1.534494012594223,1.408260874450207,1.660727150738239
Lung_and_bronchus,Male,tde,1,.2017959021031857,.1980861881747842,.2055056160315871
Lung_and_bronchus,Male,tie,1,1.332698110491037,1.206856220960617,1.4585399068892
Lung_and_bronchus,Male,pm,2,34.92739105224609,31.22818946838379,38.62659454345703
Lung_and_bronchus,Male,tce,2,2.379536628723145,2.241891622543335,2.517181821167469
Lung_and_bronchus,Male,tde,2,1.548426598310471,1.543343346565962,1.553509943187237
Lung_and_bronchus,Male,tie,2,.8311101235449314,.69489860907197,.9673215448856354
Oral_cavity_and_pharynx,Female,pm,1,58.00273513793945,55.33539962768555,60.67007064819336
Oral_cavity_and_pharynx,Female,tce,1,7.867742329835892,7.388694584369659,8.346789330244064
Oral_cavity_and_pharynx,Female,tde,1,3.304236382246017,3.268565237522125,3.33990752696991
