,Age,TIE,TIE,TCE,TCE,Prop
Breast,,,,,,
Females,<75,"2.69 (2.60, 2.78)","2.69 (2.60, 2.78)","6.19 (6.11, 6.28)","6.19 (6.11, 6.28)","43.47 (42.67, 44.27)"
,75+,"2.55 (2.35, 2.75)","2.55 (2.35, 2.75)","3.54 (3.34, 3.74)","3.54 (3.34, 3.74)","72.06 (70.48, 73.64)"
Colon,,,,,,
Males,<75,"2.97 (2.67, 3.27)","2.97 (2.67, 3.27)","5.70 (5.41, 6.00)","5.70 (5.41, 6.00)","52.11 (49.54, 54.67)"
,75+,"2.92 (2.56, 3.28)","2.92 (2.56, 3.28)","5.79 (5.43, 6.15)","5.79 (5.43, 6.15)","50.44 (47.32, 53.56)"
Females,<75,"2.33 (2.01, 2.64)","2.33 (2.01, 2.64)","5.29 (4.98, 5.61)","5.29 (4.98, 5.61)","43.95 (40.60, 47.30)"
,75+,"3.36 (3.03, 3.69)","3.36 (3.03, 3.69)","6.14 (5.81, 6.47)","6.14 (5.81, 6.47)","54.77 (52.37, 57.18)"
Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,,,
Females,<75,"7.61 (7.36, 7.86)","7.61 (7.36, 7.86)","16.60 (16.36, 16.85)","16.60 (16.36, 16.85)","45.82 (45.00, 46.65)"
,75+,"7.85 (7.41, 8.29)","7.85 (7.41, 8.29)","18.86 (18.42, 19.30)","18.86 (18.42, 19.30)","41.60 (40.24, 42.97)"
Lung and bronchus,Lung and bronchus,Lung and bronchus,,,,
Males,<75,"1.25 (1.12, 1.37)","1.25 (1.12, 1.37)","1.44 (1.32, 1.57)","1.44 (1.32, 1.57)","86.44 (85.26, 87.62)"
,75+,"0.76 (0.64, 0.89)","0.76 (0.64, 0.89)","1.76 (1.63, 1.89)","1.76 (1.63, 1.89)","43.55 (39.46, 47.65)"
Females,<75,"1.64 (1.45, 1.84)","1.64 (1.45, 1.84)","2.80 (2.60, 3.00)","2.80 (2.60, 3.00)","58.75 (55.84, 61.66)"
,75+,"1.22 (1.03, 1.41)","1.22 (1.03, 1.41)","3.42 (3.23, 3.61)","3.42 (3.23, 3.61)","35.61 (32.04, 39.18)"
Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,,,,
Males,<75,"3.24 (2.98, 3.50)","3.24 (2.98, 3.50)","12.12 (11.86, 12.38)","12.12 (11.86, 12.38)","26.72 (25.12, 28.31)"
,75+,"3.25 (2.76, 3.75)","3.25 (2.76, 3.75)","6.90 (6.41, 7.39)","6.90 (6.41, 7.39)","47.13 (43.33, 50.94)"
Females,<75,"3.82 (3.41, 4.22)","3.82 (3.41, 4.22)","7.78 (7.40, 8.17)","7.78 (7.40, 8.17)","49.01 (46.25, 51.78)"
,75+,"4.25 (3.42, 5.08)","4.25 (3.42, 5.08)","4.67 (3.86, 5.49)","4.67 (3.86, 5.49)","91.00 (88.91, 93.09)"
Ovary,,,,,,
Females,<75,"1.76 (1.42, 2.09)","1.76 (1.42, 2.09)","8.89 (8.56, 9.22)","8.89 (8.56, 9.22)","19.78 (16.74, 22.82)"
,75+,"0.29 (-0.12, 0.69)","0.29 (-0.12, 0.69)","1.16 (0.76, 1.57)","1.16 (0.76, 1.57)","24.77 (-8.60, 58.14)"
Pancreas,,,,,,
Males,<75,"0.39 (0.19, 0.59)","0.39 (0.19, 0.59)","3.73 (3.53, 3.93)","3.73 (3.53, 3.93)","10.43 (5.75, 15.12)"
,75+,"0.22 (0.12, 0.33)","0.22 (0.12, 0.33)","0.84 (0.73, 0.95)","0.84 (0.73, 0.95)","26.39 (16.75, 36.02)"
Females,<75,"0.08 (-0.15, 0.31)","0.08 (-0.15, 0.31)","2.82 (2.59, 3.05)","2.82 (2.59, 3.05)","2.85 (-4.96, 10.67)"
,75+,"0.04 (-0.04, 0.13)","0.04 (-0.04, 0.13)","1.31 (1.22, 1.39)","1.31 (1.22, 1.39)","3.28 (-2.91, 9.48)"
Rectum,,,,,,
Males,<75,"1.38 (1.03, 1.73)","1.38 (1.03, 1.73)","3.07 (2.72, 3.41)","3.07 (2.72, 3.41)","45.05 (38.80, 51.31)"
,75+,"2.27 (1.76, 2.79)","2.27 (1.76, 2.79)","7.49 (6.97, 8.01)","7.49 (6.97, 8.01)","30.34 (25.50, 35.17)"
Females,<75,"-1.02 (-1.43, -0.61)","-1.02 (-1.43, -0.61)","1.97 (1.56, 2.39)","1.97 (1.56, 2.39)","-51.41 (-84.55, -18.27)"
,75+,"0.55 (-0.00, 1.09)","0.55 (-0.00, 1.09)","3.43 (2.88, 3.97)","3.43 (2.88, 3.97)","15.94 (2.34, 29.53)"
