site,estimate,agegroup,stage,sex,race,tt,PE,lci,uci,n_black
Breast,Model fit,75+,Distant,Female,Black,0.0,1.0,1.0,1.0,
Breast,Model fit,75+,Distant,Female,Black,0.0500000007450581,0.9429124304309098,0.9223901671064,0.9638912936921706,
Breast,Model fit,75+,Distant,Female,Black,0.1000000014901161,0.8959702244111487,0.8686997290327927,0.9240968037657354,
Breast,Model fit,75+,Distant,Female,Black,0.1500000059604645,0.8562064476086851,0.8248241152676572,0.8887827930307238,
Breast,Model fit,75+,Distant,Female,Black,0.2000000029802322,0.821650814340989,0.7872414373635844,0.8575641838266362,
Breast,Model fit,75+,Distant,Female,Black,0.25,0.791097593410545,0.7542728738030685,0.8297201504072039,
Breast,Model fit,75+,Distant,Female,Black,0.300000011920929,0.7637391197265564,0.7249196423166403,0.8046373817884696,
Breast,Model fit,75+,Distant,Female,Black,0.3499999940395355,0.7390004466071037,0.6985097909756866,0.7818382321064816,
Breast,Model fit,75+,Distant,Female,Black,0.4000000059604645,0.7164541499474545,0.674556016012502,0.7609546676512275,
Breast,Model fit,75+,Distant,Female,Black,0.449999988079071,0.695772112669146,0.6526875386309368,0.7417007436414704,
Breast,Model fit,75+,Distant,Female,Black,0.5,0.6766959283372109,0.6326127250986175,0.7238510407086346,
Breast,Model fit,75+,Distant,Female,Black,0.550000011920929,0.6590179840822386,0.6140967787461094,0.7072251774884745,
Breast,Model fit,75+,Distant,Female,Black,0.6000000238418579,0.6425686213965159,0.5969472101336206,0.6916766276719792,
Breast,Model fit,75+,Distant,Female,Black,0.6499999761581421,0.6272072569641821,0.5810039939062498,0.6770847486669952,
Breast,Model fit,75+,Distant,Female,Black,0.699999988079071,0.6128159228961333,0.5661324753157835,0.6633489010598888,
Breast,Model fit,75+,Distant,Female,Black,0.75,0.5992946848483468,0.5522183346882948,0.6503842714498197,
Breast,Model fit,75+,Distant,Female,Black,0.800000011920929,0.5865580502606971,0.5391636370785489,0.6381186019700118,
Breast,Model fit,75+,Distant,Female,Black,0.8500000238418579,0.5745323028354731,0.5268838798054858,0.6264897820052739,
Breast,Model fit,75+,Distant,Female,Black,0.8999999761581421,0.5631534348581912,0.5153056865334348,0.6154439966033672,
Breast,Model fit,75+,Distant,Female,Black,0.949999988079071,0.5523654584134989,0.5043649178704988,0.6049342228967134,
Breast,Model fit,75+,Distant,Female,Black,1.0,0.5421191857584098,0.4940052844345413,0.5949191654979227,
Breast,Model fit,75+,Distant,Female,Black,1.049999952316284,0.5323711394335476,0.4841771130623956,0.5853623032884865,
Breast,Model fit,75+,Distant,Female,Black,1.100000023841858,0.5230826596807387,0.4748363323422687,0.5762311142220045,
Breast,Model fit,75+,Distant,Female,Black,1.149999976158142,0.5142193317127988,0.4659437969052116,0.567496601228387,
Breast,Model fit,75+,Distant,Female,Black,1.200000047683716,0.5057502452717325,0.4574644575601845,0.5591326415971157,
Breast,Model fit,75+,Distant,Female,Black,1.25,0.4976476850444068,0.4493669764762612,0.5511157503652028,
Breast,Model fit,75+,Distant,Female,Black,1.299999952316284,0.4898865854853272,0.4416231161824651,0.543424603116375,
Breast,Model fit,75+,Distant,Female,Black,1.350000023841858,0.4824442564659172,0.4342074101223544,0.5360398168501198,
Breast,Model fit,75+,Distant,Female,Black,1.399999976158142,0.4753001455733084,0.4270968754206745,0.528943762839508,
Breast,Model fit,75+,Distant,Female,Black,1.450000047683716,0.4684354706349227,0.4202706048708622,0.5221202425432229,
Breast,Model fit,75+,Distant,Female,Black,1.5,0.4618331461076705,0.4137096562344962,0.5155544513633816,
Breast,Model fit,75+,Distant,Female,Black,1.549999952316284,0.4554774858579312,0.4073967244106828,0.5092327151710943,
Breast,Model fit,75+,Distant,Female,Black,1.600000023841858,0.4493515533279588,0.4013134646891467,0.5031399049484971,
Breast,Model fit,75+,Distant,Female,Black,1.649999976158142,0.4434287784720287,0.3954321569078618,0.4972511166384765,
Breast,Model fit,75+,Distant,Female,Black,1.700000047683716,0.4376826901050903,0.3897255158070865,0.4915411730764209,
Breast,Model fit,75+,Distant,Female,Black,1.75,0.4320902162608655,0.384169940002094,0.4859879328074025,
Breast,Model fit,75+,Distant,Female,Black,1.799999952316284,0.4266311405898812,0.3787449080536776,0.4805718209028095,
Breast,Model fit,75+,Distant,Female,Black,1.850000023841858,0.4212877634991672,0.3734325890745568,0.4752755513758742,
Breast,Model fit,75+,Distant,Female,Black,1.899999976158142,0.4160446128555569,0.3682175121757404,0.4700838883608489,
Breast,Model fit,75+,Distant,Female,Black,1.950000047683716,0.4108880760560764,0.3630861642525015,0.4649833226023315,
Breast,Model fit,75+,Distant,Female,Black,2.0,0.4058062603632677,0.3580268229912332,0.4599619647884667,
Breast,Model fit,75+,Distant,Female,Black,2.049999952316284,0.4007886999795565,0.3530292423737906,0.4550092818124817,
Breast,Model fit,75+,Distant,Female,Black,2.099999904632568,0.3958262274858165,0.3480845064659941,0.4501159903851106,
Breast,Model fit,75+,Distant,Female,Black,2.150000095367432,0.3909107843735146,0.3431848261131827,0.4452738865823839,
Breast,Model fit,75+,Distant,Female,Black,2.200000047683716,0.3860353814307284,0.3383234886722964,0.4404758188714276,
Breast,Model fit,75+,Distant,Female,Black,2.25,0.3811938426056689,0.3334945944094233,0.4357154450967904,
Breast,Model fit,75+,Distant,Female,Black,2.299999952316284,0.3763807984352111,0.3286930438872281,0.4309872328157033,
Breast,Model fit,75+,Distant,Female,Black,2.349999904632568,0.3715915748932793,0.3239144224350723,0.4262863551848958,
Breast,Model fit,75+,Distant,Female,Black,2.400000095367432,0.3668222117162597,0.3191550124778284,0.4216087159770246,
