site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Colon,Female,ADb,,,0,0.0,0.0,0.0,0.0
Colon,Female,ADb,,,0,0.050000001,5.995935570046921,5.5088768,6.4829946
Colon,Female,ADb,,,0,0.1,10.96111676451842,10.074728,11.847506
Colon,Female,ADb,,,0,0.15000001,15.13253198914076,13.91088,16.354183
Colon,Female,ADb,,,0,0.2,18.71836215605984,17.207918,20.228807
Colon,Female,ADb,,,0,0.25,21.85261061341154,20.088703,23.616518
Colon,Female,ADb,,,0,0.30000001,24.6269292529865,22.637377,26.616482
Colon,Female,ADb,,,0,0.34999999,27.10715817205772,24.914452,29.299866
Colon,Female,ADb,,,0,0.40000001,29.34240154940881,26.965113,31.71969
Colon,Female,ADb,,,0,0.44999999,31.37035428058252,28.824083,33.916626
Colon,Female,ADb,,,0,0.5,33.22064430379487,30.518684,35.922604
Colon,Female,ADb,,,0,0.55000001,34.91700291064484,32.07082,37.763187
Colon,Female,ADb,,,0,0.60000002,36.47875001479019,33.498337,39.459164
Colon,Female,ADb,,,0,0.64999998,37.92182877354691,34.815971,41.027687
Colon,Female,ADb,,,0,0.69999999,39.25956024302295,36.036053,42.48307
Colon,Female,ADb,,,0,0.75,40.50380064104749,37.169548,43.838055
Colon,Female,ADb,,,0,0.80000001,41.66601362975331,38.227055,45.104973
Colon,Female,ADb,,,0,0.85000002,42.75590634193685,39.217548,46.294266
Colon,Female,ADb,,,0,0.89999998,43.7815560082613,40.148495,47.414616
Colon,Female,ADb,,,0,0.94999999,44.74974627487302,41.026176,48.473316
Colon,Female,ADb,,,0,1.0,45.66621352203919,41.855904,49.476524
Colon,Female,ADb,,,0,1.05,46.526950613819,42.633877,50.420025
Colon,Female,ADb,,,0,1.1,47.34486628058727,43.372128,51.317604
Colon,Female,ADb,,,0,1.15,48.12360285740112,44.074039,52.173164
Colon,Female,ADb,,,0,1.2,48.86633102827221,44.74255,52.990112
Colon,Female,ADb,,,0,1.25,49.57581287460181,45.380222,53.7714
Colon,Female,ADb,,,0,1.3,50.25447759162961,45.989315,54.519638
Colon,Female,ADb,,,0,1.35,50.90446731613469,46.571815,55.237118
Colon,Female,ADb,,,0,1.4,51.52765107543013,47.129467,55.925838
Colon,Female,ADb,,,0,1.45,52.12520328929838,47.663368,56.58704
Colon,Female,ADb,,,0,1.5,52.69776373405688,48.174145,57.221386
Colon,Female,ADb,,,0,1.55,53.24598697261951,48.662422,57.829552
Colon,Female,ADb,,,0,1.6,53.77054934539751,49.128857,58.412243
Colon,Female,ADb,,,0,1.65,54.27213696349469,49.574104,58.970169
Colon,Female,ADb,,,0,1.7,54.7514475143746,49.998825,59.50407
Colon,Female,ADb,,,0,1.75,55.20917523595978,50.403687,60.014664
Colon,Female,ADb,,,0,1.8,55.64601469285026,50.789345,60.502686
Colon,Female,ADb,,,0,1.85,56.06265365224249,51.156452,60.968857
Colon,Female,ADb,,,0,1.9,56.45976757484715,51.505646,61.413891
Colon,Female,ADb,,,0,1.95,56.83802428496386,51.837559,61.83849
Colon,Female,ADb,,,0,2.0,57.19807470038847,52.152802,62.243347
Colon,Female,ADb,,,0,2.05,57.52967840561632,52.44173,62.617626
Colon,Female,ADb,,,0,2.0999999,57.8443223837283,52.715153,62.973492
Colon,Female,ADb,,,0,2.1500001,58.14262181694801,52.973656,63.311588
Colon,Female,ADb,,,0,2.2,58.42517046289669,53.217789,63.632553
Colon,Female,ADb,,,0,2.25,58.69254926135466,53.448097,63.937
Colon,Female,ADb,,,0,2.3,58.94538492115942,53.665169,64.225601
Colon,Female,ADb,,,0,2.3499999,59.18441207084379,53.869678,64.499146
Colon,Female,ADb,,,0,2.4000001,59.41033518933699,54.062275,64.758392
Colon,Female,ADb,,,0,2.45,59.62380835437477,54.243565,65.004051
Colon,Female,ADb,,,0,2.5,59.82544561687035,54.414116,65.236778
Colon,Female,ADb,,,0,2.55,60.0158201669604,54.574451,65.457191
Colon,Female,ADb,,,0,2.5999999,60.19546863657104,54.725071,65.665863
Colon,Female,ADb,,,0,2.6500001,60.36489477601793,54.866436,65.863358
Colon,Female,ADb,,,0,2.7,60.52456889413293,54.998978,66.050163
Colon,Female,ADb,,,0,2.75,60.67493508379397,55.123104,66.226768
Colon,Female,ADb,,,0,2.8,60.81641011019326,55.239204,66.393616
Colon,Female,ADb,,,0,2.8499999,60.94938621509414,55.347633,66.55114
Colon,Female,ADb,,,0,2.9000001,61.07423349202139,55.448734,66.699738
Colon,Female,ADb,,,0,2.95,61.19129918647025,55.54282,66.839775
Colon,Female,ADb,,,0,3.0,61.30091276714916,55.630199,66.971626
Colon,Female,ADb,,,0,3.05,61.39166344377588,55.700073,67.083252
Colon,Female,ADb,,,0,3.0999999,61.47561892696683,55.763836,67.187401
