site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Colon,Male,ADb,,,0,0.0,0.0,0.0,0.0
Colon,Male,ADb,,,0,0.050000001,5.435268817472672,5.0002079,5.8703299
Colon,Male,ADb,,,0,0.1,10.58849485029182,9.7457933,11.431196
Colon,Male,ADb,,,0,0.15000001,15.11048569786335,13.910929,16.310043
Colon,Male,ADb,,,0,0.2,19.09583535983798,17.581884,20.609787
Colon,Male,ADb,,,0,0.25,22.63624830061246,20.842764,24.429733
Colon,Male,ADb,,,0,0.30000001,25.80510039790721,23.760983,27.849218
Colon,Male,ADb,,,0,0.34999999,28.66008041478219,26.389606,30.930555
Colon,Male,ADb,,,0,0.40000001,31.24692371603649,28.770733,33.723114
Colon,Male,ADb,,,0,0.44999999,33.60235801363586,30.938202,36.266514
Colon,Male,ADb,,,0,0.5,35.75628526343351,32.919575,38.592999
Colon,Male,ADb,,,0,0.55000001,37.73334686635383,34.737572,40.729122
Colon,Male,ADb,,,0,0.60000002,39.55408299966101,36.411152,42.697014
Colon,Male,ADb,,,0,0.64999998,41.23578550031661,37.956276,44.515293
Colon,Male,ADb,,,0,0.69999999,42.79315067849939,39.386513,46.199787
Colon,Male,ADb,,,0,0.75,44.23876007880037,40.713486,47.764034
Colon,Male,ADb,,,0,0.80000001,45.58360702192439,41.947346,49.219868
Colon,Male,ADb,,,0,0.85000002,46.8394600789546,43.098965,50.579956
Colon,Male,ADb,,,0,0.89999998,48.01798671126141,44.1791,51.856873
Colon,Male,ADb,,,0,0.94999999,49.1288771210501,45.196697,53.061058
Colon,Male,ADb,,,0,1.0,50.18017545112565,46.159172,54.20118
Colon,Male,ADb,,,0,1.05,51.16985200495446,47.064587,55.27512
Colon,Male,ADb,,,0,1.1,52.11209077342966,47.92609,56.298092
Colon,Male,ADb,,,0,1.15,53.01168903737772,48.748108,57.275269
Colon,Male,ADb,,,0,1.2,53.87273128614834,49.534416,58.211048
Colon,Male,ADb,,,0,1.25,54.69869696389873,50.288219,59.109173
Colon,Male,ADb,,,0,1.3,55.49257544404622,51.01228,59.97287
Colon,Male,ADb,,,0,1.35,56.25694068408001,51.708973,60.804909
Colon,Male,ADb,,,0,1.4,56.9940121475824,52.380352,61.607674
Colon,Male,ADb,,,0,1.45,57.70572146936354,53.028194,62.383247
Colon,Male,ADb,,,0,1.5,58.39374100973026,53.654049,63.133434
Colon,Male,ADb,,,0,1.55,59.05906351690868,54.258835,63.859295
Colon,Male,ADb,,,0,1.6,59.70154668518592,54.842434,64.560661
Colon,Male,ADb,,,0,1.65,60.32102912999818,55.404713,65.237343
Colon,Male,ADb,,,0,1.7,60.91748857146632,55.945663,65.889313
Colon,Male,ADb,,,0,1.75,61.49100801067976,56.465378,66.51664
Colon,Male,ADb,,,0,1.8,62.04176728617927,56.964031,67.119507
Colon,Male,ADb,,,0,1.85,62.57002288040326,57.441872,67.698174
Colon,Male,ADb,,,0,1.9,63.07609106104417,57.899204,68.252975
Colon,Male,ADb,,,0,1.95,63.56034520734693,58.336384,68.784302
Colon,Male,ADb,,,0,2.0,64.02319644456077,58.753799,69.292595
Colon,Male,ADb,,,0,2.05,64.45428658877324,59.141773,69.7668
Colon,Male,ADb,,,0,2.0999999,64.86484849670376,59.510807,70.218887
Colon,Male,ADb,,,0,2.1500001,65.25538852145758,59.86137,70.649406
Colon,Male,ADb,,,0,2.2,65.62642261585489,60.193954,71.058891
Colon,Male,ADb,,,0,2.25,65.97848298445331,60.509052,71.447914
Colon,Male,ADb,,,0,2.3,66.31210666634757,60.807171,71.817039
Colon,Male,ADb,,,0,2.3499999,66.62783412420004,61.088818,72.166855
Colon,Male,ADb,,,0,2.4000001,66.9262082089258,61.354492,72.497925
Colon,Male,ADb,,,0,2.45,67.20785631652052,61.604786,72.810928
Colon,Male,ADb,,,0,2.5,67.47358878280272,61.840443,73.106735
Colon,Male,ADb,,,0,2.55,67.7241918269076,62.062191,73.386192
Colon,Male,ADb,,,0,2.5999999,67.9604026289187,62.270714,73.650093
Colon,Male,ADb,,,0,2.6500001,68.18291404293313,62.466648,73.899178
Colon,Male,ADb,,,0,2.7,68.39237378371945,62.650597,74.134155
Colon,Male,ADb,,,0,2.75,68.58939386516477,62.82312,74.355667
Colon,Male,ADb,,,0,2.8,68.77454911116166,62.984753,74.564346
Colon,Male,ADb,,,0,2.8499999,68.94838082944943,63.13599,74.760773
Colon,Male,ADb,,,0,2.9000001,69.11139993093008,63.277313,74.945488
Colon,Male,ADb,,,0,2.95,69.26408604533412,63.409153,75.119019
Colon,Male,ADb,,,0,3.0,69.40689417891372,63.53194,75.281845
Colon,Male,ADb,,,0,3.05,69.52847759341228,63.635033,75.421921
