site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Corpus_and_uterus,Female,ADb,,,0,0.0,0.0,0.0,0.0
Corpus_and_uterus,Female,ADb,,,0,0.050000001,15.4428331951722,14.904046,15.98162
Corpus_and_uterus,Female,ADb,,,0,0.1,30.0025423853996,28.980257,31.024828
Corpus_and_uterus,Female,ADb,,,0,0.15000001,43.30827124059211,41.856194,44.760349
Corpus_and_uterus,Female,ADb,,,0,0.2,55.52002909916895,53.681576,57.358482
Corpus_and_uterus,Female,ADb,,,0,0.25,66.78504704343355,64.596092,68.973999
Corpus_and_uterus,Female,ADb,,,0,0.30000001,77.22360899831793,74.714424,79.732796
Corpus_and_uterus,Female,ADb,,,0,0.34999999,86.93360933246785,84.13015,89.737068
Corpus_and_uterus,Female,ADb,,,0,0.40000001,95.99569737997489,92.920509,99.070885
Corpus_and_uterus,Female,ADb,,,0,0.44999999,104.4771897747804,101.15007,107.80431
Corpus_and_uterus,Female,ADb,,,0,0.5,112.4350255642783,108.87352,115.99653
Corpus_and_uterus,Female,ADb,,,0,0.55000001,119.9178761294575,116.13764,123.69811
Corpus_and_uterus,Female,ADb,,,0,0.60000002,126.9677695379192,122.98286,130.95268
Corpus_and_uterus,Female,ADb,,,0,0.64999998,133.6212960332073,129.44441,137.79817
Corpus_and_uterus,Female,ADb,,,0,0.69999999,139.9105800592359,135.55327,144.2679
Corpus_and_uterus,Female,ADb,,,0,0.75,145.8639701587359,141.33672,150.39122
Corpus_and_uterus,Female,ADb,,,0,0.80000001,151.5066571416844,146.81909,156.19421
Corpus_and_uterus,Female,ADb,,,0,0.85000002,156.8611374098926,152.02209,161.70018
Corpus_and_uterus,Female,ADb,,,0,0.89999998,161.9475873215779,156.96521,166.92996
Corpus_and_uterus,Female,ADb,,,0,0.94999999,166.7841576091788,161.66597,171.90234
Corpus_and_uterus,Female,ADb,,,0,1.0,171.3872227716126,166.1402,176.63425
Corpus_and_uterus,Female,ADb,,,0,1.05,175.7531029790525,170.38428,181.12193
Corpus_and_uterus,Female,ADb,,,0,1.1,179.9131777588494,174.4286,185.39775
Corpus_and_uterus,Female,ADb,,,0,1.15,183.8798946052463,178.2852,189.47459
Corpus_and_uterus,Female,ADb,,,0,1.2,187.6647021478634,181.96516,193.36423
Corpus_and_uterus,Female,ADb,,,0,1.25,191.278087409029,185.47865,197.07751
Corpus_and_uterus,Female,ADb,,,0,1.3,194.7297377576531,188.83504,200.62444
Corpus_and_uterus,Female,ADb,,,0,1.35,198.0285969383002,192.04298,204.01421
Corpus_and_uterus,Female,ADb,,,0,1.4,201.1829172237675,195.11049,207.25534
Corpus_and_uterus,Female,ADb,,,0,1.45,204.2003784509133,198.045,210.35576
Corpus_and_uterus,Female,ADb,,,0,1.5,207.0880847984769,200.85338,213.32278
Corpus_and_uterus,Female,ADb,,,0,1.55,209.8525468458821,203.54198,216.16312
Corpus_and_uterus,Female,ADb,,,0,1.6,212.4980076204773,206.11487,218.88113
Corpus_and_uterus,Female,ADb,,,0,1.65,215.0272099546558,208.57475,221.47968
Corpus_and_uterus,Female,ADb,,,0,1.7,217.443054110457,210.92441,223.9617
Corpus_and_uterus,Female,ADb,,,0,1.75,219.7485479856663,213.16676,226.33034
Corpus_and_uterus,Female,ADb,,,0,1.8,221.9468079944944,215.30484,228.58878
Corpus_and_uterus,Female,ADb,,,0,1.85,224.0410072013328,217.34174,230.74028
Corpus_and_uterus,Female,ADb,,,0,1.9,226.0343336577229,219.28052,232.78815
Corpus_and_uterus,Female,ADb,,,0,1.95,227.9300016361204,221.12434,234.73567
Corpus_and_uterus,Female,ADb,,,0,2.0,229.7311944387443,222.87627,236.58612
Corpus_and_uterus,Female,ADb,,,0,2.05,231.4154709975429,224.51447,238.31648
Corpus_and_uterus,Female,ADb,,,0,2.0999999,233.0113183742432,226.06665,239.95599
Corpus_and_uterus,Female,ADb,,,0,2.1500001,234.5218421008563,227.53583,241.50786
Corpus_and_uterus,Female,ADb,,,0,2.2,235.9500648078237,228.92496,242.97517
Corpus_and_uterus,Female,ADb,,,0,2.25,237.2989628147262,230.23691,244.36102
Corpus_and_uterus,Female,ADb,,,0,2.3,238.5714318162278,231.4745,245.66835
Corpus_and_uterus,Female,ADb,,,0,2.3499999,239.7702904385206,232.6405,246.90009
Corpus_and_uterus,Female,ADb,,,0,2.4000001,240.898582277992,233.73784,248.05933
Corpus_and_uterus,Female,ADb,,,0,2.45,241.9603096808639,234.7704,249.15022
Corpus_and_uterus,Female,ADb,,,0,2.5,242.9594711217738,235.7421,250.17685
Corpus_and_uterus,Female,ADb,,,0,2.55,243.8997742426794,236.65651,251.14304
Corpus_and_uterus,Female,ADb,,,0,2.5999999,244.784664560549,237.51701,252.05231
Corpus_and_uterus,Female,ADb,,,0,2.6500001,245.6173504281282,238.32671,252.90799
Corpus_and_uterus,Female,ADb,,,0,2.7,246.4008066486868,239.0885,253.71312
Corpus_and_uterus,Female,ADb,,,0,2.75,247.1378158328771,239.80507,254.47055
Corpus_and_uterus,Female,ADb,,,0,2.8,247.8309683051915,240.47897,255.18297
Corpus_and_uterus,Female,ADb,,,0,2.8499999,248.4826808246409,241.11253,255.85283
Corpus_and_uterus,Female,ADb,,,0,2.9000001,249.0952127806103,241.70795,256.48248
Corpus_and_uterus,Female,ADb,,,0,2.95,249.6706669169297,242.26727,257.07407
Corpus_and_uterus,Female,ADb,,,0,3.0,250.2110180203564,242.79243,257.62961
Corpus_and_uterus,Female,ADb,,,0,3.05,250.6890511953076,243.25691,258.12119
Corpus_and_uterus,Female,ADb,,,0,3.0999999,251.1355457721993,243.69069,258.58041
Corpus_and_uterus,Female,ADb,,,0,3.1500001,251.5521323083377,244.09535,259.00891
Corpus_and_uterus,Female,ADb,,,0,3.2,251.9403340813837,244.47237,259.40829
Corpus_and_uterus,Female,ADb,,,0,3.25,252.3015862959645,244.82315,259.78003
Corpus_and_uterus,Female,ADb,,,0,3.3,252.6372347109949,245.14899,260.12549
Corpus_and_uterus,Female,ADb,,,0,3.3499999,252.948543863733,245.45114,260.44595
Corpus_and_uterus,Female,ADb,,,0,3.4000001,253.2367040664415,245.73074,260.74268
Corpus_and_uterus,Female,ADb,,,0,3.45,253.502831248881,245.98889,261.01678
Corpus_and_uterus,Female,ADb,,,0,3.5,253.7479800129873,246.22661,261.26935
Corpus_and_uterus,Female,ADb,,,0,3.55,253.9731424772469,246.44487,261.50143
Corpus_and_uterus,Female,ADb,,,0,3.5999999,254.1792538078188,246.64456,261.71393
Corpus_and_uterus,Female,ADb,,,0,3.6500001,254.3671968629262,246.82657,261.90781
Corpus_and_uterus,Female,ADb,,,0,3.7,254.5378021992992,246.9917,262.08392
Corpus_and_uterus,Female,ADb,,,0,3.75,254.6918566851444,247.1407,262.24301
Corpus_and_uterus,Female,ADb,,,0,3.8,254.8301028350423,247.27431,262.38589
Corpus_and_uterus,Female,ADb,,,0,3.8499999,254.9532425296961,247.39319,262.51331
Corpus_and_uterus,Female,ADb,,,0,3.9000001,255.0619400792598,247.49802,262.62585
Corpus_and_uterus,Female,ADb,,,0,3.95,255.1568226117445,247.58939,262.72427
Corpus_and_uterus,Female,ADb,,,0,4.0,255.2384853996816,247.66788,262.80908
Corpus_and_uterus,Female,ADb,,,0,4.0500002,255.2759144467715,247.70328,262.84854
Corpus_and_uterus,Female,ADb,,,0,4.0999999,255.3013104680142,247.72694,262.87567
Corpus_and_uterus,Female,ADb,,,0,4.1500001,255.3151834919284,247.7394,262.89096
Corpus_and_uterus,Female,ADb,,,0,4.1999998,255.3180165526765,247.74109,262.89493
Corpus_and_uterus,Female,ADb,,,0,4.25,255.3102683336872,247.73248,262.88806
Corpus_and_uterus,Female,ADb,,,0,4.3000002,255.2923741709582,247.71397,262.87076
Corpus_and_uterus,Female,ADb,,,0,4.3499999,255.2647479293155,247.686,262.84351
Corpus_and_uterus,Female,ADb,,,0,4.4000001,255.2277820452109,247.64893,262.80664
Corpus_and_uterus,Female,ADb,,,0,4.4499998,255.1818507777646,247.6031,262.76059
Corpus_and_uterus,Female,ADb,,,0,4.5,255.1273085124258,247.5489,262.70572
Corpus_and_uterus,Female,ADb,,,0,4.5500002,255.0644936473133,247.48665,262.64233
Corpus_and_uterus,Female,ADb,,,0,4.5999999,254.993728602922,247.41664,262.57083
Corpus_and_uterus,Female,ADb,,,0,4.6500001,254.9153183490004,247.33919,262.49146
Corpus_and_uterus,Female,ADb,,,0,4.6999998,254.8295561594733,247.25456,262.40454
Corpus_and_uterus,Female,ADb,,,0,4.75,254.7367184390881,247.16306,262.31039
Corpus_and_uterus,Female,ADb,,,0,4.8000002,254.6370710184896,247.06491,262.20923
Corpus_and_uterus,Female,ADb,,,0,4.8499999,254.5308676930327,246.96037,262.10135
Corpus_and_uterus,Female,ADb,,,0,4.9000001,254.4183475490577,246.84969,261.987
Corpus_and_uterus,Female,ADb,,,0,4.9499998,254.2997428210044,246.73308,261.86642
Corpus_and_uterus,Female,ADb,,,0,5.0,254.1752708970328,246.61075,261.73981
Corpus_and_uterus,Female,ADb,,,1,0.0,0.0,0.0,0.0
Corpus_and_uterus,Female,ADb,,,1,0.050000001,11.91570492182238,11.46761,12.3638
Corpus_and_uterus,Female,ADb,,,1,0.1,23.22501430109941,22.36883,24.081198
Corpus_and_uterus,Female,ADb,,,1,0.15000001,33.6304103205085,32.406292,34.85453
Corpus_and_uterus,Female,ADb,,,1,0.2,43.2382961618359,41.679356,44.797237
Corpus_and_uterus,Female,ADb,,,1,0.25,52.15034498298533,50.284424,54.016266
Corpus_and_uterus,Female,ADb,,,1,0.30000001,60.45081857256247,58.301769,62.599869
Corpus_and_uterus,Female,ADb,,,1,0.34999999,68.20893974475959,65.797501,70.620384
Corpus_and_uterus,Female,ADb,,,1,0.40000001,75.48216332624574,72.826569,78.137756
Corpus_and_uterus,Female,ADb,,,1,0.44999999,82.31874977790812,79.435211,85.202286
Corpus_and_uterus,Female,ADb,,,1,0.5,88.75975298297459,85.662773,91.856735
Corpus_and_uterus,Female,ADb,,,1,0.55000001,94.84044570066716,91.543091,98.137802
Corpus_and_uterus,Female,ADb,,,1,0.60000002,100.5914314083259,97.105545,104.07732
Corpus_and_uterus,Female,ADb,,,1,0.64999998,106.0394709767573,102.37585,109.7031
Corpus_and_uterus,Female,ADb,,,1,0.69999999,111.2081581127082,107.37665,115.03967
Corpus_and_uterus,Female,ADb,,,1,0.75,116.1183922103335,112.12806,120.10873
Corpus_and_uterus,Female,ADb,,,1,0.80000001,120.788813120169,116.648,124.92963
Corpus_and_uterus,Female,ADb,,,1,0.85000002,125.2361244518495,120.95254,129.51971
Corpus_and_uterus,Female,ADb,,,1,0.89999998,129.4753554021005,125.05614,133.89456
Corpus_and_uterus,Female,ADb,,,1,0.94999999,133.5200660001824,128.97186,138.06827
Corpus_and_uterus,Female,ADb,,,1,1.0,137.3825214748551,132.71152,142.05353
Corpus_and_uterus,Female,ADb,,,1,1.05,141.0650234995165,136.27728,145.85275
Corpus_and_uterus,Female,ADb,,,1,1.1,144.5862382076792,139.68718,149.48529
Corpus_and_uterus,Female,ADb,,,1,1.15,147.9555456276909,142.95024,152.96085
Corpus_and_uterus,Female,ADb,,,1,1.2,151.1815985758944,146.07481,156.28838
Corpus_and_uterus,Female,ADb,,,1,1.25,154.2723391993929,149.06854,159.47614
Corpus_and_uterus,Female,ADb,,,1,1.3,157.2351238005045,151.93854,162.53171
Corpus_and_uterus,Female,ADb,,,1,1.35,160.0767594549214,154.69135,165.46217
Corpus_and_uterus,Female,ADb,,,1,1.4,162.8035384810805,157.33305,168.27403
Corpus_and_uterus,Female,ADb,,,1,1.45,165.4213321071082,159.86931,170.97336
Corpus_and_uterus,Female,ADb,,,1,1.5,167.9355797736295,162.30539,173.56578
Corpus_and_uterus,Female,ADb,,,1,1.55,170.3512693218726,164.64607,176.05646
Corpus_and_uterus,Female,ADb,,,1,1.6,172.6715158695006,166.89439,178.44864
Corpus_and_uterus,Female,ADb,,,1,1.65,174.8981925200927,169.05215,180.74423
Corpus_and_uterus,Female,ADb,,,1,1.7,177.033325804464,171.12129,182.94536
Corpus_and_uterus,Female,ADb,,,1,1.75,179.0790525869728,173.10387,185.05423
Corpus_and_uterus,Female,ADb,,,1,1.8,181.0376227586567,175.00208,187.07318
Corpus_and_uterus,Female,ADb,,,1,1.85,182.9113548618415,176.81813,189.00458
Corpus_and_uterus,Female,ADb,,,1,1.9,184.7025999349922,178.55431,190.85089
Corpus_and_uterus,Female,ADb,,,1,1.95,186.4137523969638,180.21292,192.61459
Corpus_and_uterus,Female,ADb,,,1,2.0,188.0471991756917,181.79628,194.29813
Corpus_and_uterus,Female,ADb,,,1,2.05,189.5925511963512,183.29434,195.89076
Corpus_and_uterus,Female,ADb,,,1,2.0999999,191.0647688111091,184.72156,197.40799
Corpus_and_uterus,Female,ADb,,,1,2.1500001,192.4662210528642,186.08023,198.85222
Corpus_and_uterus,Female,ADb,,,1,2.2,193.7992226219239,187.37259,200.22586
Corpus_and_uterus,Female,ADb,,,1,2.25,195.0660675438774,188.60086,201.53128
Corpus_and_uterus,Female,ADb,,,1,2.3,196.2689969488454,189.7672,202.7708
Corpus_and_uterus,Female,ADb,,,1,2.3499999,197.410201831045,190.87375,203.94666
Corpus_and_uterus,Female,ADb,,,1,2.4000001,198.492086188951,191.92281,205.06137
Corpus_and_uterus,Female,ADb,,,1,2.45,199.5179072034493,192.91754,206.11827
Corpus_and_uterus,Female,ADb,,,1,2.5,200.4909417810305,193.86113,207.12074
Corpus_and_uterus,Female,ADb,,,1,2.55,201.4142328224664,194.75652,208.07195
Corpus_and_uterus,Female,ADb,,,1,2.5999999,202.2906126315641,195.60643,208.97479
Corpus_and_uterus,Female,ADb,,,1,2.6500001,203.1227233385977,196.41344,209.83202
Corpus_and_uterus,Female,ADb,,,1,2.7,203.9130163811612,197.17992,210.64612
Corpus_and_uterus,Female,ADb,,,1,2.75,204.6637901404355,197.90808,211.41951
Corpus_and_uterus,Female,ADb,,,1,2.8,205.3771865425561,198.60001,212.15437
Corpus_and_uterus,Female,ADb,,,1,2.8499999,206.0552067269389,199.25764,212.85277
Corpus_and_uterus,Female,ADb,,,1,2.9000001,206.6997246630573,199.8828,213.51665
Corpus_and_uterus,Female,ADb,,,1,2.95,207.3124847496215,200.47716,214.14781
Corpus_and_uterus,Female,ADb,,,1,3.0,207.8951291639517,201.04233,214.74792
Corpus_and_uterus,Female,ADb,,,1,3.05,208.4335161598468,201.56462,215.30241
Corpus_and_uterus,Female,ADb,,,1,3.0999999,208.9446901376964,202.06052,215.82887
Corpus_and_uterus,Female,ADb,,,1,3.1500001,209.4300102934286,202.53134,216.32867
Corpus_and_uterus,Female,ADb,,,1,3.2,209.8907459911906,202.97833,216.80316
Corpus_and_uterus,Female,ADb,,,1,3.25,210.3280965039587,203.40263,217.25356
Corpus_and_uterus,Female,ADb,,,1,3.3,210.7431870390306,203.80534,217.68103
Corpus_and_uterus,Female,ADb,,,1,3.3499999,211.1370760850985,204.1875,218.08665
Corpus_and_uterus,Female,ADb,,,1,3.4000001,211.5107617307532,204.55006,218.47147
Corpus_and_uterus,Female,ADb,,,1,3.45,211.8651788616979,204.89394,218.83643
Corpus_and_uterus,Female,ADb,,,1,3.5,212.2012137478342,205.21997,219.18246
Corpus_and_uterus,Female,ADb,,,1,3.55,212.5197004298728,205.52898,219.51042
Corpus_and_uterus,Female,ADb,,,1,3.5999999,212.8214258811115,205.82173,219.82112
Corpus_and_uterus,Female,ADb,,,1,3.6500001,213.1071344155235,206.09895,220.11531
Corpus_and_uterus,Female,ADb,,,1,3.7,213.3775251689342,206.36131,220.39374
Corpus_and_uterus,Female,ADb,,,1,3.75,213.6332629118391,206.60945,220.65707
Corpus_and_uterus,Female,ADb,,,1,3.8,213.8749749783394,206.84398,220.90598
Corpus_and_uterus,Female,ADb,,,1,3.8499999,214.1032549395464,207.06548,221.14102
Corpus_and_uterus,Female,ADb,,,1,3.9000001,214.3186657113022,207.27449,221.36284
Corpus_and_uterus,Female,ADb,,,1,3.95,214.521737467648,207.47153,221.57195
Corpus_and_uterus,Female,ADb,,,1,4.0,214.7129756222047,207.65709,221.76886
Corpus_and_uterus,Female,ADb,,,1,4.0500002,214.8755109211362,207.81485,221.93617
Corpus_and_uterus,Female,ADb,,,1,4.0999999,215.0271245786441,207.96201,222.09224
Corpus_and_uterus,Female,ADb,,,1,4.1500001,215.1682526103187,208.099,222.23752
Corpus_and_uterus,Female,ADb,,,1,4.1999998,215.2993035482741,208.2262,222.37241
Corpus_and_uterus,Female,ADb,,,1,4.25,215.4206705120243,208.34401,222.49734
Corpus_and_uterus,Female,ADb,,,1,4.3000002,215.5327234173871,208.45277,222.61267
Corpus_and_uterus,Female,ADb,,,1,4.3499999,215.6358142457,208.55284,222.7188
Corpus_and_uterus,Female,ADb,,,1,4.4000001,215.7302806395805,208.64453,222.81602
Corpus_and_uterus,Female,ADb,,,1,4.4499998,215.8164402037419,208.72818,222.90471
Corpus_and_uterus,Female,ADb,,,1,4.5,215.8945986411607,208.80405,222.98515
Corpus_and_uterus,Female,ADb,,,1,4.5500002,215.9650446580923,208.87242,223.05766
Corpus_and_uterus,Female,ADb,,,1,4.5999999,216.0280535619569,208.93359,223.12251
Corpus_and_uterus,Female,ADb,,,1,4.6500001,216.0838894840351,208.98779,223.17999
Corpus_and_uterus,Female,ADb,,,1,4.6999998,216.1328020477466,209.03528,223.23033
Corpus_and_uterus,Female,ADb,,,1,4.75,216.175031300209,209.07626,223.27379
Corpus_and_uterus,Female,ADb,,,1,4.8000002,216.2108049007558,209.11099,223.31061
Corpus_and_uterus,Female,ADb,,,1,4.8499999,216.2403403795271,209.13966,223.34102
Corpus_and_uterus,Female,ADb,,,1,4.9000001,216.2638462521045,209.16249,223.3652
Corpus_and_uterus,Female,ADb,,,1,4.9499998,216.2815207050226,209.17964,223.38339
Corpus_and_uterus,Female,ADb,,,1,5.0,216.2935538812798,209.19131,223.39578
Corpus_and_uterus,Female,ADb,,,2,0.0,0.0,0.0,0.0
Corpus_and_uterus,Female,ADb,,,2,0.050000001,3.551978446144411,3.2538319,3.8501248
Corpus_and_uterus,Female,ADb,,,2,0.1,6.824355939277179,6.2702408,7.3784709
Corpus_and_uterus,Female,ADb,,,2,0.15000001,9.743417054159416,8.9718685,10.514965
Corpus_and_uterus,Female,ADb,,,2,0.2,12.36335547207377,11.404483,13.322228
Corpus_and_uterus,Female,ADb,,,2,0.25,14.73019684188424,13.608125,15.852269
Corpus_and_uterus,Female,ADb,,,2,0.30000001,16.88032225214463,15.614816,18.14583
Corpus_and_uterus,Female,ADb,,,2,0.34999999,18.84268290773651,17.450218,20.235147
Corpus_and_uterus,Female,ADb,,,2,0.40000001,20.64069545674574,19.135204,22.146187
Corpus_and_uterus,Female,ADb,,,2,0.44999999,22.29359561030104,20.686989,23.900204
Corpus_and_uterus,Female,ADb,,,2,0.5,23.81741587966055,22.119976,25.514856
Corpus_and_uterus,Female,ADb,,,2,0.55000001,25.22567735665622,23.446354,27.005001
