site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Lung_and_bronchus,Female,ADb,,,0,0.0,0.0,0.0,0.0
Lung_and_bronchus,Female,ADb,,,0,0.050000001,7.811734147452114,6.8721075,8.7513609
Lung_and_bronchus,Female,ADb,,,0,0.1,15.52864953490689,13.695524,17.361774
Lung_and_bronchus,Female,ADb,,,0,0.15000001,22.01253788211307,19.439867,24.585209
Lung_and_bronchus,Female,ADb,,,0,0.2,27.42413774565614,24.241055,30.607222
Lung_and_bronchus,Female,ADb,,,0,0.25,31.96672172860491,28.276167,35.657276
Lung_and_bronchus,Female,ADb,,,0,0.30000001,35.80880431659534,31.692862,39.924747
Lung_and_bronchus,Female,ADb,,,0,0.34999999,39.08218096069072,34.606926,43.557438
Lung_and_bronchus,Female,ADb,,,0,0.40000001,41.88927720173115,37.10849,46.670067
Lung_and_bronchus,Female,ADb,,,0,0.44999999,44.31318578361538,39.270786,49.355583
Lung_and_bronchus,Female,ADb,,,0,0.5,46.43066326429835,41.161621,51.699703
Lung_and_bronchus,Female,ADb,,,0,0.55000001,48.30190902132676,42.834221,53.769596
Lung_and_bronchus,Female,ADb,,,0,0.60000002,49.9718826158205,44.328358,55.615406
Lung_and_bronchus,Female,ADb,,,0,0.64999998,51.47476616298172,45.674282,57.275249
Lung_and_bronchus,Female,ADb,,,0,0.69999999,52.83698356235766,46.89539,58.778576
Lung_and_bronchus,Female,ADb,,,0,0.75,54.07925909024709,48.010029,60.148487
Lung_and_bronchus,Female,ADb,,,0,0.80000001,55.21807267728798,49.032803,61.403343
Lung_and_bronchus,Female,ADb,,,0,0.85000002,56.26668924361149,49.975452,62.557922
Lung_and_bronchus,Female,ADb,,,0,0.89999998,57.23579966357181,50.847462,63.624138
Lung_and_bronchus,Female,ADb,,,0,0.94999999,58.13230891150886,51.654922,64.609695
Lung_and_bronchus,Female,ADb,,,0,1.0,58.96064844406601,52.401733,65.519562
Lung_and_bronchus,Female,ADb,,,0,1.05,59.71716503339712,53.084591,66.349739
Lung_and_bronchus,Female,ADb,,,0,1.1,60.41353295757108,53.713848,67.11322
Lung_and_bronchus,Female,ADb,,,0,1.15,61.05353458724676,54.292839,67.814232
Lung_and_bronchus,Female,ADb,,,0,1.2,61.64074578671875,54.824718,68.456772
Lung_and_bronchus,Female,ADb,,,0,1.25,62.17852681169165,55.312458,69.044594
Lung_and_bronchus,Female,ADb,,,0,1.3,62.67003858627049,55.75885,69.58123
Lung_and_bronchus,Female,ADb,,,0,1.35,63.1182460391949,56.166519,70.069977
Lung_and_bronchus,Female,ADb,,,0,1.4,63.5259245226971,56.537922,70.513924
Lung_and_bronchus,Female,ADb,,,0,1.45,63.89567673883062,56.87537,70.915985
Lung_and_bronchus,Female,ADb,,,0,1.5,64.22993481264075,57.181011,71.278854
Lung_and_bronchus,Female,ADb,,,0,1.55,64.53097651198095,57.456875,71.60508
Lung_and_bronchus,Female,ADb,,,0,1.6,64.80093184121029,57.704849,71.897011
Lung_and_bronchus,Female,ADb,,,0,1.65,65.04179094952542,57.926704,72.156876
Lung_and_bronchus,Female,ADb,,,0,1.7,65.25551893823308,58.124184,72.386856
Lung_and_bronchus,Female,ADb,,,0,1.75,65.44418474440272,58.299137,72.589233
Lung_and_bronchus,Female,ADb,,,0,1.8,65.60970744156793,58.453274,72.766144
Lung_and_bronchus,Female,ADb,,,0,1.85,65.75382856816054,58.588146,72.91951
Lung_and_bronchus,Female,ADb,,,0,1.9,65.87813086263395,58.70517,73.051094
Lung_and_bronchus,Female,ADb,,,0,1.95,65.98405758687409,58.80563,73.162483
Lung_and_bronchus,Female,ADb,,,0,2.0,66.07292504909788,58.890709,73.255142
Lung_and_bronchus,Female,ADb,,,0,2.05,66.13688376840832,58.953339,73.320427
Lung_and_bronchus,Female,ADb,,,0,2.0999999,66.18612013057873,59.002666,73.369576
Lung_and_bronchus,Female,ADb,,,0,2.1500001,66.22165069171729,59.039604,73.403694
Lung_and_bronchus,Female,ADb,,,0,2.2,66.244408892318,59.064991,73.423828
Lung_and_bronchus,Female,ADb,,,0,2.25,66.25525406682004,59.079594,73.430916
Lung_and_bronchus,Female,ADb,,,0,2.3,66.25497780805472,59.084118,73.425835
Lung_and_bronchus,Female,ADb,,,0,2.3499999,66.24431048705628,59.079227,73.409393
Lung_and_bronchus,Female,ADb,,,0,2.4000001,66.22392676658114,59.065521,73.382332
Lung_and_bronchus,Female,ADb,,,0,2.45,66.19445106816033,59.04356,73.345337
Lung_and_bronchus,Female,ADb,,,0,2.5,66.15646148755468,59.013866,73.299057
Lung_and_bronchus,Female,ADb,,,0,2.55,66.110494178409,58.976921,73.244064
Lung_and_bronchus,Female,ADb,,,0,2.5999999,66.05704690436141,58.93317,73.180923
Lung_and_bronchus,Female,ADb,,,0,2.6500001,65.99658199791998,58.88303,73.11013
Lung_and_bronchus,Female,ADb,,,0,2.7,65.92953048858817,58.826889,73.032173
Lung_and_bronchus,Female,ADb,,,0,2.75,65.85629302507527,58.76511,72.947479
Lung_and_bronchus,Female,ADb,,,0,2.8,65.77724339840847,58.698021,72.856461
Lung_and_bronchus,Female,ADb,,,0,2.8499999,65.69273044411852,58.625946,72.759514
Lung_and_bronchus,Female,ADb,,,0,2.9000001,65.60307957477607,58.549175,72.656982
Lung_and_bronchus,Female,ADb,,,0,2.95,65.50859630545779,58.467983,72.54921
Lung_and_bronchus,Female,ADb,,,0,3.0,65.40956531543134,58.382629,72.436501
Lung_and_bronchus,Female,ADb,,,0,3.05,65.29685416543384,58.284855,72.308853
Lung_and_bronchus,Female,ADb,,,0,3.0999999,65.18018570197387,58.183445,72.176926
Lung_and_bronchus,Female,ADb,,,0,3.1500001,65.05979501193337,58.078617,72.04097
Lung_and_bronchus,Female,ADb,,,0,3.2,64.93590443277049,57.97057,71.901237
Lung_and_bronchus,Female,ADb,,,0,3.25,64.80872115017678,57.859486,71.757957
Lung_and_bronchus,Female,ADb,,,0,3.3,64.67844043423929,57.745548,71.611328
Lung_and_bronchus,Female,ADb,,,0,3.3499999,64.545245951492,57.628922,71.461571
Lung_and_bronchus,Female,ADb,,,0,3.4000001,64.40930991634264,57.509762,71.308853
Lung_and_bronchus,Female,ADb,,,0,3.45,64.2707964379988,57.388218,71.153374
Lung_and_bronchus,Female,ADb,,,0,3.5,64.12985831220749,57.264431,70.995285
Lung_and_bronchus,Female,ADb,,,0,3.55,63.98664023032234,57.138527,70.834755
Lung_and_bronchus,Female,ADb,,,0,3.5999999,63.84127871713895,57.010635,70.671921
