site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Lung_and_bronchus,Male,ADb,,,0,0.0,0.0,0.0,0.0
Lung_and_bronchus,Male,ADb,,,0,0.050000001,9.173218970307031,8.2317867,10.114651
Lung_and_bronchus,Male,ADb,,,0,0.1,18.2477726797934,16.402065,20.093481
Lung_and_bronchus,Male,ADb,,,0,0.15000001,25.75032272182233,23.16947,28.331175
Lung_and_bronchus,Male,ADb,,,0,0.2,31.89482911897107,28.719696,35.069962
Lung_and_bronchus,Male,ADb,,,0,0.25,36.95038132886611,33.291683,40.609081
Lung_and_bronchus,Male,ADb,,,0,0.30000001,41.13834553770971,37.083031,45.193661
Lung_and_bronchus,Male,ADb,,,0,0.34999999,44.63030879411747,40.24733,49.013287
Lung_and_bronchus,Male,ADb,,,0,0.40000001,47.56029272677847,42.904789,52.215794
Lung_and_bronchus,Male,ADb,,,0,0.44999999,50.04735826093076,45.162457,54.932259
Lung_and_bronchus,Male,ADb,,,0,0.5,52.18631469133402,47.105701,57.26693
Lung_and_bronchus,Male,ADb,,,0,0.55000001,54.04581564469117,48.796387,59.295246
Lung_and_bronchus,Male,ADb,,,0,0.60000002,55.67658871542017,50.280251,61.072926
Lung_and_bronchus,Male,ADb,,,0,0.64999998,57.11686216131829,51.591785,62.641937
Lung_and_bronchus,Male,ADb,,,0,0.69999999,58.39597104491122,52.757469,64.03447
Lung_and_bronchus,Male,ADb,,,0,0.75,59.53678496517409,53.797951,65.27562
Lung_and_bronchus,Male,ADb,,,0,0.80000001,60.55725860445023,54.729446,66.385071
Lung_and_bronchus,Male,ADb,,,0,0.85000002,61.4689314143659,55.562366,67.375496
Lung_and_bronchus,Male,ADb,,,0,0.89999998,62.27925083054583,56.303425,68.255074
Lung_and_bronchus,Male,ADb,,,0,0.94999999,62.9953434168292,56.959038,69.031647
Lung_and_bronchus,Male,ADb,,,0,1.0,63.62406356864858,57.535389,69.712738
Lung_and_bronchus,Male,ADb,,,0,1.05,64.16283291475338,58.030197,70.295471
Lung_and_bronchus,Male,ADb,,,0,1.1,64.62683699863783,58.457111,70.796562
Lung_and_bronchus,Male,ADb,,,0,1.15,65.02190224912079,58.821396,71.222412
Lung_and_bronchus,Male,ADb,,,0,1.2,65.3534844985893,59.127983,71.578987
Lung_and_bronchus,Male,ADb,,,0,1.25,65.6266689234983,59.381466,71.871872
Lung_and_bronchus,Male,ADb,,,0,1.3,65.8461886514799,59.586132,72.106247
Lung_and_bronchus,Male,ADb,,,0,1.35,66.01643769873385,59.745956,72.286919
Lung_and_bronchus,Male,ADb,,,0,1.4,66.14148804965976,59.86462,72.418358
Lung_and_bronchus,Male,ADb,,,0,1.45,66.22511618319959,59.945553,72.504684
Lung_and_bronchus,Male,ADb,,,0,1.5,66.27105627193828,59.99213,72.54998
Lung_and_bronchus,Male,ADb,,,0,1.55,66.28302474286602,60.007732,72.558311
Lung_and_bronchus,Male,ADb,,,0,1.6,66.26435375976234,59.995384,72.533325
Lung_and_bronchus,Male,ADb,,,0,1.65,66.21801312176876,59.957779,72.478249
Lung_and_bronchus,Male,ADb,,,0,1.7,66.14665545669959,59.897324,72.395988
Lung_and_bronchus,Male,ADb,,,0,1.75,66.05265620696764,59.816185,72.289131
Lung_and_bronchus,Male,ADb,,,0,1.8,65.9381462262752,59.716293,72.159996
Lung_and_bronchus,Male,ADb,,,0,1.85,65.80504106842523,59.599392,72.010689
Lung_and_bronchus,Male,ADb,,,0,1.9,65.65506723588146,59.467052,71.843079
Lung_and_bronchus,Male,ADb,,,0,1.95,65.4897816035384,59.320694,71.658867
Lung_and_bronchus,Male,ADb,,,0,2.0,65.31059317102631,59.161594,71.459595
Lung_and_bronchus,Male,ADb,,,0,2.05,65.10907682362767,58.982155,71.236
Lung_and_bronchus,Male,ADb,,,0,2.0999999,64.89618743124515,58.792278,71.000099
Lung_and_bronchus,Male,ADb,,,0,2.1500001,64.6729787197005,58.592918,70.753036
Lung_and_bronchus,Male,ADb,,,0,2.2,64.44041231194547,58.384956,70.495865
Lung_and_bronchus,Male,ADb,,,0,2.25,64.19936116923054,58.169186,70.229538
Lung_and_bronchus,Male,ADb,,,0,2.3,63.95062248240311,57.946335,69.95491
Lung_and_bronchus,Male,ADb,,,0,2.3499999,63.69492430499349,57.717068,69.672783
Lung_and_bronchus,Male,ADb,,,0,2.4000001,63.43293109000069,57.481991,69.383873
Lung_and_bronchus,Male,ADb,,,0,2.45,63.16525475550179,57.241665,69.088844
Lung_and_bronchus,Male,ADb,,,0,2.5,62.89245255678657,56.996593,68.788307
Lung_and_bronchus,Male,ADb,,,0,2.55,62.61503684561512,56.74725,68.482826
Lung_and_bronchus,Male,ADb,,,0,2.5999999,62.3334781117187,56.494061,68.172897
Lung_and_bronchus,Male,ADb,,,0,2.6500001,62.04820743984101,56.237423,67.858994
Lung_and_bronchus,Male,ADb,,,0,2.7,61.7596253968818,55.977699,67.54155
Lung_and_bronchus,Male,ADb,,,0,2.75,61.46809694459171,55.715229,67.220963
Lung_and_bronchus,Male,ADb,,,0,2.8,61.17395963181593,55.450317,66.897606
Lung_and_bronchus,Male,ADb,,,0,2.8499999,60.87752473389355,55.183247,66.5718
Lung_and_bronchus,Male,ADb,,,0,2.9000001,60.57907807174684,54.914284,66.243874
Lung_and_bronchus,Male,ADb,,,0,2.95,60.27888774296434,54.643673,65.914101
Lung_and_bronchus,Male,ADb,,,0,3.0,59.97719741632591,54.371639,65.582756
Lung_and_bronchus,Male,ADb,,,0,3.05,59.66491717909003,54.089939,65.239891
Lung_and_bronchus,Male,ADb,,,0,3.0999999,59.3517027898979,53.807331,64.896072
Lung_and_bronchus,Male,ADb,,,0,3.1500001,59.03774630957696,53.523991,64.551498
Lung_and_bronchus,Male,ADb,,,0,3.2,58.72322981019602,53.240082,64.206375
Lung_and_bronchus,Male,ADb,,,0,3.25,58.40831753479688,52.955761,63.860874
Lung_and_bronchus,Male,ADb,,,0,3.3,58.09316292506014,52.671165,63.51516
Lung_and_bronchus,Male,ADb,,,0,3.3499999,57.77790807645647,52.386425,63.169392
Lung_and_bronchus,Male,ADb,,,0,3.4000001,57.46268310366258,52.101662,62.823704
Lung_and_bronchus,Male,ADb,,,0,3.45,57.14761294677373,51.81699,62.478237
Lung_and_bronchus,Male,ADb,,,0,3.5,56.83280907846711,51.532513,62.133106
Lung_and_bronchus,Male,ADb,,,0,3.55,56.51837618308377,51.248325,61.788425
Lung_and_bronchus,Male,ADb,,,0,3.5999999,56.20441126401352,50.96452,61.444302
Lung_and_bronchus,Male,ADb,,,0,3.6500001,55.89100271133975,50.681179,61.100826
Lung_and_bronchus,Male,ADb,,,0,3.7,55.57823679218609,50.398376,60.758099
Lung_and_bronchus,Male,ADb,,,0,3.75,55.2661891573091,50.116184,60.416191
Lung_and_bronchus,Male,ADb,,,0,3.8,54.9549312582476,49.834675,60.075188
Lung_and_bronchus,Male,ADb,,,0,3.8499999,54.64452925341607,49.553902,59.735157
Lung_and_bronchus,Male,ADb,,,0,3.9000001,54.33504290531414,49.273926,59.39616
Lung_and_bronchus,Male,ADb,,,0,3.95,54.026531821238,48.994797,59.058266
Lung_and_bronchus,Male,ADb,,,0,4.0,53.71904691443569,48.716564,58.721527
Lung_and_bronchus,Male,ADb,,,0,4.0500002,53.40384601148276,48.43129,58.376404
Lung_and_bronchus,Male,ADb,,,0,4.0999999,53.08990111880826,48.147118,58.032684
Lung_and_bronchus,Male,ADb,,,0,4.1500001,52.77724615512943,47.864086,57.690407
Lung_and_bronchus,Male,ADb,,,0,4.1999998,52.46592375824548,47.58223,57.349617
Lung_and_bronchus,Male,ADb,,,0,4.25,52.15596165035754,47.301579,57.010345
Lung_and_bronchus,Male,ADb,,,0,4.3000002,51.847393654288,47.022163,56.672623
Lung_and_bronchus,Male,ADb,,,0,4.3499999,51.54025091369977,46.744015,56.336487
Lung_and_bronchus,Male,ADb,,,0,4.4000001,51.23455333917036,46.467148,56.001957
Lung_and_bronchus,Male,ADb,,,0,4.4499998,50.93033023922339,46.191593,55.669067
Lung_and_bronchus,Male,ADb,,,0,4.5,50.62759714875347,45.917366,55.337826
Lung_and_bronchus,Male,ADb,,,0,4.5500002,50.32637631293687,45.644485,55.008266
Lung_and_bronchus,Male,ADb,,,0,4.5999999,50.02668804850236,45.372974,54.680405
Lung_and_bronchus,Male,ADb,,,0,4.6500001,49.72854235560249,45.102837,54.354248
Lung_and_bronchus,Male,ADb,,,0,4.6999998,49.43195900037767,44.834095,54.029823
