site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Oral_cavity_and_pharynx,Male,ADb,,,0,0.0,0.0,0.0,0.0
Oral_cavity_and_pharynx,Male,ADb,,,0,0.050000001,1.242842549615308,1.1379658,1.3477193
Oral_cavity_and_pharynx,Male,ADb,,,0,0.1,2.931342624412999,2.6864743,3.1762109
Oral_cavity_and_pharynx,Male,ADb,,,0,0.15000001,4.699370004283113,4.3067851,5.0919552
Oral_cavity_and_pharynx,Male,ADb,,,0,0.2,6.446967724879404,5.9078212,6.986114
Oral_cavity_and_pharynx,Male,ADb,,,0,0.25,8.133073504654412,7.4523473,8.8137999
Oral_cavity_and_pharynx,Male,ADb,,,0,0.30000001,9.739896968666208,8.9243031,10.555491
Oral_cavity_and_pharynx,Male,ADb,,,0,0.34999999,11.26061863607654,10.31758,12.203657
Oral_cavity_and_pharynx,Male,ADb,,,0,0.40000001,12.6940433824479,11.631161,13.756926
Oral_cavity_and_pharynx,Male,ADb,,,0,0.44999999,14.04195274243341,12.866716,15.217189
Oral_cavity_and_pharynx,Male,ADb,,,0,0.5,15.30770399311881,14.027335,16.588074
Oral_cavity_and_pharynx,Male,ADb,,,0,0.55000001,16.49543654426611,15.116807,17.874065
Oral_cavity_and_pharynx,Male,ADb,,,0,0.60000002,17.60962124731814,16.139215,19.080027
Oral_cavity_and_pharynx,Male,ADb,,,0,0.64999998,18.65479339202105,17.098698,20.210888
Oral_cavity_and_pharynx,Male,ADb,,,0,0.69999999,19.63540349432459,17.999311,21.271496
Oral_cavity_and_pharynx,Male,ADb,,,0,0.75,20.5556958417292,18.844921,22.26647
Oral_cavity_and_pharynx,Male,ADb,,,0,0.80000001,21.41923442641701,19.638767,23.199701
Oral_cavity_and_pharynx,Male,ADb,,,0,0.85000002,22.22908610014342,20.383635,24.074537
Oral_cavity_and_pharynx,Male,ADb,,,0,0.89999998,22.9882651130891,21.08226,24.89427
Oral_cavity_and_pharynx,Male,ADb,,,0,0.94999999,23.69971122247054,21.73731,25.662111
Oral_cavity_and_pharynx,Male,ADb,,,0,1.0,24.36625627233796,22.351362,26.381151
Oral_cavity_and_pharynx,Male,ADb,,,0,1.05,24.98738423199147,22.923922,27.050846
Oral_cavity_and_pharynx,Male,ADb,,,0,1.1,25.5687691997294,23.460165,27.677372
Oral_cavity_and_pharynx,Male,ADb,,,0,1.15,26.11286194551511,23.96232,28.263403
