site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Ovary,Female,ADb,,,0,0.0,0.0,0.0,0.0
Ovary,Female,ADb,,,0,0.050000001,1.145649279275975,0.9174884,1.3738102
Ovary,Female,ADb,,,0,0.1,2.152746479752842,1.735275,2.5702178
Ovary,Female,ADb,,,0,0.15000001,3.004117600713826,2.4333234,3.5749118
Ovary,Female,ADb,,,0,0.2,3.735962603853011,3.0372591,4.4346662
Ovary,Female,ADb,,,0,0.25,4.374122778798565,3.5662415,5.182004
Ovary,Female,ADb,,,0,0.30000001,4.936930374828194,4.034236,5.8396249
Ovary,Female,ADb,,,0,0.34999999,5.437808296669218,4.4516673,6.4239492
Ovary,Female,ADb,,,0,0.40000001,5.886890872063404,4.8265233,6.9472585
Ovary,Female,ADb,,,0,0.44999999,6.292027780464196,5.1650624,7.418993
Ovary,Female,ADb,,,0,0.5,6.659432757349236,5.4722862,7.8465791
Ovary,Female,ADb,,,0,0.55000001,6.994112403894377,5.752255,8.2359695
Ovary,Female,ADb,,,0,0.60000002,7.300163317660747,6.0083117,8.5920153
Ovary,Female,ADb,,,0,0.64999998,7.580981013523171,6.2432432,8.9187193
Ovary,Female,ADb,,,0,0.69999999,7.839413087054908,6.4593959,9.21943
Ovary,Female,ADb,,,0,0.75,8.077869638562618,6.6587648,9.4969749
Ovary,Female,ADb,,,0,0.80000001,8.298426305487084,6.8430719,9.7537804
Ovary,Female,ADb,,,0,0.85000002,8.503498056799117,7.014327,9.9926691
Ovary,Female,ADb,,,0,0.89999998,8.695855677171323,7.1748381,10.216873
Ovary,Female,ADb,,,0,0.94999999,8.877775213289198,7.3265018,10.429049
Ovary,Female,ADb,,,0,1.0,9.051091260232653,7.4708486,10.631333
Ovary,Female,ADb,,,0,1.05,9.216711676882936,7.6087079,10.824716
Ovary,Female,ADb,,,0,1.1,9.37641270933949,7.7414899,11.011335
Ovary,Female,ADb,,,0,1.15,9.53118363402544,7.8700223,11.192345
Ovary,Female,ADb,,,0,1.2,9.6818369245824,7.9949832,11.36869
Ovary,Female,ADb,,,0,1.25,9.829039106047588,8.11693,11.541148
Ovary,Female,ADb,,,0,1.3,9.97333996796226,8.2363224,11.710358
Ovary,Female,ADb,,,0,1.35,10.11519262462923,8.3535385,11.876847
Ovary,Female,ADb,,,0,1.4,10.25496943377937,8.4688892,12.04105
