site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Pancreas,Female,ADb,,,0,0.0,0.0,0.0,0.0
Pancreas,Female,ADb,,,0,0.050000001,2.213139848109307,1.3450085,3.0812712
Pancreas,Female,ADb,,,0,0.1,4.038689765326524,2.4801939,5.5971856
Pancreas,Female,ADb,,,0,0.15000001,5.317736648605774,3.276036,7.359437
Pancreas,Female,ADb,,,0,0.2,6.21367026988753,3.8258388,8.6015015
Pancreas,Female,ADb,,,0,0.25,6.84386166391846,4.2023973,9.4853258
Pancreas,Female,ADb,,,0,0.30000001,7.287290523224328,4.4564161,10.118165
Pancreas,Female,ADb,,,0,0.34999999,7.603850353528912,4.6264229,10.581278
Pancreas,Female,ADb,,,0,0.40000001,7.832903379828053,4.7377133,10.928094
Pancreas,Female,ADb,,,0,0.44999999,7.997953996890374,4.8055072,11.190401
Pancreas,Female,ADb,,,0,0.5,8.113675187625972,4.8393855,11.387965
Pancreas,Female,ADb,,,0,0.55000001,8.18960554487876,4.8456407,11.53357
Pancreas,Female,ADb,,,0,0.60000002,8.231972033726777,4.828486,11.635458
Pancreas,Female,ADb,,,0,0.64999998,8.243960798464457,4.7905374,11.697384
Pancreas,Female,ADb,,,0,0.69999999,8.228342058952478,4.7342167,11.722467
Pancreas,Female,ADb,,,0,0.75,8.188267797458707,4.662077,11.714458
Pancreas,Female,ADb,,,0,0.80000001,8.126984717679704,4.5766315,11.677338
Pancreas,Female,ADb,,,0,0.85000002,8.047655970593496,4.4802527,11.615059
Pancreas,Female,ADb,,,0,0.89999998,7.953256709486027,4.3751183,11.531395
Pancreas,Female,ADb,,,0,0.94999999,7.846516915356688,4.2631822,11.429852
Pancreas,Female,ADb,,,0,1.0,7.729896898537163,4.146173,11.313621
Pancreas,Female,ADb,,,0,1.05,7.604601869375188,4.0248365,11.184367
Pancreas,Female,ADb,,,0,1.1,7.473564742038207,3.9011426,11.045987
Pancreas,Female,ADb,,,0,1.15,7.338330957532435,3.7760508,10.900611
Pancreas,Female,ADb,,,0,1.2,7.200161256316619,3.650331,10.749991
Pancreas,Female,ADb,,,0,1.25,7.060087560514489,3.5246029,10.595572
Pancreas,Female,ADb,,,0,1.3,6.918953243869169,3.3993626,10.438544
Pancreas,Female,ADb,,,0,1.35,6.777448235422639,3.2750072,10.279889
Pancreas,Female,ADb,,,0,1.4,6.636137535691205,3.1518536,10.120421
Pancreas,Female,ADb,,,0,1.45,6.495481100363122,3.0301521,9.9608097
Pancreas,Female,ADb,,,0,1.5,6.35585460402433,2.9101002,9.801609
Pancreas,Female,ADb,,,0,1.55,6.217561833029777,2.7918506,9.6432734
Pancreas,Female,ADb,,,0,1.6,6.080847778345969,2.6755197,9.4861755
Pancreas,Female,ADb,,,0,1.65,5.945909520368673,2.5611961,9.3306227
Pancreas,Female,ADb,,,0,1.7,5.812902138358595,2.4489415,9.1768627
Pancreas,Female,ADb,,,0,1.75,5.681948049301354,2.3387997,9.0250959
Pancreas,Female,ADb,,,0,1.8,5.553140390973567,2.2307971,8.8754835
Pancreas,Female,ADb,,,0,1.85,5.426548666956819,2.1249471,8.7281504
Pancreas,Female,ADb,,,0,1.9,5.302223525030399,2.0212519,8.5831947
Pancreas,Female,ADb,,,0,1.95,5.180197915305257,1.9197047,8.440691
Pancreas,Female,ADb,,,0,2.0,5.06049219070394,1.820292,8.3006926
Pancreas,Female,ADb,,,0,2.05,4.942500263494935,1.7225715,8.1624289
Pancreas,Female,ADb,,,0,2.0999999,4.826871560529867,1.6269714,8.0267715
Pancreas,Female,ADb,,,0,2.1500001,4.713594776147147,1.5334612,7.8937283
Pancreas,Female,ADb,,,0,2.2,4.60265372686149,1.4420098,7.7632976
Pancreas,Female,ADb,,,0,2.25,4.494025266896642,1.3525814,7.635469
Pancreas,Female,ADb,,,0,2.3,4.38768243713946,1.2651396,7.5102253
Pancreas,Female,ADb,,,0,2.3499999,4.283594745949244,1.1796466,7.3875427
Pancreas,Female,ADb,,,0,2.4000001,4.181728388135639,1.0960635,7.2673931
Pancreas,Female,ADb,,,0,2.45,4.082048769355652,1.0143517,7.1497459
Pancreas,Female,ADb,,,0,2.5,3.984518093154975,0.93447161,7.0345645
Pancreas,Female,ADb,,,0,2.55,3.88909773843568,0.8563838,6.9218116
Pancreas,Female,ADb,,,0,2.5999999,3.795748127138495,0.78004855,6.8114476
Pancreas,Female,ADb,,,0,2.6500001,3.704428596621483,0.70542675,6.7034307
Pancreas,Female,ADb,,,0,2.7,3.615099387395162,0.63248032,6.5977182
Pancreas,Female,ADb,,,0,2.75,3.527719246054517,0.56117082,6.4942675
Pancreas,Female,ADb,,,0,2.8,3.442247357372935,0.49146068,6.393034
