site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Pancreas,Male,ADb,,,0,0.0,0.0,0.0,0.0
Pancreas,Male,ADb,,,0,0.050000001,4.436156686317617,3.507829,5.3644843
Pancreas,Male,ADb,,,0,0.1,7.971047923099093,6.2941475,9.6479483
Pancreas,Male,ADb,,,0,0.15000001,10.37555593786553,8.1761446,12.574967
Pancreas,Male,ADb,,,0,0.2,12.00922238782749,9.4421434,14.576302
Pancreas,Male,ADb,,,0,0.25,13.12110637869495,10.292171,15.950042
Pancreas,Male,ADb,,,0,0.30000001,13.8755915059786,10.858172,16.893011
Pancreas,Male,ADb,,,0,0.34999999,14.39206065864954,11.235489,17.548632
Pancreas,Male,ADb,,,0,0.40000001,14.74712834196077,11.485116,18.00914
Pancreas,Male,ADb,,,0,0.44999999,14.98717000650095,11.643936,18.330404
Pancreas,Male,ADb,,,0,0.5,15.14152466104781,11.735265,18.547785
Pancreas,Male,ADb,,,0,0.55000001,15.22949887165805,11.774434,18.684563
Pancreas,Male,ADb,,,0,0.60000002,15.26348812380337,11.771325,18.755651
Pancreas,Male,ADb,,,0,0.64999998,15.2501403460285,11.731387,18.768894
Pancreas,Male,ADb,,,0,0.69999999,15.19547009117633,11.659553,18.731388
Pancreas,Male,ADb,,,0,0.75,15.10551925869066,11.560723,18.650316
Pancreas,Male,ADb,,,0,0.80000001,14.98603507835253,11.439527,18.532543
Pancreas,Male,ADb,,,0,0.85000002,14.842303419453,11.300194,18.384413
Pancreas,Male,ADb,,,0,0.89999998,14.67907541931879,11.146505,18.211645
Pancreas,Male,ADb,,,0,0.94999999,14.50054892963124,10.981783,18.019314
Pancreas,Male,ADb,,,0,1.0,14.31038758989945,10.80891,17.811865
Pancreas,Male,ADb,,,0,1.05,14.10980672731745,10.628748,17.590866
Pancreas,Male,ADb,,,0,1.1,13.9035004114844,10.445007,17.361994
Pancreas,Male,ADb,,,0,1.15,13.69356513562508,10.259282,17.127848
Pancreas,Male,ADb,,,0,1.2,13.48166240642001,10.072828,16.890497
Pancreas,Male,ADb,,,0,1.25,13.26911171273855,9.8866348,16.651588
Pancreas,Male,ADb,,,0,1.3,13.05695662597418,9.7014761,16.412437
Pancreas,Male,ADb,,,0,1.35,12.84602107763669,9.5179577,16.174086
