site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Rectum,Female,ADb,,,0,0.0,0.0,0.0,0.0
Rectum,Female,ADb,,,0,0.050000001,0.6746067809201657,0.43325788,0.91595572
Rectum,Female,ADb,,,0,0.1,1.136680804422495,0.70605749,1.5673041
Rectum,Female,ADb,,,0,0.15000001,1.483888545819024,0.89331788,2.0744593
Rectum,Female,ADb,,,0,0.2,1.752259224676447,1.0219069,2.4826117
Rectum,Female,ADb,,,0,0.25,1.961657708149914,1.1066345,2.8166809
Rectum,Female,ADb,,,0,0.30000001,2.124750244170819,1.1569624,3.0925381
Rectum,Female,ADb,,,0,0.34999999,2.250308794317995,1.1794595,3.3211582
Rectum,Female,ADb,,,0,0.40000001,2.344748327819715,1.178941,3.5105557
Rectum,Female,ADb,,,0,0.44999999,2.41294571374646,1.1590766,3.6668148
Rectum,Female,ADb,,,0,0.5,2.458719224815596,1.1227452,3.7946932
Rectum,Female,ADb,,,0,0.55000001,2.485127617129393,1.0722572,3.8979981
Rectum,Female,ADb,,,0,0.60000002,2.494667236460856,1.0095009,3.9798336
Rectum,Female,ADb,,,0,0.64999998,2.489406851928358,0.93604356,4.0427704
Rectum,Female,ADb,,,0,0.69999999,2.471083058616586,0.85320193,4.088964
Rectum,Female,ADb,,,0,0.75,2.4411697311225,0.76209462,4.120245
Rectum,Female,ADb,,,0,0.80000001,2.400929669590894,0.66368061,4.1381788
Rectum,Female,ADb,,,0,0.85000002,2.351453804930181,0.55878836,4.1441193
Rectum,Female,ADb,,,0,0.89999998,2.293695148618028,0.44813845,4.1392517
Rectum,Female,ADb,,,0,0.94999999,2.228511747098423,0.33234736,4.1246762
Rectum,Female,ADb,,,0,1.0,2.156651956206204,0.21193734,4.1013665
Rectum,Female,ADb,,,0,1.05,2.078227090533275,0.087028623,4.0694256
Rectum,Female,ADb,,,0,1.1,1.994323261580675,-0.041662563,4.0303092
Rectum,Female,ADb,,,0,1.15,1.905420278155944,-0.17380336,3.9846439
Rectum,Female,ADb,,,0,1.2,1.811935626310216,-0.30910432,3.9329755
Rectum,Female,ADb,,,0,1.25,1.71423609806196,-0.44731197,3.8757842
Rectum,Female,ADb,,,0,1.3,1.61264432582847,-0.58820277,3.8134913
Rectum,Female,ADb,,,0,1.35,1.507446003613026,-0.73157954,3.7464716
Rectum,Female,ADb,,,0,1.4,1.398896107827824,-0.87726557,3.6750579
Rectum,Female,ADb,,,0,1.45,1.287221614964793,-1.0251043,3.5995474
Rectum,Female,ADb,,,0,1.5,1.172627311795935,-1.1749536,3.5202081
Rectum,Female,ADb,,,0,1.55,1.055297084529855,-1.3266864,3.4372804
Rectum,Female,ADb,,,0,1.6,0.9353981969742192,-1.4801842,3.3509805
Rectum,Female,ADb,,,0,1.65,0.8131027380853055,-1.6352875,3.261493
Rectum,Female,ADb,,,0,1.7,0.6885950022996923,-1.7917973,3.1689873
Rectum,Female,ADb,,,0,1.75,0.5620620904458349,-1.9495144,3.0736387
Rectum,Female,ADb,,,0,1.8,0.4336897582264641,-2.108247,2.9756265
Rectum,Female,ADb,,,0,1.85,0.303661960331965,-2.2678068,2.8751309
Rectum,Female,ADb,,,0,1.9,0.1721607255485367,-2.4280117,2.7723331
Rectum,Female,ADb,,,0,1.95,0.039363112870177,-2.5886869,2.667413
Rectum,Female,ADb,,,0,2.0,-0.0945569725214881,-2.7496619,2.5605481
Rectum,Female,ADb,,,0,2.05,-0.2298844509918609,-2.9110017,2.4512327
Rectum,Female,ADb,,,0,2.0999999,-0.3659851493230377,-3.0723073,2.340337
Rectum,Female,ADb,,,0,2.1500001,-0.5027022783321797,-3.2334316,2.2280271
Rectum,Female,ADb,,,0,2.2,-0.6398830684179302,-3.3942311,2.1144648
Rectum,Female,ADb,,,0,2.25,-0.7773828343372031,-3.5545728,1.999807
Rectum,Female,ADb,,,0,2.3,-0.9150624596353653,-3.7143292,1.8842044
Rectum,Female,ADb,,,0,2.3499999,-1.052789084935299,-3.8733804,1.7678021
Rectum,Female,ADb,,,0,2.4000001,-1.190436757744195,-4.0316129,1.6507394
Rectum,Female,ADb,,,0,2.45,-1.327883764494615,-4.1889186,1.5331511
Rectum,Female,ADb,,,0,2.5,-1.465017189369732,-4.3451991,1.4151645
Rectum,Female,ADb,,,0,2.55,-1.601750816189082,-4.500392,1.2968905
Rectum,Female,ADb,,,0,2.5999999,-1.738029780096426,-4.6544805,1.178421
Rectum,Female,ADb,,,0,2.6500001,-1.873807890945628,-4.8074522,1.0598366
Rectum,Female,ADb,,,0,2.7,-2.009042998004261,-4.9592977,0.94121164
Rectum,Female,ADb,,,0,2.75,-2.143700254750414,-5.1100125,0.82261199
Rectum,Female,ADb,,,0,2.8,-2.277748970757187,-5.2595944,0.70409673
Rectum,Female,ADb,,,0,2.8499999,-2.411162762095657,-5.4080443,0.58571875
Rectum,Female,ADb,,,0,2.9000001,-2.543919735802689,-5.5553651,0.46752563
Rectum,Female,ADb,,,0,2.95,-2.675999559737633,-5.70156,0.34956083
Rectum,Female,ADb,,,0,3.0,-2.807386900716153,-5.8466358,0.2318621
Rectum,Female,ADb,,,0,3.05,-2.938364965225091,-5.9906673,0.11393759
Rectum,Female,ADb,,,0,3.0999999,-3.068607247407897,-6.1335793,-0.0036350056
Rectum,Female,ADb,,,0,3.1500001,-3.19810610693709,-6.275383,-0.12082914
Rectum,Female,ADb,,,0,3.2,-3.326854044497608,-6.4160876,-0.23762047
Rectum,Female,ADb,,,0,3.25,-3.454847193918241,-6.5557065,-0.35398811
Rectum,Female,ADb,,,0,3.3,-3.582082656989954,-6.6942515,-0.46991372
Rectum,Female,ADb,,,0,3.3499999,-3.708558950231492,-6.8317366,-0.58538133
Rectum,Female,ADb,,,0,3.4000001,-3.834276447180656,-6.9681754,-0.70037746
Rectum,Female,ADb,,,0,3.45,-3.959234844195024,-7.1035814,-0.81488842
Rectum,Female,ADb,,,0,3.5,-4.083436631120307,-7.2379684,-0.92890489
Rectum,Female,ADb,,,0,3.55,-4.206884576143906,-7.3713517,-1.0424173
Rectum,Female,ADb,,,0,3.5999999,-4.329582224611016,-7.503746,-1.1554186
Rectum,Female,ADb,,,0,3.6500001,-4.451534386394599,-7.6351662,-1.2679027
Rectum,Female,ADb,,,0,3.7,-4.572744730134431,-7.765626,-1.3798637
Rectum,Female,ADb,,,0,3.75,-4.693219197180468,-7.8951406,-1.491298
Rectum,Female,ADb,,,0,3.8,-4.812963604318554,-8.0237246,-1.6022024
Rectum,Female,ADb,,,0,3.8499999,-4.931984166023796,-8.1513939,-1.7125747
Rectum,Female,ADb,,,0,3.9000001,-5.050288001860622,-8.278162,-1.822414
Rectum,Female,ADb,,,0,3.95,-5.16788083387064,-8.4040432,-1.9317188
Rectum,Female,ADb,,,0,4.0,-5.28477032653899,-8.5290518,-2.0404887
Rectum,Female,ADb,,,0,4.0500002,-5.401102509675297,-8.6531105,-2.1490948
