site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Rectum,Male,ADb,,,0,0.0,0.0,0.0,0.0
Rectum,Male,ADb,,,0,0.050000001,2.062212705444797,1.8021332,2.3222921
Rectum,Male,ADb,,,0,0.1,3.775972978527285,3.3008678,4.2510781
Rectum,Male,ADb,,,0,0.15000001,5.270280424312276,4.6073918,5.9331689
Rectum,Male,ADb,,,0,0.2,6.598534841044156,5.7680717,7.428998
Rectum,Male,ADb,,,0,0.25,7.793018396225726,6.8109803,8.7750568
Rectum,Male,ADb,,,0,0.30000001,8.87583693854598,7.7553692,9.9963045
Rectum,Male,ADb,,,0,0.34999999,9.863227579402285,8.6154041,11.111052
Rectum,Male,ADb,,,0,0.40000001,10.76767917506299,9.4019976,12.13336
Rectum,Male,ADb,,,0,0.44999999,11.59911233648302,10.123837,13.074388
Rectum,Male,ADb,,,0,0.5,12.36560657387493,10.788008,13.943206
Rectum,Male,ADb,,,0,0.55000001,13.07386646492685,11.400399,14.747334
Rectum,Male,ADb,,,0,0.60000002,13.7295439034372,11.965987,15.4931
Rectum,Male,ADb,,,0,0.64999998,14.33746355128507,12.489025,16.185902
Rectum,Male,ADb,,,0,0.69999999,14.90179107604824,12.973191,16.830391
Rectum,Male,ADb,,,0,0.75,15.42615257134338,13.421693,17.430613
Rectum,Male,ADb,,,0,0.80000001,15.9137320930972,13.837351,17.990114
Rectum,Male,ADb,,,0,0.85000002,16.36734451428008,14.22266,18.512028
Rectum,Male,ADb,,,0,0.89999998,16.78949322109244,14.579846,18.99914
Rectum,Male,ADb,,,0,0.94999999,17.18241870848132,14.9109,19.453938
Rectum,Male,ADb,,,0,1.0,17.5481334746602,15.217615,19.878653
Rectum,Male,ADb,,,0,1.05,17.88559690409389,15.499088,20.272106
Rectum,Male,ADb,,,0,1.1,18.1992489031162,15.75925,20.639248
Rectum,Male,ADb,,,0,1.15,18.49059747209742,15.999447,20.981749
Rectum,Male,ADb,,,0,1.2,18.76102182440928,16.220913,21.30113
Rectum,Male,ADb,,,0,1.25,19.01178221595684,16.424776,21.598789
Rectum,Male,ADb,,,0,1.3,19.24403771848036,16.612074,21.876001
Rectum,Male,ADb,,,0,1.35,19.45885535322634,16.783764,22.133947
Rectum,Male,ADb,,,0,1.4,19.65721847153611,16.940727,22.373711
Rectum,Male,ADb,,,0,1.45,19.84003866770911,17.083782,22.596294
Rectum,Male,ADb,,,0,1.5,20.00815932444382,17.213688,22.802631
Rectum,Male,ADb,,,0,1.55,20.16236517855117,17.331148,22.993584
Rectum,Male,ADb,,,0,1.6,20.30338650464643,17.436819,23.169954
Rectum,Male,ADb,,,0,1.65,20.43190323040409,17.531313,23.332493
Rectum,Male,ADb,,,0,1.7,20.54854775738966,17.6152,23.481895
Rectum,Male,ADb,,,0,1.75,20.65382224388821,17.688938,23.618706
