site,sex,estimate,race,stage,agegroup,tt,PE,lci,uci
Breast,Female,ADb,,,0,0.0,0.0,0.0,0.0
Breast,Female,ADb,,,0,0.050000001,9.771167860277842,9.2707062,10.271629
Breast,Female,ADb,,,0,0.1,19.28659758297027,18.340658,20.232538
Breast,Female,ADb,,,0,0.15000001,28.30457650599818,26.961649,29.647503
Breast,Female,ADb,,,0,0.2,36.88971327538027,35.187695,38.591732
Breast,Female,ADb,,,0,0.25,45.09836702512631,43.067909,47.128822
Breast,Female,ADb,,,0,0.30000001,52.97337587284554,50.639946,55.306805
Breast,Female,ADb,,,0,0.34999999,60.5474351771212,57.932632,63.162239
Breast,Female,ADb,,,0,0.40000001,67.84610163510703,64.968529,70.723671
Breast,Female,ADb,,,0,0.44999999,74.88983939886776,71.765747,78.013931
Breast,Female,ADb,,,0,0.5,81.69547060782557,78.339188,85.051758
Breast,Female,ADb,,,0,0.55000001,88.27711813152365,84.701408,91.852829
Breast,Female,ADb,,,0,0.60000002,94.6469014182706,90.86322,98.430588
Breast,Female,ADb,,,0,0.64999998,100.8154066755814,96.834114,104.7967
Breast,Female,ADb,,,0,0.69999999,106.7920628242761,102.62257,110.96155
Breast,Female,ADb,,,0,0.75,112.5853502503092,108.23629,116.93441
Breast,Female,ADb,,,0,0.80000001,118.2030168702871,113.6823,122.72374
Breast,Female,ADb,,,0,0.85000002,123.6522094611742,118.96714,128.33728
Breast,Female,ADb,,,0,0.89999998,128.9395717161663,124.09693,133.78221
Breast,Female,ADb,,,0,0.94999999,134.0713482418516,129.07744,139.06526
Breast,Female,ADb,,,0,1.0,139.0534070683368,133.91411,144.19272
Breast,Female,ADb,,,0,1.05,143.8768603536856,138.59842,149.1553
Breast,Female,ADb,,,0,1.1,148.5606650391631,143.14828,153.97305
Breast,Female,ADb,,,0,1.15,153.1098832912635,147.56842,158.65134
Breast,Female,ADb,,,0,1.2,157.5293944914965,151.86345,163.19534
Breast,Female,ADb,,,0,1.25,161.8238267008375,156.03773,167.60991
Breast,Female,ADb,,,0,1.3,165.9976461098946,160.09552,171.89978
Breast,Female,ADb,,,0,1.35,170.0551364855071,164.04086,176.06941
Breast,Female,ADb,,,0,1.4,174.0003818463572,167.87764,180.12312
Breast,Female,ADb,,,0,1.45,177.837342428261,171.60965,184.06503
Breast,Female,ADb,,,0,1.5,181.5697871680631,175.24048,187.89909
Breast,Female,ADb,,,0,1.55,185.2021723103286,178.7744,191.62994
Breast,Female,ADb,,,0,1.6,188.7419019181684,182.21855,195.26524
Breast,Female,ADb,,,0,1.65,192.1965056279894,185.58018,198.81282
Breast,Female,ADb,,,0,1.7,195.5728688477002,188.86595,202.2798
Breast,Female,ADb,,,0,1.75,198.8772344724965,192.08185,205.67261
Breast,Female,ADb,,,0,1.8,202.1153199761995,195.23344,208.99719
Breast,Female,ADb,,,0,1.85,205.292346219302,198.32574,212.25894
Breast,Female,ADb,,,0,1.9,208.4130632557706,201.36337,215.46275
Breast,Female,ADb,,,0,1.95,211.481845658259,204.35054,218.61314
Breast,Female,ADb,,,0,2.0,214.5026710007956,207.29111,221.71423
Breast,Female,ADb,,,0,2.05,217.4570039424295,210.16739,224.74663
Breast,Female,ADb,,,0,2.0999999,220.3699376089082,213.0034,227.73648
Breast,Female,ADb,,,0,2.1500001,223.2445788659712,215.80217,230.68698
Breast,Female,ADb,,,0,2.2,226.0837410412384,218.56642,233.60106
Breast,Female,ADb,,,0,2.25,228.890048231594,221.29871,236.4814
Breast,Female,ADb,,,0,2.3,231.6659001735015,224.00134,239.33046
Breast,Female,ADb,,,0,2.3499999,234.413503852665,226.67648,242.15053
Breast,Female,ADb,,,0,2.4000001,237.1338641216879,229.3251,244.94261
Breast,Female,ADb,,,0,2.45,239.8243310710399,231.94466,247.70401
Breast,Female,ADb,,,0,2.5,242.4818012273401,234.53212,250.43149
Breast,Female,ADb,,,0,2.55,245.103469939485,237.08479,253.12215
Breast,Female,ADb,,,0,2.5999999,247.6868181119492,239.60023,255.77339
Breast,Female,ADb,,,0,2.6500001,250.2296006652916,242.07628,258.3829
Breast,Female,ADb,,,0,2.7,252.7297770178282,244.51094,260.94861
Breast,Female,ADb,,,0,2.75,255.1855646705266,246.90251,263.46863
